symbol,code,name,market,shares,close,market_cap,rank,as_of,known_at_assumption,universe_type
2330.TW,2330,台積電,TWSE,25932733242.0,1075.0,27877688235150.0,1,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2317.TW,2317,鴻海,TWSE,13862990609.0,184.0,2550790272056.0,2,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2454.TW,2454,聯發科,TWSE,1601687990.0,1415.0,2266388505850.0,3,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2881.TW,2881,富邦金,TWSE,13665721905.0,90.3,1234014688021.5,4,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2308.TW,2308,台達電,TWSE,2597543329.0,430.5,1118242403134.5,5,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2382.TW,2382,廣達,TWSE,3862627432.0,287.0,1108574072984.0,6,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2882.TW,2882,國泰金,TWSE,14669210128.0,68.3,1001907051742.3999,7,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2412.TW,2412,中華電,TWSE,7757446545.0,123.5,958044648307.5,8,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2891.TW,2891,中信金,TWSE,19620315863.0,39.1,767154350243.3,9,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3711.TW,3711,日月光投控,TWSE,4406678137.0,162.0,713881858194.0,10,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2886.TW,2886,兆豐金,TWSE,14833378282.0,38.7,574051739513.4,11,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2303.TW,2303,聯電,TWSE,12560716404.0,43.05,540738841192.19995,12,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6669.TW,6669,緯穎,TWSE,185840791.0,2620.0,486902872420.0,13,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2603.TW,2603,長榮,TWSE,2150248040.0,225.0,483805809000.0,14,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1216.TW,1216,統一,TWSE,5682015421.0,80.9,459675047558.9,15,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2357.TW,2357,華碩,TWSE,742760280.0,616.0,457540332480.0,16,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2885.TW,2885,元大金,TWSE,12942864025.0,34.0,440057376850.0,17,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2345.TW,2345,智邦,TWSE,560578397.0,773.0,433327100881.0,18,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2884.TW,2884,玉山金,TWSE,15995800000.0,26.95,431086810000.0,19,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3045.TW,3045,台灣大,TWSE,3723261811.0,113.5,422590215548.5,20,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2892.TW,2892,第一金,TWSE,14028749903.0,27.1,380179122371.30005,21,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5880.TW,5880,合庫金,TWSE,15224210596.0,24.3,369948317482.8,22,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2880.TW,2880,華南金,TWSE,13779173356.0,26.15,360325383259.39996,23,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
