ticker,name,regular_listing_date,benchmark_list_reference_date,holdings_history_status,weight_known_at_status,active_share_status,reason,listing_source
00980A,主動野村臺灣優選,2025-05-05,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00982A,主動群益台灣強棒,2025-05-22,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00981A,主動統一台股成長,2025-05-27,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00983A,主動中信 ARK 創新,2025-06-18,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00984A,主動安聯台灣高息,2025-07-14,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00985A,主動野村台灣 50,2025-07-21,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00986A,主動台新龍頭成長,2025-08-27,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00989A,主動摩根美國科技,2025-10-22,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00988A,主動統一全球創新,2025-11-05,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00991A,主動復華未來 50,2025-12-18,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00990A,主動元大 AI 新經濟,2025-12-22,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00987A,主動台新優勢成長,2025-12-30,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00992A,主動群益科技創新,2025-12-30,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00994A,主動第一金台股優,2026-01-07,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00995A,主動中信台灣卓越,2026-01-22,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00993A,主動安聯台灣,2026-02-03,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00996A,主動兆豐台灣豐收,2026-03-25,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00400A,主動國泰動能高息,2026-04-09,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00401A,主動摩根台灣鑫收,2026-04-10,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00997A,主動群益美國增長,2026-04-14,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00999A,主動野村臺灣高息,2026-05-05,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00403A,主動統一升級 50,2026-05-12,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00402A,主動安聯美國科技,2026-06-09,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00404A,主動聯博動能 50,2026-06-09,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
00405A,主動富邦台灣龍耀,2026-06-09,2026-09-11,NOT_ACQUIRED,UNKNOWN,UNKNOWN,No complete30ETF datedweight/publicationtimestamp series;prelistingdatesundefined,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2
