official_ticker,canonical_symbol,name,market,previous_exact_symbol_covered,identity_mapping,first_daily,last_daily,daily_warmup_rows,daily_evaluation_rows,complete_4h_warmup_rows,complete_4h_evaluation_rows,known_at,known_at_policy
2330,2330.TW,台積電,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2883,2883.TW,凱基金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2454,2454.TW,聯發科,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3443,3443.TW,創意,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2308,2308.TW,台達電,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3653,3653.TW,健策,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2317,2317.TW,鴻海,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2395,2395.TW,研華,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3711,3711.TW,日月光投控,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2301,2301.TW,光寶科,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2881,2881.TW,富邦金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6446,6446.TW,藥華藥,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2383,2383.TW,台光電,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4958,4958.TW,臻鼎-KY,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2303,2303.TW,聯電,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2603,2603.TW,長榮,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2882,2882.TW,國泰金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
5880,5880.TW,合庫金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3037,3037.TW,欣興,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1216,1216.TW,統一,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2891,2891.TW,中信金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3045,3045.TW,台灣大,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1303,1303.TW,南亞,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2368,2368.TW,金像電,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
