symbol,regular_listing_date,daily_rows,evaluation_rows,warmup_rows,missing_dates
1605.TW,1972-11-03,659,417,242,
1802.TW,1973-07-20,659,417,242,
1815.TWO,2006-01-23,659,417,242,
2313.TW,1990-07-24,659,417,242,
2337.TW,1995-03-15,659,417,242,
2344.TW,1995-10-18,659,417,242,
2404.TW,2000-03-14,659,417,242,
2408.TW,2000-08-17,659,417,242,
2451.TW,2001-05-03,659,417,242,
3163.TWO,2012-12-03,659,417,242,
3189.TW,2004-11-01,659,417,242,
3491.TWO,2008-01-03,657,416,241,
4749.TWO,2025-01-17,406,406,0,
4991.TWO,2014-09-15,659,417,242,
5289.TWO,2013-11-27,659,417,242,
6139.TW,2003-08-25,659,417,242,
6182.TWO,2002-05-16,659,417,242,
6239.TW,2004-11-08,659,417,242,
6290.TWO,2005-06-03,659,417,242,
6515.TW,2021-01-20,659,417,242,
6584.TWO,2023-05-18,659,417,242,
6770.TW,2021-12-06,659,417,242,
6789.TW,2022-06-30,659,417,242,
6919.TW,2024-10-02,473,412,61,
7734.TWO,2025-02-26,385,385,0,
7750.TW,2025-09-17,245,245,0,
7751.TWO,2025-08-26,261,261,0,
7769.TW,2025-11-27,198,198,0,
7828.TWO,2026-04-22,106,106,0,
8046.TW,2006-04-07,659,417,242,
8210.TW,2011-12-01,659,417,242,
8358.TWO,2010-09-27,659,417,242,
8932.TWO,2001-03-29,645,410,235,
