instrument,source_symbol,session_date,close,adjusted_close,return1,available_at,available_at_basis,source_url,source_sha256
TAIWAN_FUTURES_NIGHT,TX:202401,2024-01-02,17826.0,17826.0,-0.0025180459963068946,2024-01-01T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
TAIWAN_FUTURES_NIGHT,TX:202401,2024-01-03,17674.0,17674.0,-0.0066880233799808675,2024-01-02T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2024-01-03,31.009999999999998,31.009999999999998,0.004697877855175614,2024-01-03T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2024-01-03,14592.21,14592.21,-0.011765590270582216,2024-01-03T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2024-01-03,47.57,47.43,-0.012455885405854294,2024-01-03T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2024-01-03,3941.21,3941.21,-0.02034033964365256,2024-01-03T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2024-01-03,100.17,96.7,-0.013395055648576792,2024-01-03T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202401,2024-01-04,17536.0,17536.0,-0.00045599635202919764,2024-01-03T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2024-01-04,30.995,30.995,-0.00048371493066745597,2024-01-04T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2024-01-04,14510.3,14510.3,-0.005613268997636367,2024-01-04T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2024-01-04,48.0,47.86,0.009039310489804553,2024-01-04T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2024-01-04,3908.85,3908.85,-0.008210676416633533,2024-01-04T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2024-01-04,99.13,95.69,-0.010382350004991547,2024-01-04T21:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
