episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2019-12-02,0.07187675316131359,0.010776047801889233,0.1060128724293603,6.935370243113128,0.07187675316131359,0.010776047801889233,0.1060128724293603,6.935370243113128,1071876753.1613137,24,4662281.947415438,2853574.315432207,1808707.6319832304,1.9469552858516144,2.44418411872388,78,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.07187675316131359,0.010776047801889233,2.0025082915313734,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-01-02,-0.010074255502200868,0.057525534998184136,0.2548169249349056,-0.29301069761598053,-0.010074255502200868,0.057525534998184136,0.2548169249349056,-0.29301069761598053,989925744.4977992,24,4969473.8127024155,3079859.013550096,1889614.7991523198,2.1754869150868807,28.13932040234026,114,0,False,True,0,0,0,0,0,0,0,0,1,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.010074255502200868,0.057525534998184136,2.1613045709123484,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-02-03,-0.0312755324410976,0.05373440571308019,0.15496327316057812,-2.077328162693202,-0.0312755324410976,0.05373440571308019,0.15496327316057812,-2.077328162693202,968724467.5589024,24,6206672.066317242,3605459.257032087,2601212.809285155,2.541801614482619,53.0784508473076,126,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.0312755324410976,0.05373440571308019,2.530146847040061,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-03-02,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-04-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-05-04,0.041775015514127656,0.047596298779907675,0.1924900808631681,2.3269637761672306,0.041775015514127656,0.047596298779907675,0.1924900808631681,2.3269637761672306,1041775015.5141276,24,5100368.756215226,3131398.477760829,1968970.2784543969,2.16688936910124,6.800744415156736,138,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.041775015514127656,0.047596298779907675,2.197472615972511,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-06-01,0.16029197510221715,0.019819070496648883,0.21523165205766148,7.376741698934416,0.16029197510221715,0.016644363902143744,0.18608295570838,8.503224815284186,1160291975.1022172,24,5334637.627806958,3249532.8085847874,2085104.81922217,2.228131569340771,2.7602230483271377,114,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.16029197510221715,0.016644363902143744,2.2803739007612553,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-07-01,0.0974947125882164,0.06464491445751575,0.2868488017394828,3.549617050568073,0.0974947125882164,0.06185744232296453,0.2770259016287412,3.665845547495922,1097494712.5882163,24,5473659.727044039,3313597.6248601023,2160062.102183937,2.2687820191956223,49.15775307956305,100,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0974947125882164,0.06185744232296453,2.325331666568492,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-08-03,0.0018948275267438586,0.07131590582918124,0.2523242113368911,0.20151728628972665,0.0018948275267438586,0.0705074073285944,0.2494516146140125,0.20096527859356106,1001894827.5267438,24,5937128.868253388,3545443.722736959,2391685.1455164296,2.4968603727773546,2.493895278400415,133,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0018948275267438586,0.0705074073285944,2.4880306826224263,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-09-01,-0.04722158267912768,0.09436552316806956,0.1720025161692032,-2.867706867692067,-0.04722158267912768,0.09337902316806956,0.1711604875109478,-2.8826134024557524,952778417.3208723,24,7006791.089779784,4073081.4822931793,2933709.6074866047,2.934376453842333,8.926990453652625,162,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.04722158267912768,0.09337902316806956,2.8583027945917046,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
