episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2019-12-02,0.05938745928529565,0.01381468572164013,0.10046081962492977,6.0849884028500965,0.05938745928529565,0.01381468572164013,0.10046081962492977,6.0849884028500965,1059387459.2852957,24,5053359.40940957,3110405.895328873,1942953.5140806972,2.1295390599387116,2.44418411872388,77,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05938745928529565,0.01381468572164013,2.1827409791781567,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-01-02,-0.014512906934410319,0.05813469576657604,0.24081101603315544,-0.5198540239457374,-0.014512906934410319,0.05813469576657604,0.24081101603315544,-0.5198540239457374,985487093.0655897,24,6490662.192480507,3749137.9546078546,2741524.2378726527,2.6519133877433463,28.13932040234026,128,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.014512906934410319,0.05813469576657604,2.630974003233582,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-02-03,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-03-02,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-04-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-05-04,0.0731214830868645,0.042281346998001124,0.1932644764915239,3.9324868430705253,0.0731214830868645,0.042281346998001124,0.1932644764915239,3.9324868430705253,1073121483.0868645,24,2043982.4424015444,1642819.5076054018,401162.9347961426,1.1446780824650562,4.892857142857143,64,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0731214830868645,0.042281346998001124,1.1528557948108085,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-06-01,0.15042106710155,0.020889835517077793,0.20210822089108513,7.396883620428311,0.15042106710155,0.020889835517077793,0.18710617321963996,7.97549606663239,1150421067.10155,24,5148636.462409336,3158536.2673068256,1990100.1951025105,2.1778499224399877,3.769035532994924,102,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.15042106710155,0.020889835517077793,2.2165166788118076,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-07-01,0.09602140295150563,0.04983428029938841,0.27192594096972134,3.6776784546365984,0.09602140295150563,0.0448557237412478,0.26666987649701585,3.744959620303173,1096021402.9515057,24,5759065.443787476,3431020.367031332,2328045.076756144,2.340614031423013,49.15775307956305,111,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09602140295150563,0.0448557237412478,2.4077335908991806,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-08-03,0.005351376137547215,0.05244493760013158,0.22965839266917423,0.3553357181321446,0.005351376137547215,0.05163803776068343,0.22640191678347768,0.3572144861582832,1005351376.1375473,24,5920151.005879918,3540745.139346581,2379405.866533337,2.4787782520601214,5.841384543585333,130,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.005351376137547215,0.05163803776068343,2.484733431120407,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-09-01,-0.057518189457604896,0.0997874547065879,0.17150551896115127,-3.5401585423791637,-0.057518189457604896,0.0988009547065879,0.170638903853974,-3.55895959152421,942481810.5423951,24,7005004.292653317,4070708.424056446,2934295.868596871,2.9331579717989102,3.652876081773729,152,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.057518189457604896,0.0988009547065879,2.8566374905659275,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
