episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2019-12-02,0.06359882591879629,0.014373038230872548,0.10757441350497751,6.077403010280938,0.06359882591879629,0.014373038230872548,0.10757441350497751,6.077403010280938,1063598825.9187962,24,5003134.665724132,3019515.110924461,1983619.5547996718,2.06219596993057,2.44418411872388,85,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.06359882591879629,0.014373038230872548,2.1189579725785688,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-01-02,-0.012233438309396827,0.0628980793001438,0.2673475887288889,-0.35314078490333434,-0.012233438309396827,0.0628980793001438,0.2673475887288889,-0.35314078490333434,987766561.6906031,24,4841966.195173482,3018179.951259937,1823786.243913545,2.130832823317838,28.13932040234026,109,0,False,True,0,0,0,0,0,0,0,0,2,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.012233438309396827,0.0628980793001438,2.1180210184280264,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-02-03,-0.039725373429272626,0.06688493443189092,0.17170818915659497,-2.39433951970644,-0.039725373429272626,0.06688493443189092,0.17170818915659497,-2.39433951970644,960274626.5707273,24,6553495.954834437,3778853.007228064,2774642.9476063736,2.671087788265584,65.8717184874279,121,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.039725373429272626,0.06688493443189092,2.651826671738992,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-03-02,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-04-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2020-05-04,0.06613843523878793,0.05204847846456906,0.20651485830914634,3.359726844354081,0.06613843523878793,0.05204847846456906,0.20651485830914634,3.359726844354081,1066138435.238788,24,2301454.0619571186,1768369.2143620944,533084.8475950242,1.230853788044216,4.892857142857143,57,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.06613843523878793,0.05204847846456906,1.2409608521839262,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-06-01,0.14541633736323556,0.024041951560576758,0.19668337387469087,7.361837756573948,0.14541633736323556,0.024041951560576758,0.18299968688894822,7.899094002836506,1145416337.3632355,24,5692451.179319527,3386392.5270521017,2306058.652267426,2.3308070833558627,3.769035532994924,123,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.14541633736323556,0.024041951560576758,2.376415808457615,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-07-01,0.09032727408667118,0.05833107583178587,0.28103239911440014,3.3716057076593433,0.09032727408667118,0.05470887451294659,0.27292270917076444,3.463822568267432,1090327274.086671,24,5949210.698468595,3541713.4771946035,2407497.2212739913,2.421077965803785,49.15775307956305,113,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09032727408667118,0.05470887451294659,2.4854129664523534,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-08-03,-0.009634518355910893,0.06413960729023949,0.2449266528725999,-0.2962242127748863,-0.009634518355910893,0.06335387361104206,0.24160678380032993,-0.30358088449045234,990365481.6440891,24,6663856.02043428,3829304.1113437023,2834551.9090905776,2.694403040482297,10.336651344371816,132,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.009634518355910893,0.06335387361104206,2.6872309553289146,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2020-09-01,-0.06033816104085832,0.10193857409324425,0.17254215049196178,-3.6996856126672184,-0.06033816104085832,0.10095207409324425,0.17168216710719475,-3.71903384665758,939661838.9591417,24,6986918.914514307,4062277.124842145,2924641.7896721615,2.9281275682956363,3.6478858139024535,151,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.06033816104085832,0.10095207409324425,2.8507207893629087,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
