episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2025-01-02,0.03041184689144316,0.043196704301939115,0.22055775563546096,1.533088756334461,0.03041184689144316,0.043149929296416256,0.2205303361801901,1.533251267566803,1030411846.8914433,24,6583016.344826527,3797598.54193689,2785417.8028896367,2.6527377069979914,1.2058823529411764,115,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03041184689144316,0.043149929296416256,2.6649814329381685,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-02-03,-0.00759132399704332,0.05195318204683386,0.15719392340258911,-0.4336225113787334,-0.00759132399704332,0.05195318204683386,0.15719392340258911,-0.4336225113787334,992408676.0029566,24,7078746.3848203635,4102650.7015045607,2976095.683315803,2.832323415179977,0.6554695455304231,150,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.00759132399704332,0.05195318204683386,2.87905312386285,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-03-03,-0.13289575905920137,0.13936315806721544,0.2773326615720426,-5.24482590417098,-0.13289575905920137,0.13936315806721544,0.2773326615720426,-5.24482590417098,867104240.9407986,24,6324267.363115642,3734356.721747577,2589910.641368065,2.6667344262112525,4.097176625082075,140,0,False,True,0,0,0,0,0,0,0,0,1,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.13289575905920137,0.13936315806721544,2.620601208243914,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-04-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2025-05-02,0.09397811196516215,0.017751326273898638,0.14038956627636792,6.79749082726583,0.09397811196516215,0.017751326273898638,0.14068616366477923,6.783441373848698,1093978111.965162,24,4811318.89307545,2935527.0514387926,1875791.8416366577,2.000030193790405,0.26364686385778136,77,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09397811196516215,0.017751326273898638,2.0600189834658185,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-06-02,0.1488852446653277,0.012073351372329233,0.1549574368869367,9.505634572052621,0.1488852446653277,0.012073351372329233,0.1540784800542952,9.559000583084755,1148885244.6653278,24,5272985.522746296,3207884.9727442083,2065100.5500020871,2.142352833239647,1.2777832651440932,90,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.1488852446653277,0.012073351372329233,2.2511473492941807,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-07-01,0.05834517200203293,0.018369356083046795,0.12814268203034948,4.713407992893073,0.05834517200203293,0.015537874143948582,0.12248471561173402,4.925510320337655,1058345172.0020329,24,5737213.1780419815,3398326.9062247938,2338886.271817188,2.3550665351956694,,124,0,False,True,0,0,0,0,0,0,0,1,0,1,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05834517200203293,0.015537874143948582,2.384790811385821,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-08-01,0.12249199919490272,0.06906497335965567,0.2880072541924714,4.361717259495698,0.12249199919490272,0.06815191686670496,0.286044168217035,4.389728147512825,1122491999.1949027,24,6134581.989302169,3558291.7385878284,2576290.2507143402,2.369889879242229,0.2865551425030979,104,1,False,True,18,1,1,1,1,0,0,0,0,2,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.12249199919490272,0.06815191686670496,2.4970468340967216,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-09-01,0.06518228793623027,0.039471944448890794,0.24619864093702437,2.814242195547605,0.06518228793623027,0.03945986685664826,0.24598150730025348,2.816522162079458,1065182287.9362302,24,6233128.249288238,3629633.7484301194,2603494.5008581183,2.5409319847920115,9.050231595988667,111,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.06518228793623027,0.03945986685664826,2.5471114024071015,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2025-10-01,0.09281400007963603,0.027404459830488004,0.1938487746116516,4.90924628816961,0.09281400007963603,0.027404459830488004,0.1938487746116516,4.90924628816961,1092814000.079636,24,5602053.37664162,3313697.630130752,2288355.746510868,2.2573148109037833,0.21522618464763696,97,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09281400007963603,0.027404459830488004,2.325401845705791,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
