episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.12239424549368905,0.1326505739293815,0.22503255233773356,-5.966256835036295,-0.12239424549368905,0.1326505739293815,0.22503255233773356,-5.966256835036295,877605754.5063109,24,6848250.579583468,3934006.2804215956,2914244.299161873,2.9018159664339906,10.654899192468822,181,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.12239424549368905,0.1326505739293815,2.7607061616993653,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-02-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2010-03-01,0.06144918731337534,0.012227313718048527,0.10026755939957147,6.300561582543355,0.06144918731337534,0.012227313718048527,0.10026755939957147,6.300561582543355,1061449187.3133752,24,6214577.09478996,3649165.364077529,2565411.7307124315,2.5033795489597233,15.62992125984252,176,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.06144918731337534,0.012227313718048527,2.5608177993526517,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-04-01,-0.010959346425300054,0.06137209638020047,0.2256346816565689,-0.4034195534848307,-0.010959346425300054,0.06137209638020047,0.2256346816565689,-0.4034195534848307,989040653.5747,24,6723772.368846053,3879143.793069497,2844628.5757765556,2.6911389414495557,7.62962962962963,159,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.010959346425300054,0.06137209638020047,2.7222061705750855,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-05-03,-0.05814479641743209,0.10149723694945445,0.2343106618228836,-2.5681058398535628,-0.05814479641743209,0.10149723694945445,0.2343106618228836,-2.5681058398535628,941855203.5825679,24,8750099.859762799,4871241.1347730225,3878858.7249897774,3.562953101516862,21.677723632821145,190,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.05814479641743209,0.10149723694945445,3.4184148314196654,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-06-01,0.016008697275308403,0.03860908660120099,0.15492706734092868,1.1509931391496737,0.016008697275308403,0.03860908660120099,0.15130687120047862,1.1750082947224043,1016008697.2753084,24,7497658.500318354,4251941.814212517,3245716.686105837,2.999891145580893,,172,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.016008697275308403,0.03860908660120099,2.98381881699124,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-07-01,0.09847174212474163,0.010957036352369554,0.1380691717535273,7.222062269384032,0.09847174212474163,0.009202650319215744,0.13946644817947595,7.151000554831989,1098471742.1247416,24,5952880.295489943,3521713.275468626,2431167.020021317,2.4000192401751286,6.991948802720499,114,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09847174212474163,0.009202650319215744,2.4713777371709655,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-08-02,-0.02171226286328165,0.06558591417072679,0.17148274082395254,-1.260749774594709,-0.02171226286328165,0.06141869951983847,0.1624310470301363,-1.3399729595164207,978287737.1367184,24,7016223.014888887,4020858.640233972,2995364.374654915,2.8365424889960393,32.15224467561319,205,0,False,True,0,0,0,0,0,0,0,0,1,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.02171226286328165,0.06141869951983847,2.8216551861291035,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-09-01,0.04710613180482204,0.016421921020924102,0.10574248462957264,4.6254648700435705,0.04710613180482204,0.016421921020924102,0.10574248462957264,4.6254648700435705,1047106131.8048221,24,7037312.052104723,4079786.895061467,2957525.157043256,2.799538856043135,32.32888011104603,159,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.04710613180482204,0.016421921020924102,2.863008347411555,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-10-01,-0.00942562664961999,0.033115339733823856,0.14893308960355714,-0.5963125143395612,-0.00942562664961999,0.033115339733823856,0.14893308960355714,-0.5963125143395612,990574373.3503801,24,8186031.554748364,4571731.601434201,3614299.953314163,3.2329003555541886,3.2112379079939024,166,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.00942562664961999,0.033115339733823856,3.2082327027608417,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.023257555517848028,0.037026063394042574,0.1300922938275917,1.9189657967856109,0.023257555517848028,0.037026063394042574,0.1300922938275917,1.9189657967856109,1023257555.5178481,24,7593345.889907682,4281869.824446318,3311476.0654613646,3.053981958902472,4.481039288614086,172,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.023257555517848028,0.037026063394042574,3.0048209294360118,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-12-01,0.05416858059028695,0.01767012606367946,0.0963682120410907,5.800232495437284,0.05416858059028695,0.01767012606367946,0.0963682120410907,5.800232495437284,1054168580.590287,24,6564875.5556771,3770640.426523255,2794235.129153845,2.5924826144480537,2.6619514259097237,136,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05416858059028695,0.01767012606367946,2.646063457209302,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-01-03,-0.07844043877329254,0.0830241430325297,0.19053521510799898,-4.401911817445612,-0.07844043877329254,0.0830241430325297,0.19053521510799898,-4.401911817445612,921559561.2267075,24,7052342.8322877195,4036879.629002033,3015463.203285687,2.877117007260536,9.676470588235293,158,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.07844043877329254,0.0830241430325297,2.8328979852645846,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-02-08,-0.11149325408682931,0.11149325408682931,0.20545069646283745,-5.927697257529443,-0.11149325408682931,0.11149325408682931,0.20545069646283745,-5.927697257529443,888506745.9131707,24,8971403.503535284,4980510.09652825,3990893.4070070344,3.666314592046442,121.15713567584582,187,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.11149325408682931,0.11149325408682931,3.495094804581228,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
