episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.11083195050062677,0.12576691792792483,0.2259525390974271,-5.336421165555794,-0.11083195050062677,0.12576691792792483,0.2259525390974271,-5.336421165555794,889168049.4993732,24,5007672.714757511,3082720.9872435364,1924951.7275139755,2.2446818503608705,19.29570773589712,142,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.11083195050062677,0.12576691792792483,2.163312973504236,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-02-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2010-03-01,0.041146740780827695,0.013480317631418104,0.09387406677653469,4.558729629720182,0.041146740780827695,0.013480317631418104,0.09387406677653469,4.558729629720182,1041146740.7808278,24,4579825.056546804,2861469.368266913,1718355.6882798907,1.9783096190721972,,115,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.041146740780827695,0.013480317631418104,2.008048679485553,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-04-01,-0.033044389343510616,0.050428426659879566,0.2097262136371416,-1.5795648146384982,-0.033044389343510616,0.050428426659879566,0.2097262136371416,-1.5795648146384982,966955610.6564894,24,5221544.275754578,3175850.082608624,2045694.1931459545,2.224826745157606,3.639708535140673,156,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.033044389343510616,0.050428426659879566,2.228666724637631,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-05-03,-0.06271210362187041,0.10143991960365684,0.2478515812372365,-2.6204622918505307,-0.06271210362187041,0.10143991960365684,0.2478515812372365,-2.6204622918505307,937287896.3781296,24,2626185.524689554,1924012.5958991197,702172.9287904341,1.3877673076425152,1.325352492887846,77,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.06271210362187041,0.10143991960365684,1.3501842778239432,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-06-01,0.000758793389563861,0.044806730207087475,0.17150201543175345,0.1285722201475613,0.000758793389563861,0.044806730207087475,0.16717433806513812,0.12770100434890355,1000758793.3895639,24,5272396.601050604,3148916.0666272836,2123480.53442332,2.219082660439388,,135,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.000758793389563861,0.044806730207087475,2.209765660791075,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-07-01,0.05648014021998393,0.012577477883374821,0.11247968262304016,5.1883477175389405,0.05648014021998393,0.012496042038081523,0.11388963675835137,5.1254468824919,1056480140.2199839,24,4713424.439047426,2923631.8804253074,1789792.5586221183,2.0191135932927122,5.485436893203883,120,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05648014021998393,0.012496042038081523,2.051671495035303,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-08-02,0.012166737035188335,0.03678266131314145,0.15758420627929268,0.8816463437894544,0.012166737035188335,0.03468134358375108,0.13147351115131017,1.0293335718001384,1012166737.0351884,24,5371921.912202646,3250050.994422759,2121870.917779887,2.2768989067153056,191.52867081644197,124,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.012166737035188335,0.03468134358375108,2.280737539945796,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-09-01,0.049283518721195074,0.016079457899025096,0.1009851212131294,5.054933571994022,0.049283518721195074,0.016079457899025096,0.1009851212131294,5.054933571994022,1049283518.721195,24,4626227.496522786,2880557.5429071323,1745669.9536156533,1.982679810755951,6.3125,113,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.049283518721195074,0.016079457899025096,2.0214438897593907,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-10-01,-0.02416690083053441,0.047109917229797516,0.1447135413106661,-1.7047156490029383,-0.02416690083053441,0.047109917229797516,0.1447135413106661,-1.7047156490029383,975833099.1694655,24,2870554.706072271,2035837.480644033,834717.2254282378,1.4349237674830198,4.2983682983683,68,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.02416690083053441,0.047109917229797516,1.4286578811537074,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.04330469272502557,0.03384780140474386,0.12458180758421245,3.635881513595003,0.04330469272502557,0.03384780140474386,0.12458180758421245,3.635881513595003,1043304692.7250257,24,2848331.844427587,1974136.0790852148,874195.7653423724,1.381885794774136,2.844172235294118,88,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.04330469272502557,0.03384780140474386,1.3853586519896242,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
