episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.1174827171114412,0.13357219925835107,0.21140927208436452,-6.089079612206816,-0.1174827171114412,0.13357219925835107,0.21140927208436452,-6.089079612206816,882517282.8885587,24,3549134.9002818996,2354420.5741603374,1194714.326121562,1.7013181951477092,23.34735328535685,97,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.1174827171114412,0.13357219925835107,1.6522249643230433,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-02-01,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2010-03-01,0.05598275523223428,0.00959420812555456,0.08872075586658036,6.496330534369935,0.05598275523223428,0.00959420812555456,0.08872075586658036,6.496330534369935,1055982755.2322344,24,3377644.933016129,2249495.771274281,1128149.1617418479,1.5591123813201169,13.779527559055119,96,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05598275523223428,0.00959420812555456,1.57859352370125,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-04-01,-0.01937685482818885,0.0425797826278802,0.17121991826574373,-1.1166304001804401,-0.01937685482818885,0.0425797826278802,0.17121991826574373,-1.1166304001804401,980623145.1718111,24,3482867.3288744492,2284451.606994635,1198415.7218798145,1.5970046731780463,8.928571428571429,94,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.01937685482818885,0.0425797826278802,1.6031239347330772,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-05-03,-0.04855341772811106,0.0867791459720787,0.2278286595695126,-2.1817868229065445,-0.04855341772811106,0.0867791459720787,0.2278286595695126,-2.1817868229065445,951446582.271889,24,3651937.7708570147,2376813.460283068,1275124.3105739465,1.7019510723164937,21.071428571428573,133,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.04855341772811106,0.0867791459720787,1.667939270374083,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-06-01,0.002955331804517458,0.03824165593809736,0.16528411414431202,0.2667059593439839,0.002955331804517458,0.03824165593809736,0.16192496789725347,0.2689799857336295,1002955331.8045175,24,3786406.0524595166,2433484.0962462807,1352921.9562132359,1.7112967447186516,,121,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.002955331804517458,0.03824165593809736,1.7077081377166878,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-07-01,0.09779415817357662,0.009025219611469959,0.1314268673207341,7.531055432913522,0.09779415817357662,0.007118665016447978,0.13304474325320328,7.440999167646589,1097794158.1735766,24,3668702.4669468645,2387560.1834483687,1281142.2834984956,1.6350510951255697,28.9273631840796,114,0,False,True,0,0,0,0,0,0,0,0,1,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09779415817357662,0.007118665016447978,1.675480830490083,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-08-02,0.007328446775172637,0.042116666766693345,0.1496202112087604,0.5843574025208449,0.007328446775172637,0.039952898077576515,0.12320798279008101,0.6816966750991771,1007328446.7751726,24,3429431.146495793,2260050.7473984347,1169380.3990973583,1.5858205277489317,24.391451109209477,79,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.007328446775172637,0.039952898077576515,1.586000524490129,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-09-01,0.046019409989418225,0.01698111294214344,0.09509598767923616,5.01764310324698,0.046019409989418225,0.016945568871234884,0.09508926480157918,5.017991429985088,1046019409.9894181,24,3781089.823502107,2445414.3330642944,1335675.4904378126,1.693099489295113,20.2,110,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.046019409989418225,0.016945568871234884,1.7160802337293295,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-10-01,-0.031432880843012545,0.038796932038010046,0.1282758628020607,-2.5510206884689888,-0.031432880843012545,0.038796932038010046,0.1282758628020607,-2.5510206884689888,968567119.1569874,24,3553772.2959433794,2321489.127066597,1232283.1688767828,1.6453267802939293,4.237388724035609,88,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.031432880843012545,0.038796932038010046,1.6291151768888397,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
