episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.10467698776150403,0.11659081314719733,0.2074283342101392,-5.483809611544497,-0.10467698776150403,0.11659081314719733,0.2074283342101392,-5.483809611544497,895323012.238496,24,7204541.897033654,4103290.6254087896,3101251.271624864,2.96940022571652,25.217494985455662,149,0,False,True,0,0,0,0,0,0,0,0,0,1,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.10467698776150403,0.11659081314719733,2.8795021932693254,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.012615693851792953,0.039401315162125305,0.11124161259645424,1.2369440693327112,0.012615693851792953,0.039401315162125305,0.11124161259645424,1.2369440693327112,1012615693.8517929,24,6569674.400599656,3830898.088006109,2738776.3125935467,2.730347873571509,209.92028343666962,145,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.012615693851792953,0.039401315162125305,2.6883495354428835,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.060902960436421516,0.12178610004920909,0.28888365686048273,-2.1413780812795995,-0.060902960436421516,0.11268195041789375,0.2784505830238491,-2.231918077402585,939097039.5635785,24,6594548.139751261,3868117.124602663,2726431.015148598,2.8516625103984707,13.304525813054354,193,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.060902960436421516,0.11268195041789375,2.7144681576159035,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.01697703820259311,0.039774344381618976,0.16512509319125313,1.1499912423452179,0.01697703820259311,0.039774344381618976,0.16276008884897372,1.164434159450084,1016977038.2025931,24,7248978.852582968,4128677.0609781137,3120301.791604854,2.921908591955052,22.1,161,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.01697703820259311,0.039774344381618976,2.8973172357741155,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.03975848677275873,0.0228185899897706,0.10635907373659999,3.9032466843860045,0.03975848677275873,0.0228185899897706,0.10635907373659999,3.9032466843860045,1039758486.7727587,24,7535637.794983072,4270053.766821571,3265584.028161501,2.9834876342713486,24.061508390600547,141,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03975848677275873,0.0228185899897706,2.9965289591730317,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.038180191565143184,0.03183538329803437,0.11029403197339073,3.622643311812568,0.038180191565143184,0.03183538329803437,0.11029403197339073,3.622643311812568,1038180191.5651432,24,6758022.982387928,3870012.7013984732,2888010.280989455,2.6988773716950556,,132,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.038180191565143184,0.03183538329803437,2.715798386946297,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.03900206844115206,0.023514063210034575,0.1365273461918464,3.010157100269645,0.03900206844115206,0.023514063210034575,0.1365273461918464,3.010157100269645,1039002068.4411521,24,6634815.485305267,3808865.0508003235,2825950.434504944,2.655105453771961,303.75409165861396,159,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03900206844115206,0.023514063210034575,2.6728877549475953,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,0.0,0.0,0.0,,0.0,0.0,0.0,,1000000000.0,3,0.0,0.0,0.0,0.0,0.0,0,3,True,False,0,3,3,3,3,0,0,0,0,0,3,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,,0.0,0.0,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,0.0,False,False
monthly_2016-06-01,0.010254608823208722,0.033423960982427725,0.13556855029961062,0.8557942853726425,0.010254608823208722,0.03165398718830137,0.1384069392134137,0.8409033846910956,1010254608.8232088,24,7027188.68815165,4000213.248297855,3026975.439853795,2.7979383020244937,,168,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.010254608823208722,0.03165398718830137,2.8071671917879675,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.02658789079812862,0.04379772731189613,0.1436558688109675,-1.8994167935528412,-0.02658789079812862,0.04379772731189613,0.1436558688109675,-1.8994167935528412,973412109.2018714,24,7054800.859742974,4039962.134413453,3014838.725329521,2.8600243777320555,2.7788201498427814,145,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.02658789079812862,0.04379772731189613,2.835061146956809,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
