episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.09860622744524739,0.11429451886060094,0.21546803540603912,-4.943774783003802,-0.09860622744524739,0.11429451886060094,0.21546803540603912,-4.943774783003802,901393772.5547526,24,7358245.003241848,4178198.742428851,3180046.2608129974,3.025498407858396,,129,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.09860622744524739,0.11429451886060094,2.9320692929325265,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.01167048367540291,0.03910711532916655,0.11817427123501022,1.0878129806274446,0.01167048367540291,0.03910711532916655,0.11817427123501022,1.0878129806274446,1011670483.6754029,24,6630122.777070092,3857056.214426139,2773066.5626439536,2.7573687041326416,355.9955581176471,113,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.01167048367540291,0.03910711532916655,2.7067061153867638,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.0517768708220292,0.11196669696164085,0.28391395899716865,-1.8265142924264033,-0.0517768708220292,0.10201153275154295,0.27725301206502534,-1.8770457145784636,948223129.1779708,24,6586188.215857535,3806899.0108498405,2779289.205007694,2.794013659903437,1067.1809862974496,134,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.0517768708220292,0.10201153275154295,2.671508077789362,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.00499386638389554,0.048055706208229076,0.17791209649602663,0.37952697708253796,0.00499386638389554,0.048055706208229076,0.17584432718393417,0.38200630867539503,1004993866.3838956,24,7161263.5100882705,4090435.9187466805,3070827.5913415896,2.904859861847139,22.0,135,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.00499386638389554,0.048055706208229076,2.8704813464888983,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.04419374685263677,0.020305887569211145,0.1083374612615677,4.247045838661956,0.04419374685263677,0.020305887569211145,0.1083374612615677,4.247045838661956,1044193746.8526367,24,7079549.80381933,4047519.649230276,3032030.1545890546,2.818586926630053,11.880438895194855,112,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.04419374685263677,0.020305887569211145,2.8403646661265087,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.044935493958787154,0.03312485753599781,0.11575974420260512,4.046028363892449,0.044935493958787154,0.03312485753599781,0.11575974420260512,4.046028363892449,1044935493.9587872,24,7206408.81904766,4086646.0702280523,3119762.748819608,2.8256729625145964,,127,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.044935493958787154,0.03312485753599781,2.867821803668809,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.04400328654453367,0.022694587082441986,0.143378745371947,3.224788987383672,0.04400328654453367,0.022694587082441986,0.143378745371947,3.224788987383672,1044003286.5445337,24,6100609.838780824,3551729.8181706783,2548880.0206101453,2.4798076330206786,2.6551859760370218,122,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.04400328654453367,0.022694587082441986,2.492441977663634,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,-0.04710715030946733,0.12338772047110558,0.22652156201896576,-2.1248621398148946,-0.04710715030946733,0.11490563953463306,0.2134218161936652,-2.2680679025433705,952892849.6905327,24,6428811.433236673,3790313.1217251024,2638498.31151157,2.7574017195293163,21.551366165600864,139,2,False,True,0,2,2,2,2,0,0,0,1,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.04710715030946733,0.11490563953463306,2.6598688573509492,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2016-06-01,0.010582975419763718,0.033427395964889306,0.13141241261770248,0.9047588404576382,0.010582975419763718,0.031673606794035525,0.1332790176307617,0.8938339263672704,1010582975.4197637,24,5978137.473609272,3561714.869151019,2416422.6044582534,2.4889714275372006,,118,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.010582975419763718,0.031673606794035525,2.4994490309831705,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.01813536425236084,0.038649271538867436,0.1374492799003689,-1.3314279580210042,-0.01813536425236084,0.038649271538867436,0.1374492799003689,-1.3314279580210042,981864635.7476392,24,7421272.135437081,4216429.034959697,3204843.100477383,2.9708218737029903,29.60486928756735,144,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.01813536425236084,0.038649271538867436,2.9588975683927696,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-01-02,0.02562660203381406,0.023157950579838715,0.13917995609227016,1.9766944769113328,0.02562660203381406,0.023157950579838715,0.13917995609227016,1.9766944769113328,1025626602.033814,24,7106869.383180615,4058757.382467729,3048112.0007128855,2.7939424801750636,2.595509029690848,121,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.02562660203381406,0.023157950579838715,2.8482507947141964,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-11-01,0.05764524500614887,0.022195341667198276,0.15520921225526896,3.870036893390512,0.05764524500614887,0.022195341667198276,0.15520921225526896,3.870036893390512,1057645245.0061489,24,6465172.599372625,3802749.4760786076,2662423.123294018,2.6730368330544496,5.458474711699625,143,1,False,True,0,1,1,1,1,0,0,0,0,0,1,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05764524500614887,0.022195341667198276,2.6685961235639346,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
