episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.10790677035190155,0.12411657466127679,0.20315305477700052,-5.789431011243704,-0.10790677035190155,0.12411657466127679,0.20315305477700052,-5.789431011243704,892093229.6480985,24,6694881.827512365,3874340.3655209057,2820541.4619914596,2.811196857891245,25.641667889234768,133,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.10790677035190155,0.12411657466127679,2.718835344225197,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.02017516853289636,0.03877945983240061,0.12523944131897735,1.7353229147279021,0.02017516853289636,0.03877945983240061,0.12523944131897735,1.7353229147279021,1020175168.5328964,24,6741440.662542332,3939002.7172205904,2802437.945321742,2.8103071304257794,2.2972972972972974,124,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.02017516853289636,0.03877945983240061,2.764212433137256,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.06680423451449835,0.12012702942779019,0.2875188201123535,-2.3816040677257604,-0.06680423451449835,0.11009630652745928,0.28051323716378185,-2.4481461399940967,933195765.4855016,24,6845900.618396732,3949894.02682622,2896006.591570512,2.9241905295859425,1054.4556577257476,134,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.06680423451449835,0.11009630652745928,2.771855457421909,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.008691970477406885,0.050846190533068825,0.18018824793070423,0.5911892715885104,0.008691970477406885,0.050846190533068825,0.17773156041920493,0.5970042496798252,1008691970.4774069,24,7343392.132050792,4176984.714301178,3166407.417749614,2.9669262664425515,16.535947712418306,140,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.008691970477406885,0.050846190533068825,2.9312173433692474,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.03822159410847492,0.02452780579615954,0.10136449804678974,3.9371525620148393,0.03822159410847492,0.02452780579615954,0.10136449804678974,3.9371525620148393,1038221594.108475,24,8220774.506073127,4579568.683415954,3641205.822657172,3.2056327337548742,14.126985290345278,130,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03822159410847492,0.02452780579615954,3.2137324094147046,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.04649454112286944,0.02076250308991734,0.10725349187081663,4.504650531866777,0.04649454112286944,0.02076250308991734,0.10725349187081663,4.504650531866777,1046494541.1228695,24,7030649.676216189,4019409.329937694,3011240.3462784947,2.762567970704692,3.3071786310517544,122,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.04649454112286944,0.02076250308991734,2.820638126272065,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.022519213356207324,0.024002520457966914,0.12637172386968654,1.9116542463044266,0.022519213356207324,0.024002520457966914,0.12637172386968654,1.9116542463044266,1022519213.3562074,24,6897890.641584303,4013519.8186805677,2884370.8229037356,2.8139932047983556,2.3550266781771576,141,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.022519213356207324,0.024002520457966914,2.816505135916187,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,-0.03230543172799416,0.12240387962152788,0.24155497682511645,-1.3102159083428544,-0.03230543172799416,0.11677223948948412,0.22946691080119538,-1.390962481149242,967694568.2720058,24,6919020.142790612,3966468.019688711,2952552.1231019013,2.863180540333243,12.90902788837157,139,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.03230543172799416,0.11677223948948412,2.783486329606112,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2016-06-01,0.008688362381119585,0.02358432800971666,0.12290333426861158,0.7984346517303218,0.008688362381119585,0.02351469542384932,0.12880530633560253,0.7673944397364224,1008688362.3811196,24,7262355.806068204,4194245.964834162,3068109.841234042,2.9434413364089416,,129,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.008688362381119585,0.02351469542384932,2.943330501638008,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.020980349937859022,0.03791835922659714,0.1488366496132069,-1.423676083606233,-0.020980349937859022,0.03791835922659714,0.1488366496132069,-1.423676083606233,979019650.062141,24,7510394.9841312,4259002.867462884,3251392.116668316,2.9976980358901026,3.1249595631526508,138,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.020980349937859022,0.03791835922659714,2.988773942079217,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-01-02,0.008389383525235106,0.03031206588078006,0.13834753138355424,0.7004491194073409,0.008389383525235106,0.03031206588078006,0.13834753138355424,0.7004491194073409,1008389383.5252352,24,8011683.009087223,4501396.91037722,3510286.0987100024,3.1180692236627925,2.9221487809440667,136,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.008389383525235106,0.03031206588078006,3.1588750248261195,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-11-01,0.0914022230903444,0.01889996437810204,0.1426598977631608,6.517218024695295,0.0914022230903444,0.01889996437810204,0.1426598977631608,6.517218024695295,1091402223.0903444,24,7162098.701393716,4084015.8893619836,3078082.812031733,2.8093432652577945,8.12871439118707,139,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0914022230903444,0.01889996437810204,2.865976062710164,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
