episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.09801239766741376,0.11785913624496946,0.23062066994577654,-4.574941515333606,-0.09801239766741376,0.11785913624496946,0.23062066994577654,-4.574941515333606,901987602.3325863,24,6656207.978049533,3852091.977943277,2804116.0001062565,2.7781864162501684,44.3135786969272,148,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.09801239766741376,0.11785913624496946,2.703222440661949,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.00723195299267787,0.04665800766836703,0.11542461373584208,0.7108290307805365,0.00723195299267787,0.04665800766836703,0.11542461373584208,0.7108290307805365,1007231952.9926779,24,7637430.39762383,4301634.368065939,3335796.0295578903,3.078669136100946,366.4241896470588,130,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.00723195299267787,0.04665800766836703,3.018690784607677,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.08425933550545195,0.14039062613917763,0.30046670108982493,-2.924813757596166,-0.08425933550545195,0.13227760739474892,0.28824954961847554,-3.060901914598969,915740664.4945481,24,5965540.01888633,3550751.016819321,2414789.002067009,2.6433548067253194,831.1386171047006,121,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.08425933550545195,0.13227760739474892,2.4917550995223294,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.010737528513765415,0.04287071117231933,0.16620687222826544,0.7546884147927981,0.010737528513765415,0.04287071117231933,0.16404674921599713,0.7625556214912844,1010737528.5137653,24,6841033.640983111,3932119.3682016386,2908914.2727814727,2.7854649613062312,36.02806159706163,115,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.010737528513765415,0.04287071117231933,2.759382012773079,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.05142295423808019,0.01821263913664206,0.10451657486755568,5.092937681321676,0.05142295423808019,0.01821263913664206,0.10451657486755568,5.092937681321676,1051422954.2380803,24,6778211.063648229,3908582.147347026,2869628.916301203,2.716863630663631,11.880438895194855,116,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.05142295423808019,0.01821263913664206,2.7428646648049297,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.026942864558959778,0.030060448167264497,0.10236012842256696,2.7778042217885557,0.026942864558959778,0.030060448167264497,0.10236012842256696,2.7778042217885557,1026942864.5589598,24,6827762.859989984,3903102.4738719496,2924660.386118035,2.731020812977949,10.63744385536314,121,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.026942864558959778,0.030060448167264497,2.73901927991014,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.021250416055324406,0.021853081715164868,0.1248101024737673,1.8294356336790072,0.021250416055324406,0.021853081715164868,0.1248101024737673,1.8294356336790072,1021250416.0553244,24,6790954.840497786,3959803.501936861,2831151.338560926,2.7698828024051996,1.8331903572365693,132,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.021250416055324406,0.021853081715164868,2.778809475043411,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,-0.04468260101767374,0.1326474385350267,0.25445811634614574,-1.7615816481782867,-0.04468260101767374,0.1259149511991683,0.2431533542277895,-1.8544069886420498,955317398.9823263,24,6410445.842812125,3715072.193444199,2695373.6493679257,2.6987038834913712,,143,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.04468260101767374,0.1259149511991683,2.6070682059257537,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2016-06-01,0.015562708082915044,0.03824194209615828,0.14344805103248695,1.2000537294877236,0.015562708082915044,0.036497199427117155,0.1448908298840477,1.1894504619313093,1015562708.0829151,24,7144426.284240784,4078644.1036055754,3065782.1806352083,2.8388068159378395,,108,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.015562708082915044,0.036497199427117155,2.862206388495141,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.013941183260646861,0.03715847775830483,0.13341167330874154,-1.0405470197251496,-0.013941183260646861,0.03715847775830483,0.13341167330874154,-1.0405470197251496,986058816.7393532,24,7246455.954603562,4108724.9201034843,3137731.0345000774,2.892670604684019,14.265935648225064,135,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.013941183260646861,0.03715847775830483,2.8833157334059534,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
