episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.1047146703850722,0.12080591142181107,0.22658097817408726,-5.004484692390487,-0.1047146703850722,0.12080591142181107,0.22658097817408726,-5.004484692390487,895285329.6149278,24,8388403.609401315,4690133.900916038,3698269.708485278,3.395644168846507,,172,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.1047146703850722,0.12080591142181107,3.291322035730553,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,-0.0007161049627115723,0.04898813052101558,0.11320662300356257,-0.012141808174314794,-0.0007161049627115723,0.04898813052101558,0.11320662300356257,-0.012141808174314794,999283895.0372884,24,8623965.294261213,4814760.567402583,3809204.726858631,3.455846357027282,220.54915854738707,160,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.0007161049627115723,0.04898813052101558,3.378779345545673,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.06544517042509346,0.11256040981110993,0.27697677405282156,-2.427661222908023,-0.06544517042509346,0.10391451483590985,0.27005070289768457,-2.4968689911101127,934554829.5749066,24,8017693.820657149,4503533.778946558,3514160.0417105905,3.3371087566621975,1286.0067344814252,158,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.06544517042509346,0.10391451483590985,3.1603745817168813,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.007857738606612319,0.052546996568156756,0.18839610559184897,0.526952939255111,0.007857738606612319,0.052546996568156756,0.18839610559184897,0.526952939255111,1007857738.6066123,24,8245603.224938597,4644456.919691483,3601146.305247114,3.3057077363094036,59.88623926749187,149,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.007857738606612319,0.052546996568156756,3.2592680138185846,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.037401587269688674,0.02537085020947316,0.10843082344877329,3.6105876611623753,0.037401587269688674,0.02537085020947316,0.10843082344877329,3.6105876611623753,1037401587.2696886,24,7952240.133058976,4496719.128386419,3455521.0046725576,3.1495364908041528,11.880438895194855,137,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.037401587269688674,0.02537085020947316,3.1555923707974873,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.040573748478439864,0.045551242904461,0.12827281799416065,3.3197540284119884,0.040573748478439864,0.045551242904461,0.12827281799416065,3.3197540284119884,1040573748.4784398,24,9801274.610043911,5352964.280461464,4448310.329582447,3.7004638683196496,,160,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.040573748478439864,0.045551242904461,3.7564661617273427,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.0333316930697416,0.037041731435406566,0.14967670058218718,2.373283261745826,0.0333316930697416,0.037041731435406566,0.14967670058218718,2.373283261745826,1033331693.0697415,24,9016146.959116831,4964388.843681904,4051758.115434929,3.4839993089751946,658.4111143399749,167,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0333316930697416,0.037041731435406566,3.483781644689055,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,-0.028322313557693768,0.12585216705589852,0.25695334683609766,-1.0494742604385732,-0.028322313557693768,0.1192571619220345,0.2454603457040776,-1.1097237798246171,971677686.4423063,24,7578053.231788236,4325267.909879451,3252785.321908785,3.1322666059130304,,151,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.028322313557693768,0.1192571619220345,3.0352757262311933,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2016-06-01,-0.01043361302479573,0.041058530523484627,0.15311042224851185,-0.6449512508884071,-0.01043361302479573,0.037822510020639966,0.15476823001540535,-0.636519843504241,989566386.9752042,24,7639232.371038739,4398141.92505345,3241090.445985289,3.1002702819822843,,146,0,False,True,0,0,0,0,0,0,0,1,0,0,1,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.01043361302479573,0.037822510020639966,3.0864153860024213,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.020036285592582415,0.042832869599241374,0.15928743010978547,-1.2569444472098124,-0.020036285592582415,0.042832869599241374,0.15928743010978547,-1.2569444472098124,979963714.4074175,24,8485459.575074729,4733353.551837837,3752106.023236891,3.3403704406894694,31.211335062861703,157,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.020036285592582415,0.042832869599241374,3.3216516153247975,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
