episode_id,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,episode_return,episode_max_drawdown,episode_turnover,measured_pass,active_share_status,ready_status,forensic_partial_return,source_accuracy_verified,universe_point_in_time
monthly_2010-01-04,-0.11568913311556317,0.12979306291346304,0.22967643724865944,-5.495116561438428,-0.11568913311556317,0.12979306291346304,0.22967643724865944,-5.495116561438428,884310866.8844368,24,6944183.601886823,3980718.8657628642,2963464.7361239586,2.915731373384776,24.41073475669933,134,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.11568913311556317,0.12979306291346304,2.79348692334236,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2010-11-01,0.006602225517145621,0.04746033140040018,0.11572772403523648,0.6526120949313022,0.006602225517145621,0.04746033140040018,0.11572772403523648,0.6526120949313022,1006602225.5171455,24,6856153.945022326,3942197.936816944,2913956.0082053817,2.817435372369684,206.37732506643047,122,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.006602225517145621,0.04746033140040018,2.7664546925031175,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2011-08-01,-0.06090772556721258,0.11984584077730032,0.2915016765788616,-2.119126367144779,-0.06090772556721258,0.10990767315360495,0.2848196690886357,-2.175539211172649,939092274.4327874,24,6421029.475475503,3719516.70541732,2701512.7700581825,2.74642188583801,952.1539966591228,129,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.06090772556721258,0.10990767315360495,2.610187161696365,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2012-06-01,0.010293366645667712,0.04941145259401469,0.1837031655345816,0.6736945145939253,0.010293366645667712,0.04941145259401469,0.1837031655345816,0.6736945145939253,1010293366.6456678,24,6575174.290338056,3801732.3364048125,2773441.953933243,2.7023461284227834,19.102564534323843,132,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.010293366645667712,0.04941145259401469,2.66788234133671,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2013-04-01,0.03931939808823959,0.016419526934858264,0.09252779665282158,4.42433973167351,0.03931939808823959,0.016419526934858264,0.09252779665282158,4.42433973167351,1039319398.0882397,24,7126156.722175233,4080978.79151969,3045177.9306555428,2.843123750211604,11.880438895194855,121,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.03931939808823959,0.016419526934858264,2.86384476597873,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-01-02,0.044741019271831384,0.04059024397772004,0.12087354096913971,3.863460213315092,0.044741019271831384,0.04059024397772004,0.12087354096913971,3.863460213315092,1044741019.2718314,24,6998564.606028896,3984093.272636225,3014471.333392671,2.7567033282114104,,142,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.044741019271831384,0.04059024397772004,2.7958549281657716,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2014-11-03,0.025849767525151,0.03553369464587197,0.14148665582178457,1.9627074624652072,0.025849767525151,0.03553369464587197,0.14148665582178457,1.9627074624652072,1025849767.525151,24,6855346.907725776,3913992.854163027,2941354.0535627487,2.7533408762092932,2.6763621673483815,137,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.025849767525151,0.03553369464587197,2.7466616520442293,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2015-08-03,-0.042835809704648176,0.12176925266419669,0.2345590845420088,-1.8448696057816278,-0.042835809704648176,0.11557415021519157,0.22539985901845427,-1.9286985647474604,957164190.2953519,24,6650536.8348984625,3831004.229947932,2819532.6049505305,2.776493152061998,3.8169464428457234,140,2,False,True,0,2,2,2,2,0,0,0,0,0,2,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.042835809704648176,0.11557415021519157,2.688424021016093,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2016-06-01,0.0025419289374755127,0.04039720242312861,0.15367527847505436,0.24792214698688325,0.0025419289374755127,0.037734819138997566,0.15499892959009412,0.24700670564994331,1002541928.9374754,24,6553619.162953632,3843301.510340788,2710317.652612844,2.6959644277550563,,113,0,False,True,0,0,0,0,0,0,0,1,0,0,1,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.0025419289374755127,0.037734819138997566,2.69705369146722,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2017-04-05,-0.03107501644817834,0.045964504714773424,0.15451264904422835,-2.0694393859387565,-0.03107501644817834,0.045964504714773424,0.15451264904422835,-2.0694393859387565,968924983.5518217,24,7015133.788799742,4000695.556965892,3014438.23183385,2.835241628865609,3.1249595631526508,141,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,-0.03107501644817834,0.045964504714773424,2.807505654011153,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-01-02,0.020502215754530484,0.029911670636965537,0.14032188987616703,1.5864907087820914,0.020502215754530484,0.029911670636965537,0.14032188987616703,1.5864907087820914,1020502215.7545304,24,7100191.774110359,4049170.8145367512,3051020.959573608,2.7924757037059034,6.375,127,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.020502215754530484,0.029911670636965537,2.841523378622281,True,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
monthly_2018-11-01,0.09075431505927889,0.019603521846719763,0.1688929010656863,5.491121409229158,0.09075431505927889,0.019603521846719763,0.1688929010656863,5.491121409229158,1090754315.059279,24,7269121.755234975,4138799.2647150815,3130322.4905198934,2.8326649182958863,12.356182702727628,148,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS_INTERNAL_ACCOUNTING,0.09075431505927889,0.019603521846719763,2.9044205366421623,False,ACTIVE_SHARE_NOT_VERIFIED,BLOCK_READY,,False,False
