date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2025-10-27,2025-10-23,1216.TW,1216.TW,568000,79.41715011705728,45108941.26648853,64280.24130474616,0.0,0.0,0.06829142548251259,8317296.0
2025-10-27,2025-10-23,1301.TW,1301.TW,1128000,40.373490811871214,45541297.63579073,64896.34913100179,0.0,0.0,0.049273015532575556,22892855.0
2025-10-27,2025-10-23,1303.TW,1303.TW,1045000,43.80148320364426,45772549.94780825,65225.88367562676,0.0,0.0,0.016007624102016327,65281393.0
2025-10-27,2025-10-23,1326.TW,1326.TW,1468000,30.99727202161925,45503995.327737056,64843.193342025304,0.0,0.0,0.11550828563436513,12709045.0
2025-10-27,2025-10-23,2317.TW,2317.TW,189000,245.96193013869586,46486804.796213515,66243.69683460426,0.0,0.0,0.0023417595624512706,80708542.0
2025-10-27,2025-10-23,2324.TW,2324.TW,1296000,35.257232361581124,45693373.14060914,65113.05672536802,0.0,0.0,0.014504588396714282,89351036.0
2025-10-27,2025-10-23,2360.TW,2360.TW,65000,739.7101051577472,48081156.83525357,68515.64849023633,0.0,0.0,0.011508323350600539,5648086.0
2025-10-27,2025-10-23,2474.TW,2474.TW,225000,201.1234649697529,45252779.6181944,64485.210955927025,0.0,0.0,0.054346972813228776,4140065.0
2025-10-27,2025-10-23,2881.TW,2881.TW,493000,92.31310121156811,45510358.89730308,64852.26142865689,0.0,0.0,0.027587400157253777,17870477.0
2025-10-27,2025-10-23,2883.TW,2883.TW,2810000,16.135218989776053,45339965.36127071,64609.45063981076,0.0,0.0,0.06482635637558103,43346567.0
2025-10-27,2025-10-23,2887.TW,2887.TW,2327000,19.095976224405202,44436336.67419091,63321.77976072205,0.0,0.0,0.01893666299817309,122883319.0
2025-10-27,2025-10-23,3044.TW,3044.TW,140000,331.5936195899566,46423106.74259392,66152.92710819634,0.0,0.0,0.034332549488530845,4077763.0
2025-10-27,2025-10-23,3324.TWO,3324.TWO,45000,995.0192811542511,44775867.6519413,63805.61140401635,0.0,0.0,0.009485956042079701,4743855.0
2025-10-27,2025-10-23,3443.TW,3443.TW,28000,1631.6052787103235,45684947.80388906,65101.05062054191,0.0,0.0,0.005745758399067546,4873160.0
2025-10-27,2025-10-23,3665.TW,3665.TW,34000,1379.3270463575002,46897119.57615501,66828.39539602089,0.0,0.0,0.01237354870101394,2747797.0
2025-10-27,2025-10-23,3711.TW,3711.TW,231000,201.75728536023675,46605932.918214686,66413.45440845593,0.0,0.0,0.007429143100443848,31093761.0
2025-10-27,2025-10-23,5483.TWO,5483.TWO,346000,131.94820644890248,45654079.43132026,65057.06318963137,0.0,0.0,0.03324780831120256,10406701.0
2025-10-27,2025-10-23,6023.TWO,6023.TWO,508000,89.02647830011605,45225450.97645895,64446.26764145401,0.0,0.0,3.6393334575100655,139586.0
2025-10-27,2025-10-23,6488.TWO,6488.TWO,84000,544.1030242096008,45704654.03360647,65129.13199788922,0.0,0.0,0.014229980196610892,5903030.0
2025-10-27,2025-10-23,6669.TW,6669.TW,11000,4117.514269658612,45292656.96624473,64542.03617689874,0.0,0.0,0.00611417839060373,1799097.0
2025-10-29,2025-10-28,2327.TW,2327.TW,3000,249.35066295296488,748051.9888588947,1065.974084123925,0.0,0.0,3.521862052607885e-05,85182212.0
2025-10-31,2025-10-30,2887.TW,2887.TW,-2327000,18.74879091727733,43628436.464504346,62170.5219619187,130885.30939351305,0.0,0.03904448038818569,59598693.0
2025-11-03,2025-10-31,2327.TW,2327.TW,36000,255.89896556966173,9212362.760507822,13127.616933723646,0.0,0.0,0.0004949072259286955,72740906.0
2025-11-03,2025-10-31,8299.TWO,8299.TWO,9000,1109.2872168075328,9983584.951267796,14226.60855555661,0.0,0.0,0.0014936311567476282,6025584.0
2025-11-04,2025-11-03,1326.TW,1326.TW,-1468000,28.60431587935989,41991135.71090032,59837.36838803296,125973.40713270097,0.0,0.16309563514750933,9000854.0
2025-11-05,2025-11-04,2368.TW,2368.TW,13000,462.3820909155242,6010967.181901814,8565.628234210086,0.0,0.0,0.000897521976343392,14484325.0
2025-11-05,2025-11-04,2449.TW,2449.TW,31000,213.57645599416801,6620870.135819209,9434.739943542372,0.0,0.0,0.0008733901271698286,35493875.0
2025-11-05,2025-11-04,3017.TW,3017.TW,4000,1444.8263382323448,5779305.352929379,8235.510127924364,0.0,0.0,0.00036316098590581295,11014399.0
2025-11-05,2025-11-04,3036.TW,3036.TW,45000,153.2558398312987,6896512.792408441,9827.530729182028,0.0,0.0,0.0018853707962934783,23867984.0
2025-11-05,2025-11-04,3037.TW,3037.TW,39000,163.18573457912075,6364243.648585709,9069.047199234636,0.0,0.0,0.0012472926952367268,31267721.0
2025-11-05,2025-11-04,6274.TWO,6274.TWO,17000,391.8210847877042,6660958.441390972,9491.865778982135,0.0,0.0,0.0006906696582684351,24613793.0
2025-11-05,2025-11-04,8086.TWO,8086.TWO,58000,116.05476855401515,6731176.576132879,9591.926620989352,0.0,0.0,0.010961345947448662,5291321.0
2025-11-06,2025-11-05,5483.TWO,5483.TWO,-346000,116.84436486454629,40428150.243133016,57610.11409646455,121284.45072939905,0.0,0.05703903761625619,6066021.0
2025-11-06,2025-11-05,6488.TWO,6488.TWO,-84000,416.74594314639944,35006659.22429755,49884.48939462401,105019.97767289267,0.0,0.008270903601141582,10156085.0
2025-11-07,2025-11-06,2327.TW,2327.TW,29000,234.55720622248165,6802158.980451968,9693.076547144054,0.0,0.0,0.0009737149346785015,29782844.0
2025-11-07,2025-11-06,2368.TW,2368.TW,21000,470.26101969068736,9875481.413504435,14072.56101424382,0.0,0.0,0.0024311205659833905,8637992.0
2025-11-07,2025-11-06,2449.TW,2449.TW,44000,215.4715975353948,9480750.291557372,13510.069165469255,0.0,0.0,0.0021048483315656594,20904119.0
2025-11-07,2025-11-06,3017.TW,3017.TW,7000,1484.8103492363477,10393672.444654435,14810.98323363257,0.0,0.0,0.0011357596187482112,6163276.0
2025-11-07,2025-11-06,3036.TW,3036.TW,62000,150.65531912711378,9340629.785881056,13310.397444880504,0.0,0.0,0.005780950462849001,10724880.0
2025-11-07,2025-11-06,3037.TW,3037.TW,60000,161.64719364706446,9698831.618823867,13820.835056824011,0.0,0.0,0.004387022864651351,13676701.0
2025-11-07,2025-11-06,6274.TWO,6274.TWO,24000,383.3503657999635,9200408.779199125,13110.582510358754,0.0,0.0,0.0014660341869398832,16370696.0
2025-11-07,2025-11-06,8086.TWO,8086.TWO,79000,117.07972729439014,9249298.456256822,13180.250300165972,0.0,0.0,0.029928516307063547,2639623.0
2025-11-07,2025-11-06,8299.TWO,8299.TWO,5000,1165.7495929922543,5828747.964961272,8305.965850069813,0.0,0.0,0.0005625927785815978,8887423.0
2025-11-10,2025-11-07,1216.TW,1216.TW,-568000,75.4097021918163,42832710.84495165,61036.61295405611,128498.13253485496,0.0,0.05391361595964528,10535372.0
2025-11-10,2025-11-07,2324.TW,2324.TW,-1296000,31.44708864681388,40755426.88627079,58076.48331293588,122266.28065881238,0.0,0.06531217480924537,19843161.0
2025-11-11,2025-11-10,1519.TW,1519.TW,28000,767.0729299549909,21478042.038739745,30606.209905204138,0.0,0.0,0.023468472621512207,1193090.0
2025-11-11,2025-11-10,2368.TW,2368.TW,11000,497.9917532556535,5477909.285812189,7806.02073228237,0.0,0.0,0.0005247841479311173,20960999.0
2025-11-11,2025-11-10,2449.TW,2449.TW,25000,217.3681437957724,5434203.5948943095,7743.740122724392,0.0,0.0,0.0011695277213155783,21376150.0
2025-11-11,2025-11-10,3017.TW,3017.TW,3000,1547.9625175217566,4643887.55256527,6617.53976240551,0.0,0.0,0.0003966441787045971,7563454.0
2025-11-11,2025-11-10,3036.TW,3036.TW,41000,148.1866024238402,6075650.699377448,8657.802246612864,0.0,0.0,0.00458696197453274,8938378.0
2025-11-11,2025-11-10,3037.TW,3037.TW,33000,167.30773787616792,5521155.349913541,7867.646373626797,0.0,0.0,0.0019220210435677324,17169427.0
2025-11-11,2025-11-10,6274.TWO,6274.TWO,15000,387.84988016092495,5817748.202413875,8290.29118843977,0.0,0.0,0.0012642586248355517,11864661.0
2025-11-11,2025-11-10,6548.TWO,6548.TWO,506000,46.00120302043597,23276608.728340603,33169.167437885364,0.0,0.0,0.01984703272152044,25494995.0
2025-11-11,2025-11-10,8086.TWO,8086.TWO,55000,114.67124274653469,6306918.351059408,8987.358650259657,0.0,0.0,0.04354652391852208,1263017.0
2025-11-11,2025-11-10,8299.TWO,8299.TWO,3000,1329.614227475677,3988842.6824270305,5684.100822458518,0.0,0.0,0.0002639553640921106,11365558.0
