date,original_reason,final_reason,attempts,replanning_triggered,orders,nominal_failures,hold_envelope_failures
2025-11-28,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,20,,
2025-12-01,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,1,,
2025-12-02,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,1,,
2025-12-03,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,1,,
2025-12-04,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,4,,
2025-12-05,HOLD,HOLD_REVALIDATED_ENVELOPE,1,False,0,,
2025-12-08,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,2,,
2025-12-09,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,4,,
2025-12-10,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,1,,
2025-12-11,BUY_WITH_SETTLED_CASH,BUY_WITH_SETTLED_CASH,1,False,8,,
2025-12-12,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,2,,
2025-12-15,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,7,,
2025-12-16,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,4,,
2025-12-17,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,9,,
2025-12-18,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,3,,
2025-12-19,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,10,,
2025-12-22,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,2,,
2025-12-23,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,12,,
2025-12-24,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,1,,
2025-12-26,BUY_WITH_SETTLED_CASH,BUY_WITH_SETTLED_CASH,1,False,1,,
2025-12-29,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,1,,
2025-12-30,BUY_WITH_SETTLED_CASH,BUY_WITH_SETTLED_CASH,1,False,4,,
2025-12-31,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,1,,
2026-01-02,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,5,,
2026-01-05,SELL_THEN_WAIT_SETTLEMENT,SELL_THEN_WAIT_SETTLEMENT,1,False,2,,
2026-01-06,BUY_CASH_CAP_CORRECTION,BUY_CASH_CAP_CORRECTION,1,False,5,,
