date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2025-11-03,998398346.8117137,998398346.8117137,86445593.69745943,0.08658427167223871,20,0.0,0,1299962.5823013412,0.0,1299962.5823013412,912254443.7202394,0.9122544437202394,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-04,967639044.1343994,967639044.1343994,86445593.69745943,0.08933661185074364,20,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD_REVALIDATED_ENVELOPE,0.0
2025-11-05,971017594.2593191,971017594.2593191,85019192.4304605,0.08755679910755082,22,0.0,0,2029.7294410200252,0.0,2029.7294410200252,1424371.5375579125,0.0014720070941660716,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-06,997158510.9529005,997158510.9529005,170266108.17364335,0.1707512961113217,20,0.0,0,122016.77918191554,256877.42985666427,378894.20903857984,85625809.95222142,0.08818152261961411,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-07,984675624.6961836,984675624.6961836,103973425.21593522,0.10559154975326587,20,0.0,0,94332.64918963885,0.0,94332.64918963885,66198350.308518484,0.06638698820838253,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-10,1014926935.1774695,1014926935.1774695,20680983.570113767,0.020376820097396966,24,0.0,0,118522.83430640894,0.0,118522.83430640894,83173918.81151505,0.08446834340717829,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-11,1026723941.6479137,1026723941.6479137,186240539.16443908,0.18139300313336326,20,0.0,0,236970.96323422506,498886.2383878422,735857.2016220673,166295412.7959474,0.16384963984315687,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-12,1035341675.754989,1035341675.754989,100712023.52528262,0.09727419062102535,22,0.0,0,121704.70558034594,0.0,121704.70558034594,85406810.93357609,0.08318381160616198,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-11-13,1037973691.75902,1037973691.75902,189898741.0973035,0.1829514009892566,20,0.0,0,127655.95011940811,268749.36867243814,396405.3187918463,89583122.89081271,0.08652517810169975,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-11-14,1016363221.7588704,1016363221.7588704,105791319.79731083,0.10408810308408578,20,0.0,0,119682.52775044518,0.0,119682.52775044518,83987738.77224222,0.08091509393644741,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
