date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2026-07-01,990594954.3493843,99183507.52319339,20,,False,0,False,0,False,,,,990594954.3493843,99183507.52319339,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-02,1002989515.6244981,97200364.72232229,22,,False,0,False,0,False,,,,1002989515.6244981,97200364.72232229,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-03,1005293193.9059436,178014796.88568947,20,,False,0,False,0,False,,,,1005293193.9059436,178014796.88568947,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-06,1002943339.7581356,104908742.49137329,23,,False,0,False,0,False,,,,1002943339.7581356,104908742.49137329,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-07,972133495.4353759,203715400.70055407,20,,False,0,False,0,False,,,,972133495.4353759,203715400.70055407,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-08,983554799.1619023,95877055.54227437,29,,False,0,False,0,False,,,,983554799.1619023,95877055.54227437,29,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-09,980765706.7746363,194664801.27463633,25,,False,0,False,0,False,,,,980765706.7746363,194664801.27463633,25,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-13,979719622.7805176,92946553.8954965,28,,False,0,False,0,False,,,,979719622.7805176,92946553.8954965,28,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-14,978065566.5194352,180667064.35439688,25,,False,0,False,0,False,,,,978065566.5194352,180667064.35439688,25,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-15,1016735200.4372562,96757364.7975098,25,,False,0,False,0,False,,,,1016735200.4372562,96757364.7975098,25,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-16,1008678798.860893,171522101.17894757,23,,False,0,False,0,False,,,,1008678798.860893,171522101.17894757,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-17,964502119.2722094,106974738.88933314,24,,False,0,False,0,False,,,,964502119.2722094,106974738.88933314,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-20,944482936.0340738,192967390.94756633,21,,False,0,False,0,False,,,,944482936.0340738,192967390.94756633,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-21,973160144.593319,92625845.47791359,30,,False,0,False,0,False,,,,973160144.593319,92625845.47791359,30,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-22,994084262.4182904,187136248.294178,27,,False,0,False,0,False,,,,994084262.4182904,187136248.294178,27,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-23,988341326.6249574,99421297.12605141,27,,False,0,False,0,False,,,,988341326.6249574,99421297.12605141,27,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-24,958721416.7529821,179713531.44761258,24,,False,0,False,0,False,,,,958721416.7529821,179713531.44761258,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-27,953161557.0495853,96491471.05651994,24,,False,0,False,0,False,,,,953161557.0495853,96491471.05651994,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-28,924519725.8362942,163334648.94976324,21,,False,0,False,0,False,,,,924519725.8362942,163334648.94976324,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-29,911133688.383632,94449901.77813682,24,,False,0,False,0,False,,,,911133688.383632,94449901.77813682,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-30,902593983.1976737,157286828.94924173,22,,False,0,False,0,False,,,,902593983.1976737,157286828.94924173,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-07-31,921146802.9374112,90126087.62401915,26,,False,0,False,0,False,,,,921146802.9374112,90126087.62401915,26,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-03,916782740.6184702,181559089.99849105,24,,False,0,False,0,False,,,,916782740.6184702,181559089.99849105,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-04,918825982.0165056,89179766.99530569,24,,False,0,False,0,False,,,,918825982.0165056,89179766.99530569,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-05,924048934.1780252,178930194.7304377,22,,False,0,False,0,False,,,,924048934.1780252,178930194.7304377,22,0,UNKNOWN,BLOCK_SUBMISSION
