date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2025-05-02,1003020213.7637341,67595213.55255365,20,,False,0,False,0,False,,,,1003020213.7637341,67595213.55255365,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-05,992443563.3791633,67595213.55255365,20,,False,0,False,0,False,,,,992443563.3791633,67595213.55255365,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-06,996267296.0172545,65880948.9085756,22,,False,0,False,0,False,,,,996267296.0172545,65880948.9085756,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-07,988674908.0825433,151323910.54863036,20,,False,0,False,0,False,,,,988674908.0825433,151323910.54863036,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-08,1004576253.2382083,102046309.8273542,21,,False,0,False,0,False,,,,1004576253.2382083,102046309.8273542,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-09,1019256597.3317691,144054150.63680115,20,,False,0,False,0,False,,,,1019256597.3317691,144054150.63680115,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-12,1028245049.892236,106163158.46472123,20,,False,0,False,0,False,,,,1028245049.892236,106163158.46472123,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-13,1031645466.3563735,105290116.96402365,21,,False,0,False,0,False,,,,1031645466.3563735,105290116.96402365,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-14,1049114945.559883,147545947.0619154,20,,False,0,False,0,False,,,,1049114945.559883,147545947.0619154,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-15,1044773925.9963204,109916725.31789431,20,,False,0,False,0,False,,,,1044773925.9963204,109916725.31789431,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-16,1044532803.8688266,108938003.71094744,21,,False,0,False,0,False,,,,1044532803.8688266,108938003.71094744,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-19,1030491402.7821388,154514357.37018406,20,,False,0,False,0,False,,,,1030491402.7821388,154514357.37018406,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-20,1040881174.2261021,107927128.68199421,22,,False,0,False,0,False,,,,1040881174.2261021,107927128.68199421,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-21,1058943768.0896661,185755672.59228793,20,,False,0,False,0,False,,,,1058943768.0896661,185755672.59228793,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-22,1057644587.9069507,107076841.02851617,21,,False,0,False,0,False,,,,1057644587.9069507,107076841.02851617,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-23,1053813062.4229846,153328369.87900257,20,,False,0,False,0,False,,,,1053813062.4229846,153328369.87900257,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-26,1052340390.761518,110965690.26856941,21,,False,0,False,0,False,,,,1052340390.761518,110965690.26856941,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-27,1050292308.6262096,155468765.94940317,20,,False,0,False,0,False,,,,1050292308.6262096,155468765.94940317,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-28,1052371348.4577625,107871103.04387362,21,,False,0,False,0,False,,,,1052371348.4577625,107871103.04387362,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-05-29,1061367924.7724936,159967784.8234269,20,,False,0,False,0,False,,,,1061367924.7724936,159967784.8234269,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-06-02,1056622632.5694829,111882335.36935274,25,,False,0,False,0,False,,,,1056622632.5694829,111882335.36935274,25,0,UNKNOWN,BLOCK_SUBMISSION
2025-06-03,1071705224.911309,216458780.67343652,22,,False,0,False,0,False,,,,1071705224.911309,216458780.67343652,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-06-04,1080918619.96385,104221223.18598378,23,,False,0,False,0,False,,,,1080918619.96385,104221223.18598378,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-06-05,1081381408.749668,215205510.7271256,20,,False,0,False,0,False,,,,1081381408.749668,215205510.7271256,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-06-06,1079838568.7811935,107339672.87089933,23,,False,0,False,0,False,,,,1079838568.7811935,107339672.87089933,23,0,UNKNOWN,BLOCK_SUBMISSION
