date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-01-02,998450956.9619873,998450956.9619873,98641092.81098628,0.09879412916897201,1,0.0,0,1282608.7253107766,0.0,1282608.7253107766,900076298.4637029,0.900076298463703,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION
2025-01-03,1007493092.8109863,1007493092.8109863,98641092.81098628,0.09790746310306679,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-06,1036010614.5089842,1036010614.5089842,98641092.81098628,0.09521243453450241,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-07,1046443864.5089842,1046443864.5089842,98641092.81098628,0.09426314793987634,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-08,1032301071.1129881,1032301071.1129881,98641092.81098628,0.09555457760460828,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-09,1021635956.9619873,1021635956.9619873,98641092.81098628,0.09655209582120894,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-10,1021404092.8109863,1021404092.8109863,98641092.81098628,0.09657401365948912,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-13,1000073864.5089842,1000073864.5089842,98641092.81098628,0.0986338072732428,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-14,1005638321.1129881,1005638321.1129881,98641092.81098628,0.09808804093882924,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-15,998682821.1129881,998682821.1129881,98641092.81098628,0.09877119213991797,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-16,1016998956.9619873,1016998956.9619873,98641092.81098628,0.09699232446181676,1,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-17,1008884206.9619873,1021404106.9619873,98641092.81098628,0.09777246202318923,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-20,1018158206.9619873,1030678106.9619873,98641092.81098628,0.09688189137650297,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-21,1020012978.6599853,1032532878.6599853,98641092.81098628,0.09670572323557429,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-01-22,1032069206.9619873,1044589106.9619873,98641092.81098628,0.09557604484814301,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-03,992190992.8109863,1004710892.8109863,98641092.81098628,0.099417444348618,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-04,997523542.8109863,1010043442.8109863,98641092.81098628,0.09888597970632267,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-05,1011202692.8109863,1023722592.8109863,98641092.81098628,0.09754828929181288,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-06,1015144142.8109863,1027664042.8109863,98641092.81098628,0.09716954336932293,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-07,1019317442.8109863,1031837342.8109863,98641092.81098628,0.09677171082147121,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-10,1008884192.8109863,1021404092.8109863,98641092.81098628,0.0977724633945837,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-02-11,1014448592.8109863,1026968492.8109863,98641092.81098628,0.0972361670271105,1,12519900.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
