signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2025-11-28,1102.TW,1169000,1000000000.0,38.79999923706055,BUY_CASH_CAP_CORRECTION,1169000.0,0.04537659910774231,0.0
2025-11-28,2303.TW,990000,1000000000.0,45.79999923706055,BUY_CASH_CAP_CORRECTION,990000.0,0.045364899244308476,0.0
2025-11-28,2345.TW,44000,1000000000.0,1025.0,BUY_CASH_CAP_CORRECTION,44000.0,0.0456125,0.0
2025-11-28,2347.TW,721000,1000000000.0,62.900001525878906,BUY_CASH_CAP_CORRECTION,721000.0,0.045382351100921633,0.0
2025-11-28,2360.TW,55000,1000000000.0,819.0,BUY_CASH_CAP_CORRECTION,55000.0,0.0454545,0.0
2025-11-28,2368.TW,71000,1000000000.0,633.0,BUY_CASH_CAP_CORRECTION,71000.0,0.0452595,0.0
2025-11-28,2383.TW,29000,1000000000.0,1525.0,BUY_CASH_CAP_CORRECTION,29000.0,0.0449875,0.0
2025-11-28,2449.TW,198000,1000000000.0,229.00000762939453,BUY_CASH_CAP_CORRECTION,198000.0,0.04545650151443482,0.0
2025-11-28,2834.TW,2863000,1000000000.0,15.849999504089356,BUY_CASH_CAP_CORRECTION,2863000.0,0.04538647357995987,0.0
2025-11-28,2880.TW,1541000,1000000000.0,29.449998989105225,BUY_CASH_CAP_CORRECTION,1541000.0,0.045397173441705706,0.0
2025-11-28,2885.TW,1257000,1000000000.0,36.09999786376953,BUY_CASH_CAP_CORRECTION,1257000.0,0.045395747313690185,0.0
2025-11-28,2891.TW,1044000,1000000000.0,43.45000076293945,BUY_CASH_CAP_CORRECTION,1044000.0,0.045383525796890256,0.0
2025-11-28,3037.TW,243000,1000000000.0,186.5,BUY_CASH_CAP_CORRECTION,243000.0,0.04541275,0.0
2025-11-28,3363.TWO,120000,1000000000.0,375.5,BUY_CASH_CAP_CORRECTION,120000.0,0.04524775,0.0
2025-11-28,3702.TW,664000,1000000000.0,68.30000305175781,BUY_CASH_CAP_CORRECTION,664000.0,0.04538535202789307,0.0
2025-11-28,3711.TW,197000,1000000000.0,229.5,BUY_CASH_CAP_CORRECTION,197000.0,0.04532625,0.0
2025-11-28,4743.TWO,667000,1000000000.0,68.0,BUY_CASH_CAP_CORRECTION,667000.0,0.04539,0.0
2025-11-28,6274.TWO,103000,1000000000.0,440.0,BUY_CASH_CAP_CORRECTION,103000.0,0.04554,0.0
2025-11-28,6446.TW,87000,1000000000.0,515.9999932183899,BUY_CASH_CAP_CORRECTION,87000.0,0.04514999940660912,0.0
2025-11-28,6669.TW,9000,1000000000.0,4570.000129420935,BUY_CASH_CAP_CORRECTION,9000.0,0.04341500122949888,0.0
2025-12-01,3105.TWO,6000,997539666.8283671,141.0,BUY_CASH_CAP_CORRECTION,6000.0,0.0009187604568287203,0.0
2025-12-03,2347.TW,-721000,1006940544.1193795,61.29999923706055,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-04,1303.TW,191000,1005325711.6653575,63.400001525878906,BUY_CASH_CAP_CORRECTION,191000.0,0.012076782829013345,0.0
2025-12-04,3081.TWO,22000,1005325711.6653575,541.9999908447267,BUY_CASH_CAP_CORRECTION,22000.0,0.012130396798272377,0.0
2025-12-04,3105.TWO,78000,1005325711.6653575,144.0,BUY_CASH_CAP_CORRECTION,84000.0,0.01210354003564007,0.0
2025-12-04,4979.TWO,51000,1005325711.6653575,235.5,BUY_CASH_CAP_CORRECTION,51000.0,0.012064000611213977,0.0
2025-12-08,2360.TW,-55000,1016551440.5597829,805.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-08,4743.TWO,-667000,1016551440.5597829,63.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-09,1303.TW,365000,1021649166.3256541,62.09999847412109,BUY_CASH_CAP_CORRECTION,556000.0,0.03382633715166435,0.0
2025-12-09,3081.TWO,38000,1021649166.3256541,575.9999877929688,BUY_CASH_CAP_CORRECTION,60000.0,0.03410955581435545,0.0
2025-12-09,3105.TWO,123000,1021649166.3256541,167.0,BUY_CASH_CAP_CORRECTION,207000.0,0.03391819926269523,0.0
2025-12-09,4979.TWO,83000,1021649166.3256541,258.0,BUY_CASH_CAP_CORRECTION,134000.0,0.03396567152773356,0.0
2025-12-10,3702.TW,-664000,1031242467.3441323,64.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-11,1519.TW,8000,1024819472.6474284,760.9999938964844,BUY_WITH_SETTLED_CASH,8000.0,0.006311843325351697,0.0
2025-12-11,1785.TWO,99000,1024819472.6474284,63.5,BUY_WITH_SETTLED_CASH,99000.0,0.006165232188336536,0.0
2025-12-11,2883.TW,372000,1024819472.6474284,16.950000762939453,BUY_WITH_SETTLED_CASH,372000.0,0.006160963421083556,0.0
2025-12-11,2884.TW,194000,1024819472.6474284,32.349998474121094,BUY_WITH_SETTLED_CASH,194000.0,0.00613969081497072,0.0
2025-12-11,3131.TWO,4000,1024819472.6474284,1510.0,BUY_WITH_SETTLED_CASH,4000.0,0.006630436073239704,0.0
2025-12-11,5536.TWO,7000,1024819472.6474284,803.0,BUY_WITH_SETTLED_CASH,7000.0,0.005876644775730113,0.0
2025-12-12,1102.TW,-1169000,1037808361.6504,37.70000076293945,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-12,6669.TW,-9000,1037808361.6504,4405.00009726062,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-15,1519.TW,17000,1034303674.6939541,801.999969482422,BUY_CASH_CAP_CORRECTION,25000.0,0.019772722191916337,0.0
2025-12-15,1785.TWO,217000,1034303674.6939541,64.19999694824219,BUY_CASH_CAP_CORRECTION,316000.0,0.01964538996743973,0.0
2025-12-15,2883.TW,814000,1034303674.6939541,17.149999618530273,BUY_CASH_CAP_CORRECTION,1186000.0,0.0196735978467902,0.0
2025-12-15,2884.TW,422000,1034303674.6939541,33.0,BUY_CASH_CAP_CORRECTION,616000.0,0.019669755119085162,0.0
2025-12-15,3131.TWO,10000,1034303674.6939541,1450.0,BUY_CASH_CAP_CORRECTION,14000.0,0.02032768568304778,0.0
2025-12-15,5536.TWO,17000,1034303674.6939541,827.0,BUY_CASH_CAP_CORRECTION,24000.0,0.019589507893796557,0.0
2025-12-16,1303.TW,-556000,1013873000.1918378,58.20000076293945,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-16,2449.TW,-198000,1013873000.1918378,215.99999313354493,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-16,3131.TWO,-14000,1013873000.1918378,1430.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-17,1519.TW,12000,1018774011.6943418,764.9999816894532,BUY_CASH_CAP_CORRECTION,37000.0,0.028158844831194494,0.0
2025-12-17,1785.TWO,133000,1018774011.6943418,63.29999923706055,BUY_CASH_CAP_CORRECTION,449000.0,0.0279290100949252,0.0
2025-12-17,2883.TW,443000,1018774011.6943418,17.450000762939453,BUY_CASH_CAP_CORRECTION,1629000.0,0.027910778952752673,0.0
2025-12-17,2884.TW,232000,1018774011.6943418,33.5,BUY_CASH_CAP_CORRECTION,848000.0,0.027900937473587763,0.0
2025-12-17,2892.TW,972000,1018774011.6943418,29.25,BUY_CASH_CAP_CORRECTION,972000.0,0.027921427788181952,0.0
2025-12-17,5536.TWO,11000,1018774011.6943418,793.0,BUY_CASH_CAP_CORRECTION,35000.0,0.02763272293644468,0.0
2025-12-17,6510.TWO,12000,1018774011.6943418,2290.0,BUY_CASH_CAP_CORRECTION,12000.0,0.028097497257898476,0.0
2025-12-18,3711.TW,-197000,1009459440.0710822,222.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-18,6446.TW,-87000,1009459440.0710822,495.4999856479493,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-19,1519.TW,14000,1023994319.6747731,760.9999938964844,BUY_CASH_CAP_CORRECTION,51000.0,0.03827316122038295,0.0
2025-12-19,1785.TWO,179000,1023994319.6747731,62.09999847412109,BUY_CASH_CAP_CORRECTION,628000.0,0.03811529838698834,0.0
2025-12-19,2883.TW,595000,1023994319.6747731,17.549999237060547,BUY_CASH_CAP_CORRECTION,2224000.0,0.03812518541630243,0.0
2025-12-19,2884.TW,315000,1023994319.6747731,33.54999923706055,BUY_CASH_CAP_CORRECTION,1163000.0,0.03812074282279011,0.0
2025-12-19,2892.TW,331000,1023994319.6747731,29.950000762939453,BUY_CASH_CAP_CORRECTION,1303000.0,0.03812504155969426,0.0
2025-12-19,3081.TWO,6000,1023994319.6747731,584.9999938964844,BUY_CASH_CAP_CORRECTION,66000.0,0.037990933002901704,0.0
2025-12-19,3105.TWO,17000,1023994319.6747731,174.0,BUY_CASH_CAP_CORRECTION,224000.0,0.03814767254998704,0.0
2025-12-19,4979.TWO,27000,1023994319.6747731,242.0,BUY_CASH_CAP_CORRECTION,161000.0,0.03816720390833125,0.0
2025-12-19,5536.TWO,14000,1023994319.6747731,791.0,BUY_CASH_CAP_CORRECTION,49000.0,0.03823702851441179,0.0
2025-12-19,6510.TWO,4000,1023994319.6747731,2300.0,BUY_CASH_CAP_CORRECTION,16000.0,0.03706075245813195,0.0
2025-12-23,3037.TW,-243000,1049683318.3757595,215.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-24,2883.TW,32000,1056956752.2736404,17.549999237060547,BUY_CASH_CAP_CORRECTION,2256000.0,0.03746754367502682,0.0
2025-12-24,2884.TW,3000,1056956752.2736404,33.95000076293945,BUY_CASH_CAP_CORRECTION,1166000.0,0.03746858686959403,0.0
2025-12-24,2892.TW,48000,1056956752.2736404,29.299999237060547,BUY_CASH_CAP_CORRECTION,1351000.0,0.037465060782955646,0.0
2025-12-24,3211.TWO,122000,1056956752.2736404,323.5,BUY_CASH_CAP_CORRECTION,122000.0,0.037493255911137155,0.0
2025-12-24,6510.TWO,1000,1056956752.2736404,2265.0,BUY_CASH_CAP_CORRECTION,17000.0,0.037501534395551185,0.0
2025-12-26,5536.TWO,-49000,1062270543.2480481,791.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-29,2301.TW,77000,1059460271.260016,165.0,BUY_WITH_SETTLED_CASH,77000.0,0.012069824935286935,0.0
2025-12-29,2882.TW,168000,1059460271.260016,76.0,BUY_WITH_SETTLED_CASH,168000.0,0.012087286656600936,0.0
2025-12-29,8299.TWO,9000,1059460271.260016,1340.0,BUY_WITH_SETTLED_CASH,9000.0,0.012015552017689357,0.0
2025-12-30,1519.TW,-51000,1057736292.0177875,773.0000244140625,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-30,3081.TWO,-66000,1057736292.0177875,605.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-12-31,2301.TW,110000,1061351601.6894069,163.5,BUY_CASH_CAP_CORRECTION,187000.0,0.0288841604904566,0.0
2025-12-31,2449.TW,123000,1061351601.6894069,247.49999313354493,BUY_CASH_CAP_CORRECTION,123000.0,0.02879936215608377,0.0
2025-12-31,2882.TW,236000,1061351601.6894069,75.80000305175781,BUY_CASH_CAP_CORRECTION,404000.0,0.028888731298498265,0.0
2025-12-31,8299.TWO,12000,1061351601.6894069,1450.0,BUY_CASH_CAP_CORRECTION,21000.0,0.029372924062466367,0.0
2026-01-02,2303.TW,-990000,1053202518.4761192,48.7,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-01-02,2345.TW,-44000,1053202518.4761192,1145.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-01-05,1785.TWO,32000,1049080368.1802733,64.8,BUY_CASH_CAP_CORRECTION,660000.0,0.040798018243579606,0.0
2026-01-05,2301.TW,65000,1049080368.1802733,169.5,BUY_CASH_CAP_CORRECTION,252000.0,0.040796445437481954,0.0
2026-01-05,2449.TW,39000,1049080368.1802733,263.0,BUY_CASH_CAP_CORRECTION,162000.0,0.04073806096870551,0.0
2026-01-05,2882.TW,155000,1049080368.1802733,76.5,BUY_CASH_CAP_CORRECTION,559000.0,0.04079930508493223,0.0
2026-01-05,2883.TW,195000,1049080368.1802733,17.45,BUY_CASH_CAP_CORRECTION,2451000.0,0.04077730962996053,0.0
2026-01-05,2884.TW,97000,1049080368.1802733,33.85,BUY_CASH_CAP_CORRECTION,1263000.0,0.040768540044446355,0.0
2026-01-05,2892.TW,81000,1049080368.1802733,29.85,BUY_CASH_CAP_CORRECTION,1432000.0,0.040759627476559666,0.0
2026-01-05,3105.TWO,9000,1049080368.1802733,183.0,BUY_CASH_CAP_CORRECTION,233000.0,0.0407313884579882,0.0
2026-01-05,3264.TWO,340000,1049080368.1802733,125.5,BUY_CASH_CAP_CORRECTION,340000.0,0.04073353319357591,0.0
2026-01-05,6510.TWO,2000,1049080368.1802733,2250.0,BUY_CASH_CAP_CORRECTION,19000.0,0.041822343960268016,0.0
2026-01-05,8299.TWO,8000,1049080368.1802733,1470.0,BUY_CASH_CAP_CORRECTION,29000.0,0.041336203893721314,0.0
2026-01-06,3211.TWO,-122000,1056425443.9223441,316.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
