date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2025-07-01,995925153.3392278,86860509.21403013,20,,False,0,False,0,False,,,,995925153.3392278,86860509.21403013,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-02,993034499.366155,86860509.21403013,20,,False,0,False,0,False,,,,993034499.366155,86860509.21403013,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-03,1002328602.9603258,86860509.21403013,20,,False,0,False,0,False,,,,1002328602.9603258,86860509.21403013,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-04,997750619.6574088,86156725.66561593,21,,False,0,False,0,False,,,,997750619.6574088,86156725.66561593,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-07,993877291.0938464,127667400.11105737,20,,False,0,False,0,False,,,,993877291.0938464,127667400.11105737,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-08,990154419.6148559,105648228.82157409,21,,False,0,False,0,False,,,,990154419.6148559,105648228.82157409,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-09,999912482.1030593,147062438.2269987,20,,False,0,False,0,False,,,,999912482.1030593,147062438.2269987,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-10,1006396239.4391676,103616540.28606622,22,,False,0,False,0,False,,,,1006396239.4391676,103616540.28606622,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-11,1005836671.2073522,192329822.25450402,20,,False,0,False,0,False,,,,1005836671.2073522,192329822.25450402,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-14,997517496.7015581,101087151.56012447,23,,False,0,False,0,False,,,,997517496.7015581,101087151.56012447,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-15,1011844961.9647659,185822718.78306735,21,,False,0,False,0,False,,,,1011844961.9647659,185822718.78306735,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-16,1015373672.82953,103273379.54967928,22,,False,0,False,0,False,,,,1015373672.82953,103273379.54967928,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-17,1020634833.068905,176014090.72705066,20,,False,0,False,0,False,,,,1020634833.068905,176014090.72705066,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-18,1028935045.0647018,103857603.12776178,23,,False,0,False,0,False,,,,1028935045.0647018,103857603.12776178,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-21,1028569250.0990739,103857603.12776178,23,,False,0,False,0,False,,,,1028569250.0990739,103857603.12776178,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-22,1013796202.2931451,149010111.8186318,22,,False,0,False,0,False,,,,1013796202.2931451,149010111.8186318,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-23,1020712941.8170002,104903880.70182641,22,,False,0,False,0,False,,,,1020712941.8170002,104903880.70182641,22,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-24,1024249655.2151539,181367856.1670305,20,,False,0,False,0,False,,,,1024249655.2151539,181367856.1670305,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-25,1022028737.5331602,104514376.88329148,24,,False,0,False,0,False,,,,1022028737.5331602,104514376.88329148,24,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-28,1031515281.4765595,199256200.46972203,21,,False,0,False,0,False,,,,1031515281.4765595,199256200.46972203,21,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-29,1027092961.9593693,102581233.05722152,23,,False,0,False,0,False,,,,1027092961.9593693,102581233.05722152,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-30,1038397412.5065637,198255617.54441088,20,,False,0,False,0,False,,,,1038397412.5065637,198255617.54441088,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-07-31,1049276203.247619,104301438.00939651,20,,False,0,False,0,False,,,,1049276203.247619,104301438.00939651,20,0,UNKNOWN,BLOCK_SUBMISSION
2025-08-01,1052744680.6637591,74143008.16375908,23,,False,0,False,0,False,,,,1052744680.6637591,74143008.16375908,23,0,UNKNOWN,BLOCK_SUBMISSION
2025-08-04,1038055576.4237818,168415326.2425104,21,,False,0,False,0,False,,,,1038055576.4237818,168415326.2425104,21,0,UNKNOWN,BLOCK_SUBMISSION
