date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2025-09-01,994725516.2333128,994725516.2333128,106587564.31852555,0.1071527397046538,20,0.0,0,1271301.1167547256,0.0,1271301.1167547256,892141134.5647198,0.8921411345647198,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-09-02,989809902.1116178,989809902.1116178,105244199.64369941,0.10632768920494326,22,0.0,0,1911.570673417641,0.0,1911.570673417641,1341453.1041527307,0.001348566094124495,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-09-03,1001081406.6275278,1001081406.6275278,189857102.668635,0.18965201172623028,20,0.0,0,121109.29544286794,254966.93777445878,376076.2332173267,84988979.25815293,0.08586394122431096,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-09-04,995753275.7590692,995753275.7590692,98958974.81073551,0.09938101859147633,21,0.0,0,129345.51483886145,0.0,129345.51483886145,90768782.34306064,0.09067073041426786,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-09-05,1015495360.1703572,1015495360.1703572,143354860.47400713,0.14116742044981698,20,0.0,0,63545.32513387951,133779.63186079895,197324.95699467848,44593210.62026632,0.044783393342364475,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-09-08,1028379382.898013,1028379382.898013,107281784.60089383,0.1043212129540847,21,0.0,0,51330.986463476016,0.0,51330.986463476016,36021744.88664983,0.0354720920444254,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-09-09,1038264625.9869008,1038264625.9869008,145876425.27736712,0.14050023628485592,20,0.0,0,55241.80796421607,116298.54308256014,171540.3510467762,38766181.027520046,0.03769638099732751,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-09-10,1058477638.4007509,1058477638.4007509,110443735.56910113,0.10434205840755414,22,0.0,0,50419.73471231396,0.0,50419.73471231396,35382269.97355366,0.034078277433290935,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH,0.0
2025-09-11,1045716533.9875257,1045716533.9875257,195199833.41837287,0.18666610603739522,20,0.0,0,121314.25501364766,255398.4316076793,376712.68662132695,85132810.5358931,0.08042948423976144,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-09-12,1048276649.3811098,1048276649.3811098,103797149.14841327,0.09901694291263083,22,0.0,0,130063.48461911024,0.0,130063.48461911024,91272620.7853405,0.0872823732042371,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
