date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2025-09-01,2025-08-29,1504.TW,1504.TW,667000,67.95692517183852,45327269.08961629,64591.358452703214,0.0,0.0,0.019531430727959556,34150084.0
2025-09-01,2025-08-29,2327.TW,2327.TW,325000,135.68479842593734,44097559.488429636,62839.02227101223,0.0,0.0,0.02954185312499631,11001341.0
2025-09-01,2025-08-29,2395.TW,2395.TW,131000,348.74344835663254,45685391.73471886,65101.683221974374,0.0,0.0,0.02789519074135196,4696150.0
2025-09-01,2025-08-29,2409.TW,2409.TW,3531000,12.666542072138444,44725560.056720845,63733.923080827204,0.0,0.0,0.12880158460602564,27414259.0
2025-09-01,2025-08-29,3037.TW,3037.TW,314000,137.06595412982048,43038709.59676363,61330.16117538818,0.0,0.0,0.006881675334655433,45628424.0
2025-09-01,2025-08-29,3131.TWO,3131.TWO,29000,1497.8207963066848,43436803.09289386,61897.444407373754,0.0,0.0,0.02874252446583505,1008958.0
2025-09-01,2025-08-29,3211.TWO,3211.TWO,124000,352.7632290413091,43742640.40112233,62333.26257159933,0.0,0.0,0.01450764447566448,8547218.0
2025-09-01,2025-08-29,3260.TWO,3260.TWO,442000,102.23842011819276,45189381.6922412,64394.868911443715,0.0,0.0,0.08710641743720701,5074253.0
2025-09-01,2025-08-29,3443.TW,3443.TW,34000,1336.9889856394443,45457625.51174111,64777.11635423108,0.0,0.0,0.010813671534091053,3144168.0
2025-09-01,2025-08-29,3481.TW,3481.TW,3230000,13.858817029479747,44763979.00521958,63788.6700824379,0.0,0.0,0.04897514505323515,65951821.0
2025-09-01,2025-08-29,3680.TWO,3680.TWO,141000,313.9511279838698,44267109.04572564,63080.63039015904,0.0,0.0,0.09940357852882704,1418460.0
2025-09-01,2025-08-29,4772.TWO,4772.TWO,155000,279.33857558831056,43297479.21618814,61698.9078830681,0.0,0.0,0.04012193963434158,3863223.0
2025-09-01,2025-08-29,4958.TW,4958.TW,230000,191.73630555936256,44099350.27865339,62841.57414708108,0.0,0.0,0.0058853495022478455,39080092.0
2025-09-01,2025-08-29,5009.TWO,5009.TWO,1186000,37.75757291548987,44780481.477770984,63812.18610582365,0.0,0.0,0.36114791443169597,3283973.0
2025-09-01,2025-08-29,6023.TWO,6023.TWO,525000,86.28431198759141,45299263.79348549,64551.45090571683,0.0,0.0,5.816530024374031,90260.0
2025-09-01,2025-08-29,6187.TWO,6187.TWO,116000,389.842305812353,45221707.47423295,64440.93315078195,0.0,0.0,0.024035368459090455,4826221.0
2025-09-01,2025-08-29,6188.TWO,6188.TWO,366000,118.58984251586686,43403882.36080727,61850.532364150364,0.0,0.0,0.02606115356492015,14043891.0
2025-09-01,2025-08-29,6526.TW,6526.TW,79000,560.0435898763247,44243443.60022966,63046.907130327265,0.0,0.0,0.18588935112851307,424984.0
2025-09-01,2025-08-29,6535.TWO,6535.TWO,237000,196.7621568106426,46632631.1641223,66451.49940887428,0.0,0.0,0.25393655229164347,933304.0
2025-09-01,2025-08-29,6548.TWO,6548.TWO,1340000,33.90363170450484,45430866.48403648,64738.98473975199,0.0,0.0,0.7955931265503676,1684278.0
2025-09-02,2025-09-01,2360.TW,2360.TW,1000,566.4779630734954,566477.9630734954,807.2310973797311,0.0,0.0,0.0002658687060568879,3761255.0
