date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2026-01-02,1000445402.0085769,80986302.00857688,20,,False,0,False,0,False,,,,1000445402.0085769,80986302.00857688,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-05,1007727752.0085769,80986302.00857688,20,,False,0,False,0,False,,,,1007727752.0085769,80986302.00857688,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-06,1033782302.0085769,80986302.00857688,20,,False,0,False,0,False,,,,1033782302.0085769,80986302.00857688,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-07,1046790252.0085769,80986302.00857688,20,,False,0,False,0,False,,,,1046790252.0085769,80986302.00857688,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-08,1042644752.0085769,80986302.00857688,20,,False,0,False,0,False,,,,1042644752.0085769,80986302.00857688,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-09,1021634204.8541433,35239104.85414326,24,,False,0,False,0,False,,,,1021634204.8541433,35239104.85414326,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-12,1050950767.2880278,162551317.2880277,21,,False,0,False,0,False,,,,1050950767.2880278,162551317.2880277,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-13,1051309001.883801,108463601.88380095,23,,False,0,False,0,False,,,,1051309001.883801,108463601.88380095,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-14,1059943492.8926781,192878992.89267814,21,,False,0,False,0,False,,,,1059943492.8926781,192878992.89267814,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-15,1061932094.8153579,106001694.81535798,24,,False,0,False,0,False,,,,1061932094.8153579,106001694.81535798,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-16,1082634610.6648722,189588160.66487223,22,,False,0,False,0,False,,,,1082634610.6648722,189588160.66487223,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-19,1104377558.265591,108131908.26559085,22,,False,0,False,0,False,,,,1104377558.265591,108131908.26559085,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-20,1115411559.7646866,177495309.7646866,20,,False,0,False,0,False,,,,1115411559.7646866,177495309.7646866,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-21,1076852652.2819123,114168352.28191242,24,,False,0,False,0,False,,,,1076852652.2819123,114168352.28191242,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-22,1100712635.1615026,214497785.1615025,21,,False,0,False,0,False,,,,1100712635.1615026,214497785.1615025,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-23,1098636867.0392694,109155217.03926948,22,,False,0,False,0,False,,,,1098636867.0392694,109155217.03926948,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-26,1126528607.2126145,166504457.2126146,21,,False,0,False,0,False,,,,1126528607.2126145,166504457.2126146,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-27,1129720718.6240442,117551618.62404425,21,,False,0,False,0,False,,,,1129720718.6240442,117551618.62404425,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-28,1163555729.6470785,178387929.6470785,20,,False,0,False,0,False,,,,1163555729.6470785,178387929.6470785,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-29,1145515659.256609,124866459.25660892,22,,False,0,False,0,False,,,,1145515659.256609,124866459.25660892,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-01-30,1147917439.4119778,194686239.41197768,20,,False,0,False,0,False,,,,1147917439.4119778,194686239.41197768,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-02-02,1094740384.7552545,121642684.75525442,24,,False,0,False,0,False,,,,1094740384.7552545,121642684.75525442,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-02-03,1102076300.1259413,209445400.12594137,22,,False,0,False,0,False,,,,1102076300.1259413,209445400.12594137,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-02-04,1125297280.6235425,107645780.62354258,27,,False,0,False,0,False,,,,1125297280.6235425,107645780.62354258,27,0,UNKNOWN,BLOCK_SUBMISSION
2026-02-05,1084506102.5983667,204156602.59836662,24,,False,0,False,0,False,,,,1084506102.5983667,204156602.59836662,24,0,UNKNOWN,BLOCK_SUBMISSION
