date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2025-10-20,2025-10-17,2059.TW,2059.TW,12000,3767.0238533848437,45204286.240618125,64416.10789288083,0.0,0.0,0.031579944629830416,379988.0
2025-10-20,2025-10-17,2313.TW,2313.TW,531000,86.59315790584823,45980966.84800541,65522.8777584077,0.0,0.0,0.02650183159598272,20036351.0
2025-10-20,2025-10-17,2330.TW,2330.TW,31000,1477.3897464672004,45799082.140483215,65263.69205018858,0.0,0.0,0.0008864203321720083,34972122.0
2025-10-20,2025-10-17,2344.TW,2344.TW,1039000,45.74239814731055,47526351.67505567,67725.05113695432,0.0,0.0,0.0017950702812429904,578807421.0
2025-10-20,2025-10-17,2360.TW,2360.TW,69000,657.169427699695,45344690.51127896,64616.18397857252,0.0,0.0,0.021282213251478034,3242144.0
2025-10-20,2025-10-17,2449.TW,2449.TW,261000,177.06284053733452,46213401.38024431,65854.09696684814,0.0,0.0,0.015617684820041187,16711824.0
2025-10-20,2025-10-17,2887.TW,2887.TW,2354000,19.65931890528397,46278036.70303847,65946.20230182982,0.0,0.0,0.028606651313782337,82288555.0
2025-10-20,2025-10-17,3017.TW,3017.TW,39000,1151.3252437672836,44901684.50692406,63984.900422366794,0.0,0.0,0.006269610618598366,6220482.0
2025-10-20,2025-10-17,3260.TWO,3260.TWO,242000,187.50752198288933,45376820.319859214,64661.968955799384,0.0,0.0,0.01714880435630652,14111771.0
2025-10-20,2025-10-17,3324.TWO,3324.TWO,47000,986.9683792972643,46387513.82697142,66102.20720343427,0.0,0.0,0.009498558947349488,4948119.0
2025-10-20,2025-10-17,3443.TW,3443.TW,30000,1529.0246279518058,45870738.83855417,65365.8028449397,0.0,0.0,0.010104742391381597,2968903.0
2025-10-20,2025-10-17,3711.TW,3711.TW,233000,197.48677436325633,46014418.42663872,65570.54625796019,0.0,0.0,0.009494969499957415,24539310.0
2025-10-20,2025-10-17,5289.TWO,5289.TWO,110000,410.8187052566122,45190057.57822734,64395.83204897396,0.0,0.0,0.03001424039278272,3664927.0
2025-10-20,2025-10-17,6139.TW,6139.TW,106000,426.87937055493524,45249213.27882314,64480.128922322976,0.0,0.0,0.023026358663776062,4603420.0
2025-10-20,2025-10-17,6223.TWO,6223.TWO,24000,1833.1317091052863,43995161.018526874,62693.104451400795,0.0,0.0,0.023031435990841165,1042054.0
2025-10-20,2025-10-17,6290.TWO,6290.TWO,308000,145.60273532071255,44845642.478779465,63905.04053226074,0.0,0.0,0.03465678753183811,8887148.0
2025-10-20,2025-10-17,6548.TWO,6548.TWO,1195000,37.23181425134898,44492018.03036203,63401.1256932659,0.0,0.0,0.31379300112939223,3808243.0
2025-10-20,2025-10-17,6669.TW,6669.TW,12000,3837.2504861154785,46047005.83338574,65616.98331257468,0.0,0.0,0.007780441138045126,1542329.0
2025-10-20,2025-10-17,8046.TW,8046.TW,162000,281.7157119679314,45637945.338804886,65034.072107796965,0.0,0.0,0.006803597608023071,23810932.0
2025-10-20,2025-10-17,8210.TW,8210.TW,64000,729.3587966243639,46678962.98395929,66517.522252142,0.0,0.0,0.014992415945839898,4268825.0
2025-10-22,2025-10-21,3189.TW,3189.TW,5000,147.2536277422258,736268.138711129,1049.1820976633587,0.0,0.0,0.00019897009893270846,25129404.0
2025-10-27,2025-10-23,6548.TWO,6548.TWO,-1195000,38.354330263916246,45833424.66537991,65312.630148166376,137500.27399613973,0.0,0.2699870022157009,4426139.0
2025-10-28,2025-10-27,3189.TW,3189.TW,59000,139.2068089489957,8213201.7279907465,11703.812462386813,0.0,0.0,0.0015765266195317273,37424043.0
2025-10-28,2025-10-27,6182.TWO,6182.TWO,285000,33.3253315983326,9497719.505524792,13534.250295372829,0.0,0.0,0.02232998595091305,12763107.0
2025-10-29,2025-10-28,2313.TW,2313.TW,-531000,87.32944145844839,46371933.414436094,66080.00511557143,139115.80024330827,0.0,0.02924855021381186,18154746.0
2025-10-30,2025-10-29,2327.TW,2327.TW,86000,249.86361498861558,21488270.88902094,30620.78601685484,0.0,0.0,0.0010236291213629445,84014804.0
2025-10-30,2025-10-29,3189.TW,3189.TW,90000,138.1999705202361,12437997.346821249,17724.146219220278,0.0,0.0,0.008173686849527783,11010943.0
2025-10-30,2025-10-29,6182.TWO,6182.TWO,378000,31.921678448954847,12066394.453704933,17194.61209652953,0.0,0.0,0.048449332956505185,7801965.0
