date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2018-01-02,2017-12-29,1101.TW,1101.TW,1245000,36.44999754604632,45380246.94482767,64666.85189637943,0.0,0.0,0.09088291343754072,13698944.641069701
2018-01-02,2017-12-29,1301.TW,1301.TW,459000,98.5999984741211,45257399.29962158,64491.794001960756,0.0,0.0,0.08487482535016876,5407964.0
2018-01-02,2017-12-29,1303.TW,1303.TW,582000,78.0,45396000.0,64689.3,0.0,0.0,0.10208928707998678,5700892.0
2018-01-02,2017-12-29,1326.TW,1326.TW,440000,103.5,45540000.0,64894.5,0.0,0.0,0.035652931995840596,12341201.0
2018-01-02,2017-12-29,1402.TW,1402.TW,1693000,27.0,45711000.0,65138.175,0.0,0.0,0.16529700249068313,10242170.0
2018-01-02,2017-12-29,1519.TW,1519.TW,2176000,20.99999867725373,45695997.12170412,65116.79589842837,0.0,0.0,2.112874115640453,1029876.7843726518
2018-01-02,2017-12-29,1802.TW,1802.TW,2030000,22.350000381469727,45370500.774383545,64652.96360349655,0.0,0.0,0.3247119900622135,6251694.0
2018-01-02,2017-12-29,1815.TWO,1815.TWO,2051000,23.00289273275441,47178932.9948793,67229.979517703,0.0,0.0,0.039760132836725436,51584334.70085248
2018-01-02,2017-12-29,2327.TW,2327.TW,128000,353.00001974514277,45184002.527378276,64387.20360151405,0.0,0.0,0.05574777236447247,2296055.8704148903
2018-01-02,2017-12-29,2345.TW,2345.TW,428000,106.5,45582000.0,64954.350000000006,0.0,0.0,0.04608805057452847,9286572.0
2018-01-02,2017-12-29,2377.TW,2377.TW,592000,78.0999984741211,46235199.09667969,65885.15871276856,0.0,0.0,0.041542743096799575,14250383.0
2018-01-02,2017-12-29,3163.TWO,3163.TWO,1045000,43.00000047683716,44935000.49829483,64032.37571007013,0.0,0.0,0.680602893743636,1535403.4042553192
2018-01-02,2017-12-29,3529.TWO,3529.TWO,106000,427.0,45262000.0,64498.350000000006,0.0,0.0,0.9718172983479106,109074.0
2018-01-02,2017-12-29,3533.TW,3533.TW,230000,197.1647491455078,45347892.3034668,64620.746532440186,0.0,0.0,0.22197622538114767,1036147.0
2018-01-02,2017-12-29,5274.TWO,5274.TWO,63000,719.9999981689455,45359999.88464356,64637.999835617076,0.0,0.0,0.9038737446197993,69699.99999999999
2018-01-02,2017-12-29,6182.TWO,6182.TWO,1082000,42.08345413208008,45534297.370910645,64886.37375354767,0.0,0.0,0.06466807645464025,16731594.0
2018-01-02,2017-12-29,6274.TWO,6274.TWO,541000,83.80000305175781,45335801.65100098,64603.5173526764,0.0,0.0,0.3348037468314322,1615872.0
2018-01-02,2017-12-29,6415.TW,6415.TW,66000,680.0,44880000.0,63954.0,0.0,0.0,0.3768155659084681,175152.0
2018-01-02,2017-12-29,6505.TW,6505.TW,392000,116.5,45668000.0,65076.9,0.0,0.0,0.16987014900472128,2307645.0
2018-01-02,2017-12-29,6548.TWO,6548.TWO,104000,430.0000190734863,44720001.98364258,63726.002826690674,0.0,0.0,0.30683715797983135,338942.0
2018-01-03,2018-01-02,8415.TWO,8415.TWO,40000,21.924755096435547,876990.2038574219,1249.7110404968262,0.0,0.0,0.04283852339893696,933739.0
2018-01-10,2018-01-09,3163.TWO,3163.TWO,-1045000,39.99999971389771,41799999.7010231,59564.999573957924,125399.9991030693,0.0,0.9101188389318506,1148201.7021276595
2018-01-11,2018-01-10,2376.TW,2376.TW,163000,62.599998474121094,10203799.751281738,14540.414645576477,0.0,0.0,0.008950364408870436,18211549.0
2018-01-11,2018-01-10,8415.TWO,8415.TWO,407000,22.838287353515625,9295182.95288086,13245.635707855225,0.0,0.0,0.07761995477445682,5243497.0
2018-01-12,2018-01-11,3533.TW,3533.TW,-230000,179.59561157226562,41306990.661621094,58862.46169281006,123920.97198486328,0.0,0.120430197610246,1909820.0
2018-01-15,2018-01-12,2376.TW,2376.TW,165000,65.0,10725000.0,15283.125,0.0,0.0,0.025393647709769998,6497688.0
2018-01-15,2018-01-12,6147.TWO,6147.TWO,350000,62.70000076293945,21945000.26702881,31271.625380516052,0.0,0.0,0.017342627792621416,20181486.0
2018-01-15,2018-01-12,8415.TWO,8415.TWO,488000,23.934524536132812,11680047.973632812,16644.06836242676,0.0,0.0,0.26726823927736804,1825881.0
2018-01-16,2018-01-15,6415.TW,6415.TW,-66000,632.0,41712000.0,59439.6,125136.0,0.0,0.12831704419744494,514351.0
2018-01-17,2018-01-16,2408.TW,2408.TW,240000,85.80000305175781,20592000.732421875,29343.601043701172,0.0,0.0,0.005815875488697112,41266358.0
2018-01-17,2018-01-16,6290.TWO,6290.TWO,274000,75.4000015258789,20659600.41809082,29439.93059577942,0.0,0.0,0.023760130899243777,11531923.0
2018-01-18,2018-01-17,1802.TW,1802.TW,-2030000,21.700000762939453,44051001.54876709,62772.6772069931,132153.00464630127,0.0,0.18720923777067183,10843482.0
2018-01-18,2018-01-17,2345.TW,2345.TW,-428000,106.5,45582000.0,64954.350000000006,136746.0,0.0,0.07740840984497518,5529115.0
2018-01-19,2018-01-18,2376.TW,2376.TW,116000,64.80000305175781,7516800.354003906,10711.440504455566,0.0,0.0,0.03596698478844591,3225180.0
2018-01-19,2018-01-18,2379.TW,2379.TW,238000,120.0,28560000.0,40698.0,0.0,0.0,0.11567076406857818,2057564.0
2018-01-19,2018-01-18,2408.TW,2408.TW,108000,82.19999694824219,8877599.670410156,12650.579530334473,0.0,0.0,0.00781888338526375,13812714.0
2018-01-19,2018-01-18,3044.TW,3044.TW,279000,102.5,28597500.0,40751.4375,0.0,0.0,0.3012877622094436,926025.0
2018-01-19,2018-01-18,6147.TWO,6147.TWO,85000,65.69999694824219,5584499.740600586,7957.912130355835,0.0,0.0,0.005910063983743291,14382247.0
2018-01-19,2018-01-18,6290.TWO,6290.TWO,87000,78.0999984741211,6794699.867248535,9682.447310829162,0.0,0.0,0.02037379592622438,4270191.0
2018-01-19,2018-01-18,8415.TWO,8415.TWO,369000,21.924755096435547,8090234.630584717,11528.584348583221,0.0,0.0,0.42188352127539164,874649.0
2018-01-22,2018-01-19,6548.TWO,6548.TWO,-104000,464.49999809265137,48307999.80163574,68838.89971733093,144923.99940490723,0.0,0.44590220164212063,233235.0
2018-01-22,2018-01-19,8415.TWO,8415.TWO,-1304000,21.924755096435547,28589880.645751953,40740.579920196535,85769.64193725586,0.0,1.4946620848702143,872438.0
2018-01-23,2018-01-22,2330.TW,2330.TW,46000,262.5,12075000.0,17206.875,0.0,0.0,0.0013720103447193888,33527444.0
2018-01-23,2018-01-22,2409.TW,2409.TW,891000,13.600000000000001,12117600.000000002,17267.58,0.0,0.0,0.00617282122402992,144342427.5
2018-01-23,2018-01-22,2454.TW,2454.TW,37000,318.5,11784500.0,16792.912500000002,0.0,0.0,0.003681826138000217,10049361.0
2018-01-23,2018-01-22,3481.TW,3481.TW,827000,14.649999760627747,12115549.802039146,17264.658467905785,0.0,0.0,0.004832269810481212,171141106.02976552
2018-01-23,2018-01-22,3711.TW,3711.TW,285000,42.25,12041250.0,17158.78125,0.0,0.0,0.017479624584276262,16304698.0
2018-01-23,2018-01-22,5347.TWO,5347.TWO,179000,67.5,12082500.0,17217.5625,0.0,0.0,0.04332623493082083,4131446.0
2018-01-24,2018-01-23,1519.TW,1519.TW,-2176000,21.1999985074997,46131196.75231934,65736.95537205506,138393.59025695804,0.0,7.6054746173965135,286109.6919609315
2018-01-24,2018-01-23,1815.TWO,1815.TWO,-2051000,21.835727292048713,44785076.67599191,63818.73426328847,134355.23002797572,0.0,0.10104672897692242,20297539.769628942
2018-01-25,2018-01-24,2330.TW,2330.TW,40000,258.0,10320000.0,14706.0,0.0,0.0,0.0008959819599408257,44643756.0
2018-01-25,2018-01-24,2409.TW,2409.TW,723000,14.200000000000001,10266600.0,14629.905,0.0,0.0,0.002548411659475048,283706126.25
2018-01-25,2018-01-24,3481.TW,3481.TW,720000,14.49999925579071,10439999.464169312,14876.99923644127,0.0,0.0,0.005100971332263112,141149587.61796504
2018-01-25,2018-01-24,3661.TW,3661.TW,205000,115.0,23575000.0,33594.375,0.0,0.0,0.020344416078043166,10076475.0
2018-01-25,2018-01-24,3711.TW,3711.TW,244000,42.0,10248000.0,14603.4,0.0,0.0,0.010758489374051688,22679764.0
2018-01-25,2018-01-24,5347.TWO,5347.TWO,158000,66.5999984741211,10522799.758911133,14994.989656448364,0.0,0.0,0.03959713176421763,3990188.0
2018-01-25,2018-01-24,6121.TWO,6121.TWO,116000,193.0,22388000.0,31902.9,0.0,0.0,0.06532539366996935,1775726.0
2018-01-26,2018-01-25,1402.TW,1402.TW,-1693000,26.5,44864500.0,63931.912500000006,134593.5,0.0,0.2597534107019019,6517720.0
2018-01-26,2018-01-25,2408.TW,2408.TW,-348000,79.19999694824219,27561598.93798828,39275.2784866333,82684.79681396484,0.0,0.038509944031108065,9036627.0
2018-01-26,2018-01-25,2454.TW,2454.TW,-37000,300.5,11118500.0,15843.862500000001,33355.5,0.0,0.005268946240656699,7022277.0
2018-01-26,2018-01-25,5347.TWO,5347.TWO,-337000,64.5,21736500.0,30974.5125,65209.5,0.0,0.07251962441290306,4647018.0
2018-01-29,2018-01-26,2330.TW,2330.TW,41000,259.0,10619000.0,15132.075,0.0,0.0,0.001363429249361699,30071234.0
2018-01-29,2018-01-26,2376.TW,2376.TW,16000,71.5,1144000.0,1630.2,0.0,0.0,0.0009109355017242017,17564361.0
2018-01-29,2018-01-26,2379.TW,2379.TW,19000,127.5,2422500.0,3452.0625,0.0,0.0,0.0066068434379787785,2875806.0
2018-01-29,2018-01-26,2409.TW,2409.TW,655000,14.4,9432000.0,13440.6,0.0,0.0,0.005679948844039357,115317940.0
2018-01-29,2018-01-26,3044.TW,3044.TW,42000,101.5,4263000.0,6074.775000000001,0.0,0.0,0.047030947483228426,893029.0
2018-01-29,2018-01-26,3481.TW,3481.TW,691000,14.599999111328126,10088599.385927735,14376.254124947023,0.0,0.0,0.010354827748320519,66732157.86830209
2018-01-29,2018-01-26,3661.TW,3661.TW,64000,121.0,7744000.0,11035.2,0.0,0.0,0.004968334244065228,12881581.0
2018-01-29,2018-01-26,3711.TW,3711.TW,249000,42.0,10458000.0,14902.65,0.0,0.0,0.020300128844673197,12265932.0
2018-01-29,2018-01-26,5483.TWO,5483.TWO,343000,95.19999694824219,32653598.95324707,46531.37850837708,0.0,0.0,0.019853339962689613,17276690.0
2018-01-29,2018-01-26,6121.TWO,6121.TWO,54000,192.0,10368000.0,14774.4,0.0,0.0,0.04855041061060233,1112246.0
2018-01-29,2018-01-26,6147.TWO,6147.TWO,46000,68.5,3151000.0,4490.175,0.0,0.0,0.0038118611196463655,12067596.0
2018-01-29,2018-01-26,6290.TWO,6290.TWO,58000,77.5,4495000.0,6405.375,0.0,0.0,0.005839583617551573,9932215.0
2018-01-30,2018-01-29,3529.TWO,3529.TWO,-106000,430.5,45633000.0,65027.025,136899.0,0.0,0.19483861480773473,544040.0
