date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2026-08-21,975685220.7793647,93252322.59731153,20,,False,0,False,0,False,,,,975685220.7793647,93252322.59731153,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-24,970998599.7427583,65687598.759811535,23,,False,0,False,0,False,,,,970998599.7427583,65687598.759811535,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-25,990737932.9103706,126629731.23481154,20,,False,0,False,0,False,,,,990737932.9103706,126629731.23481154,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-26,1023000184.2386055,104037583.23481154,20,,False,0,False,0,False,,,,1023000184.2386055,104037583.23481154,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-27,1039882129.9781319,65700029.95981154,23,,False,0,False,0,False,,,,1039882129.9781319,65700029.95981154,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-28,1039593721.2421845,186332857.13481152,21,,False,0,False,0,False,,,,1039593721.2421845,186332857.13481152,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-08-31,1036956062.5748115,105866355.53481151,21,,False,0,False,0,False,,,,1036956062.5748115,105866355.53481151,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-01,1037566570.5800313,142543338.5348115,20,,False,0,False,0,False,,,,1037566570.5800313,142543338.5348115,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-02,1030879351.5281979,110629927.07217929,21,,False,0,False,0,False,,,,1030879351.5281979,110629927.07217929,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-03,996093861.825701,154520846.5221793,20,,False,0,False,0,False,,,,996093861.825701,154520846.5221793,20,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-04,1019858936.4931433,102190381.72217931,25,,False,0,False,0,False,,,,1019858936.4931433,102190381.72217931,25,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-07,1007851653.3240552,177231847.3471793,23,,False,0,False,0,False,,,,1007851653.3240552,177231847.3471793,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-08,987519435.2225316,103567024.34717931,23,,False,0,False,0,False,,,,987519435.2225316,103567024.34717931,23,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-09,993947681.3974223,185094862.1384322,21,,False,0,False,0,False,,,,993947681.3974223,185094862.1384322,21,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-10,989412301.0548124,98395491.3384322,24,,False,0,False,0,False,,,,989412301.0548124,98395491.3384322,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-11,967692767.8650421,186454100.0884322,22,,False,0,False,0,False,,,,967692767.8650421,186454100.0884322,22,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-14,959986253.8739483,98671789.11514284,30,,False,0,False,0,False,,,,959986253.8739483,98671789.11514284,30,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-15,939093653.5410491,190734600.51514283,28,,False,0,False,0,False,,,,939093653.5410491,190734600.51514283,28,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-16,956823607.6360312,91479513.11233503,28,,False,0,False,0,False,,,,956823607.6360312,91479513.11233503,28,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-17,960588430.4565412,193334800.21233502,25,,False,0,False,0,False,,,,960588430.4565412,193334800.21233502,25,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-18,987971312.3172172,93592920.98190537,27,,False,0,False,0,False,,,,987971312.3172172,93592920.98190537,27,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-21,998869616.1476196,193792566.85690537,24,,False,0,False,0,False,,,,998869616.1476196,193792566.85690537,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-22,1007745143.5410593,98036808.65683098,24,,False,0,False,0,False,,,,1007745143.5410593,98036808.65683098,24,0,UNKNOWN,BLOCK_SUBMISSION
2026-09-23,1004937391.3106475,180241436.40683097,22,,False,0,False,0,False,,,,1004937391.3106475,180241436.40683097,22,0,UNKNOWN,BLOCK_SUBMISSION
