split,episode,adaptive_de_seed_0,adaptive_de_seed_1,adaptive_de_seed_2,range,n_nan
development,development_2010_01,-0.122752,-0.122752,-0.122752,0,0
development,development_2011_01,-0.0709556,-0.0709556,-0.0709556,0,0
development,development_2012_01,0.257021,0.257021,0.257021,0,0
development,development_2012_07,-0.0147072,-0.0147072,-0.0147072,0,0
development,development_2013_07,0.103689,0.103689,0.103689,0,0
development,development_2014_01,-0.00638702,-0.00638702,-0.00638702,0,0
development,development_2014_07,-0.0610488,-0.0610488,-0.0610488,0,0
development,development_2015_01,-0.0247207,-0.0247207,-0.0247207,0,0
development,development_2015_07,-0.14495,-0.14495,-0.14495,0,0
development,development_2016_01,0.021869,0.021869,0.021869,0,0
development,development_2016_07,0.105381,0.105381,0.105381,0,0
development,development_2017_07,0.0351488,0.0351488,0.0351488,0,0
development,development_2018_01,-0.0249047,-0.0249047,-0.0249047,0,0
development,development_2018_07,-0.0247622,-0.0247622,,0,1
historical_holdout,historical_holdout_2023_01,0.0586186,0.0454543,0.0581569,0.0131643,0
historical_holdout,historical_holdout_2023_07,0.0848975,0.0848975,0.0848975,0,0
historical_holdout,historical_holdout_2024_01,-0.00850435,-0.00850435,-0.00850435,0,0
historical_holdout,historical_holdout_2024_07,-0.105557,-0.105557,-0.105557,0,0
validation,validation_2019_01,0.0701102,0.0701102,0.0701102,0,0
validation,validation_2019_07,0.0813972,0.0850137,0.0813972,0.00361654,0
validation,validation_2020_01,3.87171e-05,3.87171e-05,3.87171e-05,0,0
validation,validation_2020_07,0.0853371,0.0853371,0.0853371,0,0
validation,validation_2021_01,-0.0767443,-0.0767443,-0.0767443,0,0
validation,validation_2021_07,-0.0323909,-0.0323909,-0.0323909,0,0
validation,validation_2022_01,-0.0641585,-0.0641585,-0.0641585,0,0
validation,validation_2022_07,-0.0107335,0.0036436,0.0162293,0.0269628,0
