date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2011-01-03,1000748609.8049531,1000748609.8049531,81413859.80495304,0.08135295818279546,20,0.0,0,1307122.6000728386,0.0,1307122.6000728386,917279017.5949743,0.9172790175949743,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-04,985165009.8049531,985165009.8049531,81413859.80495304,0.08263982073528137,20,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD_REVALIDATED_ENVELOPE,0.0
2011-01-05,961919443.3996409,961919443.3996409,80560743.39964092,0.08374998961963075,21,0.0,0,1213.9609831687503,0.0,1213.9609831687503,851902.4443289476,0.0008647307160224972,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-06,973603289.2615179,973603289.2615179,122246489.26151788,0.12556088358559506,20,0.0,0,59666.21083612455,125613.07544447272,185279.28628059727,41871025.148157574,0.04352861919515412,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-07,953252898.4542913,953252898.4542913,104731698.4542913,0.10986769473674274,23,0.0,0,24923.061537606784,0.0,24923.061537606784,17489867.745688967,0.017964059836892195,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-10,959733930.8371947,959733930.8371947,188683930.83719474,0.19660025010536208,21,0.0,0,120163.65532043028,252976.11646406376,373139.77178449405,84325372.15468791,0.08846065119909134,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-11,971524159.5005056,971524159.5005056,94690759.50050555,0.09746619121565579,24,0.0,0,133749.67586667207,0.0,133749.67586667207,93859421.66082251,0.09779733595429631,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-12,979473403.8430271,979473403.8430271,197208153.84302717,0.20134099922393836,21,0.0,0,146736.59637706177,308919.15026749845,455655.74664456025,102973050.08916615,0.10599123972594586,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-13,983117591.3251582,983117591.3251582,88890421.3251582,0.09041687597649588,26,0.0,0,154133.1291289545,0.0,154133.1291289545,108163599.38874,0.11043035876661188,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-14,981838869.7777998,981838869.7777998,173445399.77779981,0.17665362934455048,24,0.0,0,121026.38605330019,254792.3916911583,375818.77774445846,84930797.2303861,0.0863892559545259,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-17,972908629.7217879,972908629.7217879,95721579.72178794,0.09838701888085873,26,0.0,0,110598.84023248557,0.0,110598.84023248557,77613221.21577936,0.07904883744655987,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-18,983818843.4318123,983818843.4318123,181555893.4318123,0.1845419963684562,23,0.0,0,122857.54165862412,258647.4561234192,381504.9977820433,86215818.7078064,0.08861656282405532,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-19,988824487.3647001,988824487.3647001,98807737.36470005,0.09992444425403635,25,0.0,0,117748.33102392596,0.0,117748.33102392596,82630407.7360884,0.08398945424530836,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-20,983964637.3647001,983964637.3647001,98807737.36470005,0.10041797602536971,25,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD_REVALIDATED_ENVELOPE,0.0
2011-01-21,972691186.2988155,972691186.2988155,186607736.2988155,0.1918468460775059,23,0.0,0,125671.09306794012,264570.722248295,390241.81531623506,88190240.74943167,0.08962744940268065,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-24,973412351.835593,973412351.835593,92033851.83559299,0.09454765152922293,23,0.0,0,134576.01453937343,0.0,134576.01453937343,94439308.4486831,0.09709074141818211,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-25,980673105.5822937,980673105.5822937,168148005.5822938,0.17146183027263978,21,0.0,0,108944.74960605544,229357.36759169566,338302.11719775107,76452455.86389855,0.07854066749793122,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2011-01-26,979840811.8332682,979840811.8332682,96072961.83326817,0.09804956139101516,21,0.0,0,102560.78821914922,0.0,102560.78821914922,71972482.96080647,0.07339090115872139,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2011-01-27,984649945.0581465,984649945.0581465,135041695.05814645,0.1371469076253001,20,0.0,0,55777.25921748894,117425.80887892409,173203.06809641304,39141936.292974696,0.03994724022542059,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
