date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2014-07-01,2014-06-30,1301.TW,1301.TW,568000,79.91362152071142,45390937.02376408,64682.085258863815,0.0,0.0,0.08657449125292799,6560824.0
2014-07-01,2014-06-30,1303.TW,1303.TW,631000,73.15323672509803,46159692.373536855,65777.56163229002,0.0,0.0,0.06332038025142707,9965196.0
2014-07-01,2014-06-30,1326.TW,1326.TW,600000,76.15549457752641,45693296.74651585,65112.947863785084,0.0,0.0,0.12064239663359456,4973376.0
2014-07-01,2014-06-30,1590.TW,1590.TW,141000,322.2630373850223,45439088.27128814,64750.70078658561,0.0,0.0,0.22265208637637676,633275.0
2014-07-01,2014-06-30,2207.TW,2207.TW,119000,384.6410013491738,45772279.16055168,65225.49780378615,0.0,0.0,0.5032968055455695,236441.0
2014-07-01,2014-06-30,2301.TW,2301.TW,910000,50.34524563842666,45814173.530968264,65285.19728162978,0.0,0.0,0.1542539684799814,5899362.0
2014-07-01,2014-06-30,2317.TW,2317.TW,453000,101.36734363541902,45919406.666844815,65435.15450025386,0.0,0.0,0.012402673238787545,36524384.0
2014-07-01,2014-06-30,2395.TW,2395.TW,177000,252.4643762566658,44686194.59742984,63677.82730133753,0.0,0.0,0.22104829343224308,800730.0
2014-07-01,2014-06-30,2449.TW,2449.TW,1618000,29.022939340758423,46959115.85334713,66916.74009101966,0.0,0.0,0.1216965095139518,13295369.0
2014-07-01,2014-06-30,2881.TW,2881.TW,1051000,43.034236478175956,45228982.53856293,64451.30011745218,0.0,0.0,0.15444276433444867,6805110.0
2014-07-01,2014-06-30,2882.TW,2882.TW,972000,46.59614646095463,45291454.3600479,64540.32246306826,0.0,0.0,0.10920933564545526,8900338.0
2014-07-01,2014-06-30,2883.TW,2883.TW,4621000,9.798512191978913,45278924.83913456,64522.46789576675,0.0,0.0,0.17004087972623308,27175818.0
2014-07-01,2014-06-30,2891.TW,2891.TW,2280000,19.860649174644003,45282280.11818833,64527.24916841837,0.0,0.0,0.07816325671460085,29169716.0
2014-07-01,2014-06-30,2892.TW,2892.TW,2363000,19.194440189995994,45356462.168960534,64632.958590768765,0.0,0.0,0.2078790469445079,11367187.0
2014-07-01,2014-06-30,3036.TW,3036.TW,994000,45.748470548785015,45473979.725492306,64800.42110882654,0.0,0.0,0.6360981203748499,1562652.0
2014-07-01,2014-06-30,3293.TWO,3293.TWO,291000,159.8870014627356,46527117.425656065,66301.1423315599,0.0,0.0,0.08578316492122982,3392274.0
2014-07-01,2014-06-30,3529.TWO,3529.TWO,125000,358.8123864286959,44851548.30358699,63913.456332611466,0.0,0.0,0.7778856445871606,160692.0
2014-07-01,2014-06-30,4966.TWO,4966.TWO,112000,403.2958591948594,45169136.22982425,64366.01912749956,0.0,0.0,0.04670817856036219,2397867.0
2014-07-01,2014-06-30,5347.TWO,5347.TWO,946000,49.32272293974727,46659295.90100092,66489.4966589263,0.0,0.0,0.06873321630764581,13763360.0
2014-07-01,2014-06-30,5880.TW,5880.TW,2654000,17.083138374554952,45338649.24606884,64607.575175648104,0.0,0.0,0.4915331834904116,5399432.0
2014-07-02,2014-07-01,4123.TWO,4123.TWO,6000,132.2027100434384,793216.2602606304,1130.3331708713984,0.0,0.0,0.0009371151970722022,6402628.0
2014-07-03,2014-07-02,4966.TWO,4966.TWO,-112000,383.994411443587,43007374.08168174,61285.50806639648,129022.12224504523,0.0,0.08290308851015007,1350975.0
2014-07-04,2014-07-03,3264.TWO,3264.TWO,165000,29.008820732368836,4786455.420840858,6820.698974698223,0.0,0.0,0.028323846275328385,5825480.0
2014-07-04,2014-07-03,4123.TWO,4123.TWO,27000,138.75289317472624,3746328.1157176085,5338.517564897592,0.0,0.0,0.0030887681066160385,8741349.0
2014-07-04,2014-07-03,6121.TWO,6121.TWO,25000,188.56561289094626,4714140.322273657,6717.649959239961,0.0,0.0,0.022444955989930297,1113836.0
2014-07-04,2014-07-03,6223.TWO,6223.TWO,42000,112.72940931520391,4734635.191238564,6746.855147514954,0.0,0.0,0.014999523229440207,2800089.0
2014-07-04,2014-07-03,8358.TWO,8358.TWO,439000,10.949462365591398,4806813.978494624,6849.709919354839,0.0,0.0,1.5734767025089607,279000.0
2014-07-07,2014-07-04,1590.TW,1590.TW,-141000,296.957416219353,41870995.68692877,59666.1688538735,125612.98706078631,0.0,0.20455534600319164,689300.0
2014-07-07,2014-07-04,2395.TW,2395.TW,-177000,240.9460137680447,42647444.43694391,60772.60832264507,127942.33331083173,0.0,0.25974673959141986,681433.0
2014-07-08,2014-07-07,2303.TW,2303.TW,1204000,15.78870460900945,19009600.349247377,27088.680497677513,0.0,0.0,0.01459642609416671,82485945.0
2014-07-08,2014-07-07,3264.TWO,3264.TWO,497000,28.747596683890208,14287555.551893434,20359.766661448142,0.0,0.0,0.0957934161975295,5188248.0
2014-07-08,2014-07-07,4123.TWO,4123.TWO,115000,135.6455027425269,15599232.815390594,22228.906761931597,0.0,0.0,0.020277137333701026,5671412.0
2014-07-08,2014-07-07,6121.TWO,6121.TWO,77000,189.57165286399794,14597017.270527842,20800.749610502175,0.0,0.0,0.0515758084005605,1492948.0
2014-07-08,2014-07-07,6223.TWO,6223.TWO,143000,104.3288692738776,14919028.306164498,21259.61533628441,0.0,0.0,0.03861907895927254,3702833.0
2014-07-08,2014-07-07,8358.TWO,8358.TWO,1340000,10.50947204968944,14082692.54658385,20067.836878881986,0.0,0.0,4.161490683229814,322000.0
2014-07-09,2014-07-08,1326.TW,1326.TW,-600000,71.51567210956476,42909403.26573886,61145.89965367788,128728.20979721658,0.0,0.15598924610137377,3846419.0
2014-07-09,2014-07-08,3529.TWO,3529.TWO,-125000,327.31111000469065,40913888.75058633,58302.29146958552,122741.666251759,0.0,0.32755869196642656,381611.0
2014-07-09,2014-07-08,8358.TWO,8358.TWO,-1779000,10.282142857142857,18291932.14285714,26066.00330357143,54875.796428571426,0.0,6.68796992481203,266000.0
2014-07-10,2014-07-09,2303.TW,2303.TW,918000,15.718016342844235,14429139.002731008,20561.52307889169,0.0,0.0,0.01082469992764431,84806046.0
2014-07-10,2014-07-09,3231.TW,3231.TW,1124000,29.88891217998634,33595137.290304646,47873.07063868412,0.0,0.0,0.03922956074444443,28651863.0
