signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2018-06-29,1216.TW,586000,1000000000.0,77.4,BUY_CASH_CAP_CORRECTION,586000.0,0.0453951,0.0
2018-06-29,1301.TW,403000,1000000000.0,112.5,BUY_CASH_CAP_CORRECTION,403000.0,0.04539375,0.0
2018-06-29,1303.TW,520000,1000000000.0,87.2,BUY_CASH_CAP_CORRECTION,520000.0,0.0453876,0.0
2018-06-29,1326.TW,373000,1000000000.0,121.5,BUY_CASH_CAP_CORRECTION,373000.0,0.04538025,0.0
2018-06-29,1402.TW,1570000,1000000000.0,28.9,BUY_CASH_CAP_CORRECTION,1570000.0,0.04538745,0.0
2018-06-29,2615.TW,2685000,1000000000.0,16.9,BUY_CASH_CAP_CORRECTION,2685000.0,0.04538495,0.0
2018-06-29,2881.TW,888000,1000000000.0,51.1,BUY_CASH_CAP_CORRECTION,888000.0,0.04540235,0.0
2018-06-29,2882.TW,843000,1000000000.0,53.8,BUY_CASH_CAP_CORRECTION,843000.0,0.0453803,0.0
2018-06-29,2886.TW,1687000,1000000000.0,26.9,BUY_CASH_CAP_CORRECTION,1687000.0,0.04539375,0.0
2018-06-29,2891.TW,2067000,1000000000.0,21.95,BUY_CASH_CAP_CORRECTION,2067000.0,0.045381625,0.0
2018-06-29,2912.TW,131000,1000000000.0,345.5,BUY_CASH_CAP_CORRECTION,131000.0,0.04543325,0.0
2018-06-29,3529.TWO,118000,1000000000.0,382.0,BUY_CASH_CAP_CORRECTION,118000.0,0.045267,0.0
2018-06-29,4123.TWO,637000,1000000000.0,71.2,BUY_CASH_CAP_CORRECTION,637000.0,0.04539,0.0
2018-06-29,4904.TW,575000,1000000000.0,78.79999999999998,BUY_CASH_CAP_CORRECTION,575000.0,0.04534939999999999,0.0
2018-06-29,5903.TWO,245000,1000000000.0,185.0,BUY_CASH_CAP_CORRECTION,245000.0,0.0454175,0.0
2018-06-29,6290.TWO,1163000,1000000000.0,39.0,BUY_CASH_CAP_CORRECTION,1163000.0,0.0453765,0.0
2018-06-29,6415.TW,61000,1000000000.0,741.0,BUY_CASH_CAP_CORRECTION,61000.0,0.0455715,0.0
2018-06-29,6505.TW,370000,1000000000.0,122.5,BUY_CASH_CAP_CORRECTION,370000.0,0.04538625,0.0
2018-06-29,6548.TWO,112000,1000000000.0,402.5,BUY_CASH_CAP_CORRECTION,112000.0,0.04528125,0.0
2018-06-29,8046.TW,1629000,1000000000.0,27.85,BUY_CASH_CAP_CORRECTION,1629000.0,0.045381575,0.0
2018-07-02,4904.TW,1000,996484447.7174665,77.29999999999998,REPLAN_FUNDED_RULE_REPAIR,576000.0,0.044720667845922144,0.0
2018-07-02,6290.TWO,5000,996484447.7174665,38.15,REPLAN_FUNDED_RULE_REPAIR,1168000.0,0.044735545147854924,0.0
2018-07-03,6290.TWO,3000,993116236.6942279,36.8,REPLAN_FUNDED_RULE_REPAIR,1171000.0,0.04341002433260345,0.0
2018-07-04,6290.TWO,3000,994980089.0830859,36.2,REPLAN_FUNDED_RULE_REPAIR,1174000.0,0.04273140786081562,0.0
2018-07-05,6290.TWO,5000,985637928.9948785,36.0,REPLAN_FUNDED_RULE_REPAIR,1179000.0,0.04308072848140226,0.0
2018-07-06,1326.TW,1000,982673473.9857224,113.0,REPLAN_FUNDED_RULE_REPAIR,374000.0,0.04306466096856794,0.0
2018-07-09,2891.TW,15000,990915213.5934637,20.5,REPLAN_FUNDED_RULE_REPAIR,2082000.0,0.043082646642576085,0.0
2018-07-10,2891.TW,3000,987820739.4102136,20.4,REPLAN_FUNDED_RULE_REPAIR,2085000.0,0.043068745474408,0.0
2018-07-11,3529.TWO,1000,981032252.4410719,338.0,REPLAN_FUNDED_RULE_REPAIR,119000.0,0.04117193894440915,0.0
2018-07-12,3529.TWO,1000,984411972.0403049,348.0,REPLAN_FUNDED_RULE_REPAIR,120000.0,0.042598019112960454,0.0
2018-07-13,2327.TW,17000,993116677.8135155,998.0,BUY_CASH_CAP_CORRECTION,17000.0,0.01758605045124368,0.0
2018-07-13,5536.TWO,82000,993116677.8135155,209.0,BUY_CASH_CAP_CORRECTION,82000.0,0.017362008296912063,0.0
2018-07-13,6147.TWO,257000,993116677.8135155,67.0,BUY_CASH_CAP_CORRECTION,257000.0,0.0173720776072191,0.0
2018-07-13,6274.TWO,148000,993116677.8135155,116.0,BUY_CASH_CAP_CORRECTION,148000.0,0.01734539393490545,0.0
2018-07-16,3529.TWO,-120000,990910473.5197096,344.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-16,4904.TW,-576000,990910473.5197096,72.9,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-16,6415.TW,-61000,990910473.5197096,664.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-16,6548.TWO,-112000,990910473.5197096,391.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-17,2345.TW,199000,987494784.4178714,104.0,BUY_CASH_CAP_CORRECTION,199000.0,0.02101074388178258,0.0
2018-07-17,2360.TW,120000,987494784.4178714,172.0,BUY_CASH_CAP_CORRECTION,120000.0,0.020988465283103226,0.0
2018-07-17,3034.TW,149000,987494784.4178714,138.5,BUY_CASH_CAP_CORRECTION,149000.0,0.02096795884568246,0.0
2018-07-17,3533.TW,86000,987494784.4178714,240.0,BUY_CASH_CAP_CORRECTION,86000.0,0.021022895844698592,0.0
2018-07-17,5536.TWO,14000,987494784.4178714,214.0,BUY_CASH_CAP_CORRECTION,96000.0,0.02091251551487816,0.0
2018-07-17,6147.TWO,45000,987494784.4178714,68.6,BUY_CASH_CAP_CORRECTION,302000.0,0.02101428820429975,0.0
2018-07-17,6274.TWO,26000,987494784.4178714,119.0,BUY_CASH_CAP_CORRECTION,174000.0,0.02102846549436843,0.0
2018-07-18,1326.TW,-374000,998204221.9079479,113.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-18,2327.TW,-17000,998204221.9079479,860.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-18,2891.TW,-2085000,998204221.9079479,20.6,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-19,2345.TW,103000,991196065.0429685,100.0,BUY_CASH_CAP_CORRECTION,302000.0,0.030518684513430407,0.0
2018-07-19,2360.TW,61000,991196065.0429685,167.0,BUY_CASH_CAP_CORRECTION,181000.0,0.030579721882457268,0.0
2018-07-19,3034.TW,60000,991196065.0429685,144.5,BUY_CASH_CAP_CORRECTION,209000.0,0.03054163658194877,0.0
2018-07-19,3264.TWO,834000,991196065.0429685,36.3,BUY_CASH_CAP_CORRECTION,834000.0,0.03056141067174921,0.0
2018-07-19,3533.TW,41000,991196065.0429685,238.0,BUY_CASH_CAP_CORRECTION,127000.0,0.03061452831603457,0.0
2018-07-19,5536.TWO,47000,991196065.0429685,211.0,BUY_CASH_CAP_CORRECTION,143000.0,0.030547437654211654,0.0
2018-07-19,6147.TWO,135000,991196065.0429685,69.2,BUY_CASH_CAP_CORRECTION,437000.0,0.03054390656674729,0.0
2018-07-19,6274.TWO,79000,991196065.0429685,119.5,BUY_CASH_CAP_CORRECTION,253000.0,0.030562318665668615,0.0
2018-07-20,8046.TW,-1629000,988845115.7986236,26.55,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2018-07-23,2345.TW,46000,986259260.6452475,99.4,BUY_CASH_CAP_CORRECTION,348000.0,0.035123523177198496,0.0
2018-07-23,2360.TW,26000,986259260.6452475,167.0,BUY_CASH_CAP_CORRECTION,207000.0,0.03513528479046072,0.0
2018-07-23,3034.TW,33000,986259260.6452475,143.0,BUY_CASH_CAP_CORRECTION,242000.0,0.03516063309490518,0.0
