signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2024-12-31,1504.TW,869000,1000000000.0,52.2,BUY_CASH_CAP_CORRECTION,869000.0,0.0453879,0.0
2024-12-31,1519.TW,80000,1000000000.0,563.0,BUY_CASH_CAP_CORRECTION,80000.0,0.0453215,0.0
2024-12-31,2059.TW,29000,1000000000.0,1550.0,BUY_CASH_CAP_CORRECTION,29000.0,0.045725,0.0
2024-12-31,2207.TW,73000,1000000000.0,619.0,BUY_CASH_CAP_CORRECTION,73000.0,0.0454965,0.0
2024-12-31,2377.TW,247000,1000000000.0,183.5,BUY_CASH_CAP_CORRECTION,247000.0,0.04541625,0.0
2024-12-31,2379.TW,79000,1000000000.0,568.0,BUY_CASH_CAP_CORRECTION,79000.0,0.045156,0.0
2024-12-31,2801.TW,2542000,1000000000.0,17.85,BUY_CASH_CAP_CORRECTION,2542000.0,0.045383625,0.0
2024-12-31,3008.TW,16000,1000000000.0,2675.0,BUY_CASH_CAP_CORRECTION,16000.0,0.0441375,0.0
2024-12-31,3036.TW,412000,1000000000.0,110.0,BUY_CASH_CAP_CORRECTION,412000.0,0.045375,0.0
2024-12-31,3163.TWO,320000,1000000000.0,141.5,BUY_CASH_CAP_CORRECTION,320000.0,0.04535075,0.0
2024-12-31,3189.TW,449000,1000000000.0,101.0,BUY_CASH_CAP_CORRECTION,449000.0,0.0453995,0.0
2024-12-31,3211.TWO,216000,1000000000.0,210.0,BUY_CASH_CAP_CORRECTION,216000.0,0.045465,0.0
2024-12-31,3227.TWO,177000,1000000000.0,256.0,BUY_CASH_CAP_CORRECTION,177000.0,0.04544,0.0
2024-12-31,4991.TWO,333000,1000000000.0,136.0,BUY_CASH_CAP_CORRECTION,333000.0,0.045356,0.0
2024-12-31,5536.TWO,122000,1000000000.0,371.5,BUY_CASH_CAP_CORRECTION,122000.0,0.04550875,0.0
2024-12-31,6121.TWO,114000,1000000000.0,397.0,BUY_CASH_CAP_CORRECTION,114000.0,0.0454565,0.0
2024-12-31,6139.TW,202000,1000000000.0,224.5,BUY_CASH_CAP_CORRECTION,202000.0,0.04546125,0.0
2024-12-31,6290.TWO,615000,1000000000.0,73.7,BUY_CASH_CAP_CORRECTION,615000.0,0.04536235,0.0
2024-12-31,6446.TW,73000,1000000000.0,615.0,BUY_CASH_CAP_CORRECTION,73000.0,0.0452025,0.0
2024-12-31,8299.TWO,84000,1000000000.0,534.0,BUY_CASH_CAP_CORRECTION,84000.0,0.045123,0.0
2025-01-02,2356.TW,430000,992758095.1963837,50.7,BUY_CASH_CAP_CORRECTION,430000.0,0.021985567386063363,0.0
2025-01-02,4772.TWO,124000,992758095.1963837,175.0,BUY_CASH_CAP_CORRECTION,124000.0,0.021946433985703312,0.0
2025-01-02,4979.TWO,114000,992758095.1963837,191.0,BUY_CASH_CAP_CORRECTION,114000.0,0.02202903215377343,0.0
2025-01-02,8046.TW,164000,992758095.1963837,133.0,BUY_CASH_CAP_CORRECTION,164000.0,0.02203809780636649,0.0
2025-01-03,1519.TW,-80000,991953428.558272,538.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-03,2059.TW,-29000,991953428.558272,1465.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-03,2207.TW,-73000,991953428.558272,609.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-03,6290.TWO,-615000,991953428.558272,73.29999999999998,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-06,2356.TW,247000,1010794583.5771834,52.5,BUY_CASH_CAP_CORRECTION,677000.0,0.03518890047285656,0.0
2025-01-06,3491.TWO,99000,1010794583.5771834,359.0,BUY_CASH_CAP_CORRECTION,99000.0,0.035339029888333796,0.0
2025-01-06,4772.TWO,72000,1010794583.5771834,181.0,BUY_CASH_CAP_CORRECTION,196000.0,0.03518667450129265,0.0
2025-01-06,4979.TWO,65000,1010794583.5771834,198.0,BUY_CASH_CAP_CORRECTION,179000.0,0.0351614468235683,0.0
2025-01-06,8046.TW,91000,1010794583.5771834,139.0,BUY_CASH_CAP_CORRECTION,255000.0,0.035135229825148884,0.0
2025-01-07,4991.TWO,-333000,1015215059.6548834,119.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-08,6223.TWO,33000,1021429753.1058743,993.0,BUY_WITH_SETTLED_CASH,33000.0,0.03256758470061125,0.0
2025-01-09,3036.TW,-412000,999647578.0273949,110.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-10,2395.TW,17000,1006498910.984128,363.0,BUY_WITH_SETTLED_CASH,17000.0,0.006311482238752443,0.0
2025-01-10,2404.TW,12000,1006498910.984128,493.0,BUY_WITH_SETTLED_CASH,12000.0,0.006122709058844853,0.0
2025-01-10,2454.TW,4000,1006498910.984128,1465.0,BUY_WITH_SETTLED_CASH,4000.0,0.0065499325712672935,0.0
2025-01-10,3363.TWO,20000,1006498910.984128,306.5,BUY_WITH_SETTLED_CASH,20000.0,0.006242679382391387,0.0
2025-01-10,3711.TW,36000,1006498910.984128,168.5,BUY_WITH_SETTLED_CASH,36000.0,0.006110538156456074,0.0
2025-01-10,6515.TW,5000,1006498910.984128,1230.0,BUY_WITH_SETTLED_CASH,5000.0,0.006721318747762342,0.0
2025-01-10,6789.TW,19000,1006498910.984128,320.0,BUY_WITH_SETTLED_CASH,19000.0,0.0061997086453861065,0.0
2025-01-10,8932.TWO,63000,1006498910.984128,96.9,BUY_WITH_SETTLED_CASH,63000.0,0.006113419431307296,0.0
2025-01-13,3227.TWO,-177000,978730100.0200413,224.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-13,3711.TW,-36000,978730100.0200413,162.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-13,6515.TW,-5000,978730100.0200413,1130.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-13,8299.TWO,-84000,978730100.0200413,440.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-14,2395.TW,30000,993007751.2532008,357.0,BUY_CASH_CAP_CORRECTION,47000.0,0.017076905974398697,0.0
2025-01-14,2404.TW,22000,993007751.2532008,488.0,BUY_CASH_CAP_CORRECTION,34000.0,0.016954550434024853,0.0
2025-01-14,2454.TW,8000,993007751.2532008,1400.0,BUY_CASH_CAP_CORRECTION,12000.0,0.017623225979771617,0.0
2025-01-14,2892.TW,612000,993007751.2532008,27.6,BUY_CASH_CAP_CORRECTION,612000.0,0.01702403629645938,0.0
2025-01-14,3363.TWO,42000,993007751.2532008,269.5,BUY_CASH_CAP_CORRECTION,62000.0,0.016962355005530182,0.0
2025-01-14,3374.TWO,80000,993007751.2532008,210.0,BUY_CASH_CAP_CORRECTION,80000.0,0.01702403629645938,0.0
2025-01-14,6789.TW,35000,993007751.2532008,310.5,BUY_CASH_CAP_CORRECTION,54000.0,0.017041407762068014,0.0
2025-01-14,8932.TWO,111000,993007751.2532008,97.2,BUY_CASH_CAP_CORRECTION,174000.0,0.017080833436188474,0.0
2025-01-15,2404.TW,-34000,988009293.0903677,481.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-15,3189.TW,-449000,988009293.0903677,96.6,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-15,3211.TWO,-216000,988009293.0903677,183.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-01-16,1815.TWO,776000,1014499561.909185,28.7,BUY_CASH_CAP_CORRECTION,776000.0,0.021967037578666727,0.0
2025-01-16,2395.TW,14000,1014499561.909185,364.5,BUY_CASH_CAP_CORRECTION,61000.0,0.022096362425050194,0.0
2025-01-16,2454.TW,3000,1014499561.909185,1460.0,BUY_CASH_CAP_CORRECTION,15000.0,0.02230656458580686,0.0
2025-01-16,2884.TW,803000,1014499561.909185,27.75,BUY_CASH_CAP_CORRECTION,803000.0,0.021978447144953988,0.0
2025-01-16,2892.TW,188000,1014499561.909185,27.85,BUY_CASH_CAP_CORRECTION,800000.0,0.021975292880408052,0.0
