date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2017-10-20,998988881.7243559,100750331.7243559,20,,False,0,False,0,False,,,,998988881.7243559,100750331.7243559,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-23,1007088481.7243559,100750331.7243559,20,,False,0,False,0,False,,,,1007088481.7243559,100750331.7243559,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-24,1011400381.7243559,100750331.7243559,20,,False,0,False,0,False,,,,1011400381.7243559,100750331.7243559,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-25,1012009341.710881,99246041.71088095,22,,False,0,False,0,False,,,,1012009341.710881,99246041.71088095,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-26,1016899437.7523474,187955187.75234735,20,,False,0,False,0,False,,,,1016899437.7523474,187955187.75234735,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-27,993297666.98008,104387816.98007996,23,,False,0,False,0,False,,,,993297666.98008,104387816.98007996,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-30,997889655.7532582,188237655.75325826,21,,False,0,False,0,False,,,,997889655.7532582,188237655.75325826,21,0,UNKNOWN,BLOCK_SUBMISSION
2017-10-31,1014289719.4486301,95593419.44863015,25,,False,0,False,0,False,,,,1014289719.4486301,95593419.44863015,25,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-01,1013086898.2129798,182423648.2129798,23,,False,0,False,0,False,,,,1013086898.2129798,182423648.2129798,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-02,1009636406.9165188,102565356.91651879,23,,False,0,False,0,False,,,,1009636406.9165188,102565356.91651879,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-03,1010879881.9677715,200237381.9677716,20,,False,0,False,0,False,,,,1010879881.9677715,200237381.9677716,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-06,1011845895.6838063,99065395.68380633,22,,False,0,False,0,False,,,,1011845895.6838063,99065395.68380633,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-07,1019491476.4318826,188305676.43188268,20,,False,0,False,0,False,,,,1019491476.4318826,188305676.43188268,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-08,1023286636.7965386,99748486.79653853,23,,False,0,False,0,False,,,,1023286636.7965386,99748486.79653853,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-09,1017911328.0407624,192384578.04076242,20,,False,0,False,0,False,,,,1017911328.0407624,192384578.04076242,20,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-10,1025240033.5717423,100614383.57174228,23,,False,0,False,0,False,,,,1025240033.5717423,100614383.57174228,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-13,1011628469.5415713,189392419.5415713,21,,False,0,False,0,False,,,,1011628469.5415713,189392419.5415713,21,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-14,1009264285.1299394,101654735.12993945,25,,False,0,False,0,False,,,,1009264285.1299394,101654735.12993945,25,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-15,1014740491.111515,182102341.11151505,23,,False,0,False,0,False,,,,1014740491.111515,182102341.11151505,23,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-16,1007693302.2655247,102125502.26552476,27,,False,0,False,0,False,,,,1007693302.2655247,102125502.26552476,27,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-17,1024051384.3937976,191904634.39379764,24,,False,0,False,0,False,,,,1024051384.3937976,191904634.39379764,24,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-20,1026962964.1298264,99723614.12982646,24,,False,0,False,0,False,,,,1026962964.1298264,99723614.12982646,24,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-21,1055190990.7860464,206589940.78604642,21,,False,0,False,0,False,,,,1055190990.7860464,206589940.78604642,21,0,UNKNOWN,BLOCK_SUBMISSION
2017-11-22,1056324826.4676447,103120576.46764465,24,,False,0,False,0,False,,,,1056324826.4676447,103120576.46764465,24,0,UNKNOWN,BLOCK_SUBMISSION
