date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2021-10-20,2021-10-19,1785.TWO,1785.TWO,803000,52.29256344836734,41990928.449038975,59837.07303988054,0.0,0.0,0.056267281780871384,14271171.0
2021-10-20,2021-10-19,2330.TW,2330.TW,68000,600.2836576352054,40819288.719193965,58167.486424851406,0.0,0.0,0.003877321988441247,17537878.0
2021-10-20,2021-10-19,2376.TW,2376.TW,377000,110.24884750129632,41563815.50798871,59228.43709888392,0.0,0.0,0.03543980516191573,10637756.0
2021-10-20,2021-10-19,2377.TW,2377.TW,292000,142.27638573376683,41544704.63425992,59201.20410382038,0.0,0.0,0.08098313526208167,3605689.0
2021-10-20,2021-10-19,2618.TW,2618.TW,2198000,18.80951481359695,41343313.5602861,58914.22182340769,0.0,0.0,0.12915520742279304,17018284.0
2021-10-20,2021-10-19,2887.TW,2887.TW,2234000,18.505760217248447,41341868.32533303,58912.16236359957,0.0,0.0,0.16203693629786944,13786980.0
2021-10-20,2021-10-19,2912.TW,2912.TW,143000,286.0441020658952,40904306.59542301,58288.636898477795,0.0,0.0,0.15931780783152866,897577.0
2021-10-20,2021-10-19,3189.TW,3189.TW,174000,242.10635281588185,42126505.38996344,60030.2701806979,0.0,0.0,0.002777772101615118,62640128.0
2021-10-20,2021-10-19,3363.TWO,3363.TWO,1478000,28.38102387848643,41947153.292402945,59774.6934416742,0.0,0.0,1.0087002099297595,1465252.0
2021-10-20,2021-10-19,3491.TWO,3491.TWO,466000,90.33827199845535,42097634.751280196,59989.12952057428,0.0,0.0,0.19391247972449446,2403146.0
2021-10-20,2021-10-19,3653.TW,3653.TW,114000,372.6126226496455,42477838.98205959,60530.920549434915,0.0,0.0,0.016585089364535028,6873644.0
2021-10-20,2021-10-19,3661.TW,3661.TW,44000,919.6469876569633,40464467.456906386,57661.866126091605,0.0,0.0,0.01731141184006144,2541676.0
2021-10-20,2021-10-19,3665.TW,3665.TW,159000,264.2218611075889,42011275.916106634,59866.068180451955,0.0,0.0,0.06698056257774905,2373823.0
2021-10-20,2021-10-19,4966.TWO,4966.TWO,22000,1842.0848111986227,40525865.8463697,57749.358831076825,0.0,0.0,0.025384283436293526,866678.0
2021-10-20,2021-10-19,5880.TW,5880.TW,1855000,22.4468908198987,41638982.47091209,59335.550021049734,0.0,0.0,0.29320256867578653,6326684.0
2021-10-20,2021-10-19,6415.TW,6415.TW,9000,4086.3530227749825,36777177.204974845,52407.47751708916,0.0,0.0,0.04746985664103295,189594.0
2021-10-20,2021-10-19,6505.TW,6505.TW,397000,103.98160148644459,41280695.7901185,58824.99150091886,0.0,0.0,0.10900666917629125,3641979.0
2021-10-20,2021-10-19,6510.TWO,6510.TWO,57000,715.0446806792926,40757546.798719674,58079.50418817554,0.0,0.0,0.13534562999829036,421144.0
2021-10-20,2021-10-19,6515.TW,6515.TW,144000,301.27255756943003,43383248.28999793,61821.12881324705,0.0,0.0,0.18424264756684552,781578.0
2021-10-20,2021-10-19,6548.TWO,6548.TWO,423000,100.59394043142169,42551236.802491374,60635.51244355021,0.0,0.0,0.12884533260067146,3283006.0
2021-10-20,2021-10-19,8046.TW,8046.TW,91000,449.8827275451526,40939328.206608884,58338.542694417665,0.0,0.0,0.007426408373463141,12253568.0
2021-10-20,2021-10-19,8069.TWO,8069.TWO,506000,81.6897745706882,41335025.93276823,58902.41195419474,0.0,0.0,0.06511987655536444,7770285.0
