date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2010-10-20,1003496270.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1003496270.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-21,1007585520.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1007585520.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-22,1012302870.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1012302870.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-25,1029078170.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1029078170.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-26,1035564070.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1035564070.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-27,1035623620.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1035623620.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-28,1035968070.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1035968070.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-10-29,1024415870.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1024415870.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-01,1036748070.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1036748070.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-02,1029036220.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1029036220.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-03,1020784120.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1020784120.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-04,1028620670.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1028620670.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-05,1039640920.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1039640920.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-08,1035614770.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1035614770.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-09,1038581420.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1038581420.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-10,1034683920.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1034683920.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-11,1035581970.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1035581970.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-12,1023224870.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1023224870.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-15,1013385670.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1013385670.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-16,1021737570.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1021737570.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-17,1016507970.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1016507970.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-18,1024706270.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1024706270.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-19,1027891470.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1027891470.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
2010-11-22,1031317370.1932523,84097920.19325237,22,,False,0,False,0,False,,,,1031317370.1932523,84097920.19325237,22,0,UNKNOWN,BLOCK_SUBMISSION
