date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2026-08-14,2026-08-13,1605.TW,1605.TW,1081000,39.32417336930873,42509431.412222736,60575.9397624174,0.0,0.0,0.025790327405701342,41914939.0
2026-08-14,2026-08-13,2059.TW,2059.TW,2000,12366.995307565432,24733990.615130864,35245.93662656148,0.0,0.0,0.008523950168987313,234633.0
2026-08-14,2026-08-13,2301.TW,2301.TW,157000,268.46549428337323,42149082.6024896,60062.44270854768,0.0,0.0,0.007289246977144636,21538576.0
2026-08-14,2026-08-13,2344.TW,2344.TW,239000,185.57680350302098,44352856.03722201,63202.81985304137,0.0,0.0,0.000991102113304643,241145687.0
2026-08-14,2026-08-13,2357.TW,2357.TW,45000,997.042147454854,44866896.63546843,63935.32770554251,0.0,0.0,0.0027709508049704452,16239913.0
2026-08-14,2026-08-13,2376.TW,2376.TW,107000,394.6231534531973,42224677.41949211,60170.16532277626,0.0,0.0,0.007464494642899623,14334527.0
2026-08-14,2026-08-13,2377.TW,2377.TW,253000,162.9219000621456,41219240.71572284,58737.418019905046,0.0,0.0,0.0101476934613638,24931774.0
2026-08-14,2026-08-13,2395.TW,2395.TW,60000,685.8058101501432,41148348.609008595,58636.39676783725,0.0,0.0,0.016289227173905962,3683416.0
2026-08-14,2026-08-13,2408.TW,2408.TW,82000,520.4294023082409,42675210.98927575,60812.17565971795,0.0,0.0,0.0007841993171479249,104565253.0
2026-08-14,2026-08-13,2454.TW,2454.TW,9000,4281.106441355353,38529957.97219818,54905.19011038241,0.0,0.0,0.0008414255094410746,10696134.0
2026-08-14,2026-08-13,3017.TW,3017.TW,12000,3246.4765291253457,38957718.34950415,55514.748648043416,0.0,0.0,0.001631607278654457,7354711.0
2026-08-14,2026-08-13,3044.TW,3044.TW,85000,494.0241117679782,41992049.500278145,59838.67053789636,0.0,0.0,0.015626074292607615,5439626.0
2026-08-14,2026-08-13,3081.TWO,3081.TWO,15000,2565.0447906960694,38475671.860441044,54827.83240112849,0.0,0.0,0.01035303861683404,1448850.0
2026-08-14,2026-08-13,3231.TW,3231.TW,215000,198.73164195792984,42727303.020954914,60886.40680486076,0.0,0.0,0.0022691465546666586,94749279.0
2026-08-14,2026-08-13,3443.TW,3443.TW,6000,5616.467295607826,33698803.77364695,48020.795377446906,0.0,0.0,0.002242125654700691,2676032.0
2026-08-14,2026-08-13,3653.TW,3653.TW,8000,4717.438472976663,37739507.783813305,53778.79859193396,0.0,0.0,0.006069250144144691,1318120.0
2026-08-14,2026-08-13,4938.TW,4938.TW,448000,95.07161855616836,42592085.11316343,60693.72128625788,0.0,0.0,0.021334293376535276,20999055.0
2026-08-14,2026-08-13,4979.TWO,4979.TWO,74000,526.7928614896796,38982671.75023629,55550.30724408671,0.0,0.0,0.018049330772279642,4099875.0
2026-08-14,2026-08-13,5274.TWO,5274.TWO,1000,18069.412228103185,18069412.228103183,25748.912425047038,0.0,0.0,0.0035168545253125606,284345.0
2026-08-14,2026-08-13,6187.TWO,6187.TWO,33000,1280.2293236256828,42247567.679647535,60202.78394349774,0.0,0.0,0.00703597129664849,4690184.0
2026-08-14,2026-08-13,6274.TWO,6274.TWO,25000,1674.6350694302246,41865876.735755615,59658.874348451754,0.0,0.0,0.0070609401500591005,3540605.0
2026-08-14,2026-08-13,6446.TW,6446.TW,28000,1489.4536302641782,41704701.64739699,59429.19984754071,0.0,0.0,0.006971844207169346,4016154.0
