date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2018-10-22,2018-10-19,2002.TW,2002.TW,1000,24.15556544924344,24155.56544924344,34.42168076517191,0.0,0.0,0.00011102642262318798,9006865.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2301.TW,2301.TW,1000,34.75130691365154,34751.30691365154,49.520612351953446,0.0,0.0,0.00028225552649264486,3542889.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2383.TW,2383.TW,1338000,72.9318883770015,97582866.64842801,139055.58497400992,0.0,0.0,0.8152556386991737,1641203.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2395.TW,2395.TW,488000,205.805260085535,100432966.92174108,143116.97786348104,0.0,0.0,1.191921313653605,409423.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2603.TW,2603.TW,4390000,12.20403259381757,53575703.08685914,76345.37689877427,0.0,0.0,0.5311552820972962,8265003.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2615.TW,2615.TW,1000,16.21966446856934,16219.66446856934,23.11302186771131,0.0,0.0,0.0009412349378879064,1062434.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2880.TW,2880.TW,1000,17.464420931920852,17464.420931920853,24.88679982798722,0.0,0.0,0.0001224638951944188,8165672.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,2892.TW,2892.TW,252000,19.779160472556526,4984348.439084245,7102.696525695049,0.0,0.0,0.02856422274426236,8822225.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,3034.TW,3034.TW,641000,138.4605063462011,88753184.5679149,126473.28800927874,0.0,0.0,0.1710034219358708,3748463.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,3081.TWO,3081.TWO,369000,260.04230029715086,95955608.80964866,136736.74255374935,0.0,0.0,0.6449921342422653,572100.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,3293.TWO,3293.TWO,77000,138.86170212765958,10692351.063829787,15236.600265957448,0.0,0.0,1.6382978723404256,47000.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,3324.TWO,3324.TWO,1000,53.910759613579415,53910.759613579416,76.82283244935067,0.0,0.0,0.0008572645887144546,1166501.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,3665.TW,3665.TW,162000,153.2114545098525,24820255.630596105,35368.86427359945,0.0,0.0,0.06622427217685314,2446233.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,4938.TW,4938.TW,1000,56.83961726862641,56839.61726862641,80.99645460779264,0.0,0.0,0.00025425250019196066,3933098.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,4958.TW,4958.TW,1016000,70.85566724273804,71989357.91862184,102584.83503403612,0.0,0.0,0.27448265018401957,3701509.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,4966.TWO,4966.TWO,83000,412.89341059536025,34270153.079414904,48834.96813816624,0.0,0.0,0.16699865193859278,497010.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,5876.TW,5876.TW,2706000,37.67771317727146,101955891.85769656,145287.14589721762,0.0,0.0,0.16233781816052656,16668944.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,5880.TW,5880.TW,5723000,17.42771797237431,99738829.95589818,142127.8326871549,0.0,0.0,1.2671055372932651,4516593.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,6121.TWO,6121.TWO,165000,195.78897827002388,32305181.41455394,46034.88351573937,0.0,0.0,0.2757187067622937,598436.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,6139.TW,6139.TW,725000,27.850135429019005,20191348.186038777,28772.671165105257,0.0,0.0,3.1724083611557194,228533.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,8415.TWO,8415.TWO,1000,35.914766462771645,35914.766462771644,51.178542209449596,0.0,0.0,0.0003532688853130227,2830705.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
2018-10-22,2018-10-19,8932.TWO,8932.TWO,5825000,9.964166666666667,58041270.833333336,82708.8109375,0.0,0.0,485.4166666666667,12000.0,ACTIVE_CAP:2395.TW;ACTIVE_CAP:5876.TW
