date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2011-07-01,2011-06-30,1101.TW,1101.TW,964000,43.73234337900023,42157979.01735622,60075.12009973261,0.0,0.0,0.03721942480236061,25900454.0
2011-07-01,2011-06-30,1802.TW,1802.TW,818000,50.368896927877806,41201757.687004045,58712.50470398077,0.0,0.0,0.13046256155105632,6269998.0
2011-07-01,2011-06-30,2207.TW,2207.TW,381000,106.12486148568456,40433572.22604582,57617.84042211529,0.0,0.0,0.4544581630109225,838361.0
2011-07-01,2011-06-30,2324.TW,2324.TW,1173000,35.137305170692706,41216058.965222545,58732.88402544213,0.0,0.0,0.16580616143046192,7074526.0
2011-07-01,2011-06-30,2376.TW,2376.TW,1283000,32.13482899180262,41228985.59648276,58751.304474987934,0.0,0.0,0.41764893921075746,3071958.0
2011-07-01,2011-06-30,2382.TW,2382.TW,607000,68.63352816195489,41660551.59430662,59366.28602188693,0.0,0.0,0.05389380523116181,11262890.0
2011-07-01,2011-06-30,2610.TW,2610.TW,2118000,19.618283907986363,41551525.31711512,59210.92357688905,0.0,0.0,0.08124861708562514,26068136.0
2011-07-01,2011-06-30,2618.TW,2618.TW,1409000,29.502535343940057,41569072.29961154,59235.92802694644,0.0,0.0,0.054181986023970126,26004953.0
2011-07-01,2011-06-30,2886.TW,2886.TW,1646000,25.725619499520473,42344369.6962107,60340.72681710024,0.0,0.0,0.02489874146240534,66107759.0
2011-07-01,2011-06-30,2912.TW,2912.TW,248000,170.44842817171747,42271210.18658593,60236.474515884955,0.0,0.0,0.060964547640598256,4067938.0
2011-07-01,2011-06-30,3008.TW,3008.TW,44000,959.8343495405538,42232711.37978437,60181.613716192725,0.0,0.0,0.023389599495635183,1881178.0
2011-07-01,2011-06-30,3037.TW,3037.TW,808000,51.29567974956141,41446909.23764562,59061.84566364501,0.0,0.0,0.09820739895516079,8227486.0
2011-07-01,2011-06-30,3189.TW,3189.TW,353000,119.8312535777685,42300432.51295228,60278.116330957004,0.0,0.0,0.058016757145963424,6084449.0
2011-07-01,2011-06-30,3211.TWO,3211.TWO,322000,132.9225882774016,42801073.42532331,60991.529631085716,0.0,0.0,0.04095528585835602,7862233.0
2011-07-01,2011-06-30,3231.TW,3231.TW,809000,51.815741569524114,41918934.92974501,59734.48227488664,0.0,0.0,0.10480888831194338,7718811.0
2011-07-01,2011-06-30,3443.TW,3443.TW,363000,115.02730648802155,41754912.25515182,59500.74996359135,0.0,0.0,0.5083207770166192,714116.0
2011-07-01,2011-06-30,3491.TWO,3491.TWO,625000,66.09880469476683,41311752.93422927,58869.24793127671,0.0,0.0,2.412223993330683,259097.0
2011-07-01,2011-06-30,5903.TWO,5903.TWO,292000,142.1264976041734,41500937.30041864,59138.83565309656,0.0,0.0,0.49650913270736907,588106.0
2011-07-01,2011-06-30,6121.TWO,6121.TWO,178000,238.58003117995665,42467245.55003228,60515.824908796,0.0,0.0,0.07187298992849445,2476591.0
2011-07-01,2011-06-30,6223.TWO,6223.TWO,365000,115.68103911535464,42223579.277104445,60168.60046987383,0.0,0.0,0.23267392056831082,1568719.0
2011-07-01,2011-06-30,6505.TW,6505.TW,408000,101.4826447070404,41404919.04047248,59002.00963267328,0.0,0.0,0.11008954489305935,3706074.0
2011-07-01,2011-06-30,8046.TW,8046.TW,379000,109.3244262337372,41433957.5425864,59043.38949818562,0.0,0.0,0.814752392663359,465172.0
