date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2011-01-03,1000154370.0768223,81109670.0768223,22,,False,0,False,0,False,,,,1000154370.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-04,994607970.0768223,81109670.0768223,22,,False,0,False,0,False,,,,994607970.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-05,971505370.0768223,81109670.0768223,22,,False,0,False,0,False,,,,971505370.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-06,980786120.0768223,81109670.0768223,22,,False,0,False,0,False,,,,980786120.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-07,966606570.0768223,81109670.0768223,22,,False,0,False,0,False,,,,966606570.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-10,982928370.0768223,81109670.0768223,22,,False,0,False,0,False,,,,982928370.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-11,994192420.0768223,81109670.0768223,22,,False,0,False,0,False,,,,994192420.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-12,997640470.0768223,81109670.0768223,22,,False,0,False,0,False,,,,997640470.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-13,993811920.0768223,81109670.0768223,22,,False,0,False,0,False,,,,993811920.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-14,996490570.0768223,81109670.0768223,22,,False,0,False,0,False,,,,996490570.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-17,981874670.0768223,81109670.0768223,22,,False,0,False,0,False,,,,981874670.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-18,990220770.0768223,81109670.0768223,22,,False,0,False,0,False,,,,990220770.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-19,999385420.0768223,81109670.0768223,22,,False,0,False,0,False,,,,999385420.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-20,993318470.0768223,81109670.0768223,22,,False,0,False,0,False,,,,993318470.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-21,987790220.0768223,81109670.0768223,22,,False,0,False,0,False,,,,987790220.0768223,81109670.0768223,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-24,982924411.4621824,76977211.46218237,22,,False,0,False,0,False,,,,982924411.4621824,76977211.46218237,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-25,992057661.731188,74712461.731188,22,,False,0,False,0,False,,,,992057661.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-26,994637261.731188,74712461.731188,22,,False,0,False,0,False,,,,994637261.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-27,995015211.731188,74712461.731188,22,,False,0,False,0,False,,,,995015211.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-01-28,998059511.731188,74712461.731188,22,,False,0,False,0,False,,,,998059511.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-02-08,998313211.731188,74712461.731188,22,,False,0,False,0,False,,,,998313211.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-02-09,991525811.731188,74712461.731188,22,,False,0,False,0,False,,,,991525811.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-02-10,967543161.731188,74712461.731188,22,,False,0,False,0,False,,,,967543161.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
2011-02-11,936169661.731188,74712461.731188,22,,False,0,False,0,False,,,,936169661.731188,74712461.731188,22,0,UNKNOWN,BLOCK_SUBMISSION
