date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2022-10-20,2022-10-19,1519.TW,1519.TW,1006000,39.37843096381757,39614701.549600475,56450.94970818068,0.0,0.0,0.3004351830504385,3348476.0
2022-10-20,2022-10-19,1605.TW,1605.TW,1152000,34.50210425601656,39746424.102931075,56638.65434667678,0.0,0.0,0.024022306212712643,47955429.0
2022-10-20,2022-10-19,1802.TW,1802.TW,2119000,19.274915458669128,40843545.856919885,58202.05284611084,0.0,0.0,0.09758045598393841,21715414.0
2022-10-20,2022-10-19,2303.TW,2303.TW,1070000,38.673772389461334,41380936.45672363,58967.83445083118,0.0,0.0,0.00918911946422109,116442060.0
2022-10-20,2022-10-19,2308.TW,2308.TW,152000,263.4727900277328,40047864.08421539,57068.20632000693,0.0,0.0,0.019921467478204342,7629960.0
2022-10-20,2022-10-19,2337.TW,2337.TW,1278000,31.88016996883578,40742857.22017213,58058.57153874529,0.0,0.0,0.08702312874568008,14685751.0
2022-10-20,2022-10-19,2360.TW,2360.TW,229000,173.90819018066418,39824975.551372096,56750.59016070524,0.0,0.0,0.152226427837361,1504338.0
2022-10-20,2022-10-19,2376.TW,2376.TW,446000,89.7337580538132,40021256.092000686,57030.28993110098,0.0,0.0,0.03686560980843439,12097996.0
2022-10-20,2022-10-19,2377.TW,2377.TW,371000,109.454205938657,40607510.403241746,57865.70232461949,0.0,0.0,0.06272360076073076,5914839.0
2022-10-20,2022-10-19,2408.TW,2408.TW,760000,54.80835216785047,41654347.647566356,59357.44539778206,0.0,0.0,0.029394687575468925,25855012.0
2022-10-20,2022-10-19,2409.TW,2409.TW,2253000,18.11916690055364,40822483.02694735,58172.03831339997,0.0,0.0,0.025539675273401202,88215687.0
2022-10-20,2022-10-19,3008.TW,3008.TW,22000,1790.02877309039,39380633.00798858,56117.402036383726,0.0,0.0,0.026480150118378308,830811.0
2022-10-20,2022-10-19,3260.TWO,3260.TWO,696000,58.80263403189396,40926633.2861982,58320.45243283243,0.0,0.0,0.28329926415458373,2456766.0
2022-10-20,2022-10-19,3293.TWO,3293.TWO,112000,357.1633557535155,40002295.84439373,57003.27157826107,0.0,0.0,0.12418696347350937,901866.0
2022-10-20,2022-10-19,3481.TW,3481.TW,3099000,13.162686636073094,40791165.88519052,58127.41138639649,0.0,0.0,0.027541414212960542,112521455.0
2022-10-20,2022-10-19,3533.TW,3533.TW,55000,710.9718474918739,39103451.61205306,55722.418547175614,0.0,0.0,0.0483176666959501,1138300.0
2022-10-20,2022-10-19,4979.TWO,4979.TWO,1298000,30.608853547480475,39730291.904629655,56615.66596409726,0.0,0.0,0.9822476520270398,1321459.0
2022-10-20,2022-10-19,5289.TWO,5289.TWO,247000,167.09275304154758,41271910.001262255,58812.471751798716,0.0,0.0,0.7994277780115286,308971.0
2022-10-20,2022-10-19,6290.TWO,6290.TWO,786000,50.903163049277374,40009886.156732015,57014.087773343126,0.0,0.0,0.667747295878317,1177092.0
2022-10-20,2022-10-19,8069.TWO,8069.TWO,203000,196.5023103401108,39889968.99904249,56843.20582363555,0.0,0.0,0.011076057541155601,18327821.0
2022-10-20,2022-10-19,8299.TWO,8299.TWO,137000,295.08547775525767,40426710.4524703,57608.06239477018,0.0,0.0,0.07850512489477735,1745109.0
2022-10-20,2022-10-19,8932.TWO,8932.TWO,1290000,31.14523224507429,40177349.59614583,57252.72317450781,0.0,0.0,1.2439634024038386,1037008.0
2022-11-11,2022-11-10,8069.TWO,8069.TWO,-203000,191.23576361787818,38820860.01442927,55319.72552056171,116462.58004328782,0.0,0.005409111629888438,37529268.0
2022-11-11,2022-11-10,3443.TW,3443.TW,76000,641.8693021351692,48782066.96227286,69514.44542123882,0.0,0.0,0.009385630229633029,8097485.0
2022-11-16,2022-11-15,4979.TWO,4979.TWO,-1298000,32.96959471655331,42794533.9420862,60982.21086747284,128383.6018262586,0.0,0.6332096509346428,2049874.0
2022-11-16,2022-11-15,5274.TWO,5274.TWO,21000,2139.78075740067,44935395.905414075,64032.93916521506,0.0,0.0,0.03600464974333828,583258.0
2022-11-21,2022-11-18,2409.TW,2409.TW,-2253000,16.42805478155248,37012407.422837734,52742.680577543775,111037.2222685132,0.0,0.05284552511810201,42633695.0
2022-11-21,2022-11-18,3529.TWO,3529.TWO,31000,1533.7714991766163,47546916.47447511,67754.35597612703,0.0,0.0,0.031946050334609115,970386.0
