date,symbol,issue
2010-01-04,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:6223.TWO
2010-01-12,,SIMULATED_DAY_ROLLBACK:ACTIVE_CAP:3324.TWO
2010-01-21,2412.TW,STALE_HELD_PRICES
2010-01-22,2412.TW,STALE_HELD_PRICES
2010-01-25,2412.TW,STALE_HELD_PRICES
2010-01-26,2412.TW,STALE_HELD_PRICES
2010-01-27,2412.TW,STALE_HELD_PRICES
2010-01-28,2412.TW,STALE_HELD_PRICES
2010-01-29,2412.TW,STALE_HELD_PRICES
2010-02-01,2412.TW,STALE_HELD_PRICES
2010-02-02,,SIMULATED_DAY_ROLLBACK:OVERDUE_CAP:5903.TWO
2010-02-02,2412.TW,STALE_HELD_PRICES
