date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2025-07-01,992708629.9304422,992708629.9304422,91702729.93044218,0.09237627957043919,22,0.0,0,1292481.8232509873,0.0,1292481.8232509873,907004788.2463069,0.9070047882463069,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-02,991033229.9304422,991033229.9304422,91702729.93044218,0.09253244710762981,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-03,1000205729.9304422,1000205729.9304422,91702729.93044218,0.091683867814694,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-04,996747229.9304422,998609485.9724423,91702729.93044218,0.0920019912539327,22,1862256.0420000001,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-07,980006229.9304422,982643476.0524422,91702729.93044218,0.09357361936051259,22,2637246.1220000004,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-08,989754546.8571599,992391792.9791598,86215046.85715991,0.08710750269440526,22,2637246.1220000004,0,114371.84077304485,112500.19478345854,226872.0355565034,80260940.8933648,0.08189839864493664,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-09,1009601236.1653726,1012238482.2873726,77826736.16537258,0.07708660942311343,22,2637246.1220000004,0,112078.16776009853,105721.2517864794,217799.41954657793,78651345.79656036,0.07946550591387304,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-10,1021582736.1653726,1024908566.9153726,77826736.16537258,0.0761825091695501,22,3325830.7500000005,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-11,1014778318.9200667,1018104149.6700667,70997818.92006676,0.06996387052851412,22,3325830.7500000005,0,119014.22528918416,115386.35688865981,234400.58217784396,83518754.58890116,0.08175427366989221,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2025-07-14,1005595318.9200667,1008984152.5176667,70997818.92006676,0.07060277388354695,22,3388833.5976000004,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,1,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
