date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2026-08-07,2026-08-06,1303.TW,1303.TW,238000,185.3279107364528,44108042.75527576,62853.960926267966,0.0,0.0,0.001843211603844168,129122451.0
2026-08-07,2026-08-06,1590.TW,1590.TW,26000,1556.0735300325866,40457911.78084725,57652.52428770733,0.0,0.0,0.026133647473177833,994886.0
2026-08-07,2026-08-06,2059.TW,2059.TW,3000,11110.0,33330000.0,47495.25,0.0,0.0,0.00828969728788737,361895.0
2026-08-07,2026-08-06,2301.TW,2301.TW,168000,253.97548134525798,42667880.86600334,60801.73023405476,0.0,0.0,0.005090202015574564,33004584.0
2026-08-07,2026-08-06,2344.TW,2344.TW,248000,164.2233528955579,40727391.518098354,58036.53291329016,0.0,0.0,0.0014034336918014227,176709453.0
2026-08-07,2026-08-06,2357.TW,2357.TW,51000,811.5776322333455,41390459.24390062,58981.404422558386,0.0,0.0,0.011047244080843299,4616536.0
2026-08-07,2026-08-06,2377.TW,2377.TW,276000,152.96200412462784,42217513.138397284,60159.95622221613,0.0,0.0,0.025160175052829532,10969717.0
2026-08-07,2026-08-06,2395.TW,2395.TW,68000,632.5019457059905,43010132.30800735,61289.43853891048,0.0,0.0,0.010777778376543243,6309278.0
2026-08-07,2026-08-06,2408.TW,2408.TW,92000,455.0983681669952,41869049.87136356,59663.39606669307,0.0,0.0,0.0013040829419430778,70547660.0
2026-08-07,2026-08-06,3008.TW,3008.TW,8000,4476.389404922753,35811115.23938202,51030.839216119384,0.0,0.0,0.004801866005129593,1666019.0
2026-08-07,2026-08-06,3017.TW,3017.TW,13000,2829.5612639963674,36784296.431952775,52417.62241553271,0.0,0.0,0.003139823590219208,4140360.0
2026-08-07,2026-08-06,3037.TW,3037.TW,43000,966.3972906628961,41555083.498504534,59215.993985368965,0.0,0.0,0.001991083741787185,21596279.0
2026-08-07,2026-08-06,3081.TWO,3081.TWO,17000,2412.7154902204793,41016163.33374815,58448.03275059111,0.0,0.0,0.002832060322218496,6002697.0
2026-08-07,2026-08-06,3189.TW,3189.TW,49000,829.6414631204237,40652431.69290076,57929.71516238359,0.0,0.0,0.0030420420769051828,16107601.0
2026-08-07,2026-08-06,3231.TW,3231.TW,224000,183.82553290014343,41176919.369632125,58677.11010172578,0.0,0.0,0.003424240759835356,65415961.0
2026-08-07,2026-08-06,3324.TWO,3324.TWO,39000,1037.6406089053537,40467983.74730879,57666.87683991503,0.0,0.0,0.008460875609508462,4609452.0
2026-08-07,2026-08-06,3653.TW,3653.TW,8000,4463.215477107991,35705723.81686393,50880.6564390311,0.0,0.0,0.004621963803090476,1730866.0
