date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2014-10-20,2014-10-17,1101.TW,1101.TW,912000,45.69640405309183,41675120.49641975,59387.04670739815,0.0,0.0,0.5006799255348409,1821523.0
2014-10-20,2014-10-17,2002.TW,2002.TW,1637000,25.463533099056797,41683803.683155976,59399.42024849727,0.0,0.0,0.13350027527805694,12262147.0
2014-10-20,2014-10-17,2059.TW,2059.TW,106000,392.04861849912027,41557153.560906745,59218.94382429212,0.0,0.0,0.2710831048733582,391024.0
2014-10-20,2014-10-17,2330.TW,2330.TW,333000,125.24845239870821,41707734.64876983,59433.52187449701,0.0,0.0,0.00862267187859278,38619120.0
2014-10-20,2014-10-17,2412.TW,2412.TW,457000,91.23824334963103,41695877.21078138,59416.62502536347,0.0,0.0,0.1023271477281582,4466068.0
2014-10-20,2014-10-17,2603.TW,2603.TW,2358000,17.830507708732103,42044337.1771903,59913.18047749617,0.0,0.0,0.30097675765065557,7834492.0
2014-10-20,2014-10-17,2609.TW,2609.TW,3080000,13.761570543800214,42385637.27490466,60399.53311673914,0.0,0.0,0.2517143339789915,12236093.0
2014-10-20,2014-10-17,2610.TW,2610.TW,4128000,10.164965308300447,41960976.792664245,59794.39192954655,0.0,0.0,0.29245085720406777,14115192.0
2014-10-20,2014-10-17,2615.TW,2615.TW,1859000,22.369352504743084,41584626.3063174,59258.09248650229,0.0,0.0,0.464929695327244,3998454.0
2014-10-20,2014-10-17,2618.TW,2618.TW,2629000,16.03932752652911,42167392.06724503,60088.53369582417,0.0,0.0,0.30388338460667097,8651345.0
2014-10-20,2014-10-17,2801.TW,2801.TW,2292000,18.048024816286045,41366072.87892762,58946.653852471856,0.0,0.0,0.13849129205789298,16549777.0
2014-10-20,2014-10-17,2812.TW,2812.TW,4128000,10.084010299551972,41626794.51655054,59318.18218608452,0.0,0.0,1.2706679779664696,3248685.0
2014-10-20,2014-10-17,3034.TW,3034.TW,274000,151.5221031326188,41517056.25833756,59161.805168131024,0.0,0.0,0.12604075624453748,2173900.0
2014-10-20,2014-10-17,3036.TW,3036.TW,907000,45.80313172458113,41543440.474195085,59199.402675728,0.0,0.0,0.6469149574298575,1402039.0
2014-10-20,2014-10-17,3045.TW,3045.TW,425000,96.85743780156197,41164411.06566384,58659.28576857097,0.0,0.0,0.05576128920100633,7621775.0
2014-10-20,2014-10-17,3293.TWO,3293.TWO,254000,156.75908035690284,39816806.41065332,56738.949135180985,0.0,0.0,0.044053512877414165,5765715.0
2014-10-20,2014-10-17,3363.TWO,3363.TWO,1474000,29.645637779721145,43697670.087308966,62269.17987441528,0.0,0.0,1.235891841856152,1192661.0
2014-10-20,2014-10-17,3443.TW,3443.TW,475000,89.37033492279423,42450909.08832726,60492.545450866346,0.0,0.0,0.4496688070901884,1056333.0
2014-10-20,2014-10-17,3533.TW,3533.TW,333000,128.7947791632677,42888661.46136814,61116.34258244961,0.0,0.0,0.1293555529658548,2574300.0
2014-10-20,2014-10-17,4904.TW,4904.TW,654000,62.66961870174611,40985930.63094196,58404.95114909229,0.0,0.0,0.16605673401951496,3938413.0
2014-10-20,2014-10-17,6023.TWO,6023.TWO,1248000,33.014195673158824,41201716.20010221,58712.44558514565,0.0,0.0,70.86480040883539,17611.0
2014-10-20,2014-10-17,8358.TWO,8358.TWO,4128000,9.989415204678362,41236305.96491228,58761.736000000004,0.0,0.0,24.140350877192983,171000.0
2014-10-23,2014-10-22,3293.TWO,3293.TWO,-254000,152.7508073973273,38798705.07892113,55288.15473746262,116396.11523676339,0.0,0.06371383957407048,3986575.0
2014-10-23,2014-10-22,3491.TWO,3491.TWO,573000,76.2267827869928,43677946.53694688,62241.073815149306,0.0,0.0,0.5012325246548669,1143182.0
2014-10-28,2014-10-27,3533.TW,3533.TW,-333000,121.74221749722147,40540158.42657475,57769.725757869026,121620.47527972425,0.0,0.26799445983825365,1242563.0
2014-10-28,2014-10-27,5347.TWO,5347.TWO,916000,47.29384764817172,43321164.4457253,61732.659335158554,0.0,0.0,0.08147632250036246,11242530.0
2014-10-30,2014-10-29,8358.TWO,8358.TWO,-4128000,9.9958,41262662.4,58799.29392,123787.9872,0.0,82.56,50000.0
2014-10-30,2014-10-29,2881.TW,2881.TW,854000,50.699435837394894,43297318.20513524,61698.67844231772,0.0,0.0,0.04703466278404888,18156822.0
2014-10-31,2014-10-30,2603.TW,2603.TW,-2358000,17.938729163149162,42299523.36670572,60276.82079755566,126898.57010011717,0.0,0.29124008372596605,8096413.0
2014-10-31,2014-10-30,2207.TW,2207.TW,99000,442.9929468190154,43856301.73508252,62495.2299724926,0.0,0.0,0.46550994498518833,212670.0
2014-11-03,2014-10-31,3491.TWO,3491.TWO,-573000,70.04324200913241,40134777.67123287,57192.05818150684,120404.33301369862,0.0,0.26164383561643834,2190000.0
2014-11-03,2014-10-31,2409.TW,2409.TW,3060000,14.528583652937701,44457465.97798937,63351.88901863485,0.0,0.0,0.03463799531130587,88342295.0
2014-11-04,2014-11-03,6023.TWO,6023.TWO,-1248000,33.7326176983435,42098306.88753269,59990.08731473408,126294.92066259807,0.0,17.000871839581517,73408.0
2014-11-04,2014-11-03,3481.TW,3481.TW,3125000,14.30062293187502,44689446.66210944,63682.46149350596,0.0,0.0,0.023208726534649934,134647629.0
2014-11-11,2014-11-10,3363.TWO,3363.TWO,-1474000,28.822382443491303,42484191.72170618,60539.97320343131,127452.57516511854,0.0,38.78641159908428,38003.0
2014-11-11,2014-11-10,5274.TWO,5274.TWO,172000,257.96592802985845,44370139.62113565,63227.44896011831,0.0,0.0,2.0187319546489517,85202.0
2014-11-12,2014-11-11,2801.TW,2801.TW,-2292000,18.38523027370349,42138947.78732839,60048.00059694296,126416.84336198519,0.0,0.3836988265545704,5973435.0
2014-11-12,2014-11-11,6147.TWO,6147.TWO,745000,59.14016557798625,44059423.35559976,62784.67828172966,0.0,0.0,0.0997683633046871,7467297.0
2014-11-13,2014-11-12,3443.TW,3443.TW,-475000,88.66745283018868,42117040.094339624,60016.78213443397,126351.12028301887,0.0,1.1202830188679245,424000.0
2014-11-13,2014-11-12,4938.TW,4938.TW,691000,63.3163517951436,43751599.09044423,62346.02870388303,0.0,0.0,0.03635571377393828,19006641.0
2014-11-14,2014-11-13,1101.TW,1101.TW,-912000,45.118334016582004,41147920.62312279,58635.78688794997,123443.76186936838,0.0,0.1299074608760606,7020382.0
2014-11-14,2014-11-13,2383.TW,2383.TW,1196000,37.29679978823451,44606972.54672847,63564.93587908807,0.0,0.0,0.3415203997045106,3501987.0
2014-11-18,2014-11-17,3036.TW,3036.TW,-907000,45.164682858165925,40964367.35235649,58374.223477108004,122893.10205706948,0.0,0.9332543102561253,971868.0
2014-11-18,2014-11-17,2357.TW,2357.TW,135000,323.7758611673806,43709741.25759638,62286.381292074846,0.0,0.0,0.0659757942141672,2046205.0
2014-11-19,2014-11-18,2609.TW,2609.TW,-3080000,13.333912836299598,41068451.53580276,58522.54343851894,123205.35460740828,0.0,0.18777554384491887,16402562.0
2014-11-19,2014-11-18,6121.TWO,6121.TWO,278000,157.97183088547294,43916168.98616148,62580.54080528011,0.0,0.0,0.19825351489932216,1402245.0
