date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2018-07-02,993935591.9724637,117907691.97246376,22,,False,0,False,0,False,,,,993935591.9724637,117907691.97246376,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-03,982037191.9724637,117907691.97246376,22,,False,0,False,0,False,,,,982037191.9724637,117907691.97246376,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-04,983030899.7672061,114761799.7672061,22,,False,0,False,0,False,,,,983030899.7672061,114761799.7672061,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-05,970498289.9565233,109689989.95652334,22,,False,0,False,0,False,,,,970498289.9565233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-06,970121689.9565233,109689989.95652334,22,,False,0,False,0,False,,,,970121689.9565233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-09,984912116.8565233,109689989.95652334,22,,False,0,False,0,False,,,,984912116.8565233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-10,984177769.2315233,109689989.95652334,22,,False,0,False,0,False,,,,984177769.2315233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-11,975753991.6315233,109689989.95652334,22,,False,0,False,0,False,,,,975753991.6315233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-12,983825605.4315233,109689989.95652334,22,,False,0,False,0,False,,,,983825605.4315233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-13,988347716.7665232,109689989.95652334,22,,False,0,False,0,False,,,,988347716.7665232,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-16,989930789.3465233,109689989.95652334,22,,False,0,False,0,False,,,,989930789.3465233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-17,986368161.8365233,109689989.95652334,22,,False,0,False,0,False,,,,986368161.8365233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-18,993384161.6565233,109689989.95652334,22,,False,0,False,0,False,,,,993384161.6565233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-19,990141052.6965233,109689989.95652334,22,,False,0,False,0,False,,,,990141052.6965233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-20,987595775.0965233,109689989.95652334,22,,False,0,False,0,False,,,,987595775.0965233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-23,988454782.0415232,109689989.95652334,22,,False,0,False,0,False,,,,988454782.0415232,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-24,998653986.7915233,109689989.95652334,22,,False,0,False,0,False,,,,998653986.7915233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-25,997017327.8315233,109689989.95652334,22,,False,0,False,0,False,,,,997017327.8315233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-26,1002751913.1539234,109689989.95652334,22,,False,0,False,0,False,,,,1002751913.1539234,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-27,999976582.6013232,109689989.95652334,22,,False,0,False,0,False,,,,999976582.6013232,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-30,993629076.5205233,109689989.95652334,22,,False,0,False,0,False,,,,993629076.5205233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-07-31,997088668.1949233,109689989.95652334,22,,False,0,False,0,False,,,,997088668.1949233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-08-01,996225310.2791233,109689989.95652334,22,,False,0,False,0,False,,,,996225310.2791233,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-08-02,979769122.5115232,109689989.95652334,22,,False,0,False,0,False,,,,979769122.5115232,109689989.95652334,22,0,UNKNOWN,BLOCK_SUBMISSION
