date,symbol,shares,close,weight
2014-01-03,1519.TW,1213000.0,18.2,0.022124773441583968
2014-01-03,1802.TW,642000.0,32.35,0.020814019467500652
2014-01-03,2347.TW,349000.0,47.75,0.016701114220968646
2014-01-03,2356.TW,1251000.0,26.5,0.03322384002738967
2014-01-03,2379.TW,163000.0,81.5,0.013313488163246252
2014-01-03,2395.TW,50000.0,200.0,0.010021821042001017
2014-01-03,2449.TW,2241000.0,21.0,0.04716369200576099
2014-01-03,2609.TW,1600000.0,13.6,0.021807482587394216
2014-01-03,2885.TW,845000.0,17.3,0.014650399090249188
2014-01-03,3105.TWO,2818000.0,28.1,0.07935859166676842
2014-01-03,3227.TWO,177000.0,51.0,0.009046697854614318
2014-01-03,3293.TWO,680000.0,59.5,0.040548287935936116
2014-01-03,3653.TW,1188000.0,79.2,0.0942949133113459
2014-01-03,3680.TWO,439000.0,55.4,0.024373670083408995
2014-01-03,4966.TWO,390000.0,238.0,0.09302254291185344
2014-01-03,4979.TWO,2163000.0,43.35,0.09397065729153195
2014-01-03,5274.TWO,111000.0,199.0,0.022137200499676046
2014-01-03,5483.TWO,1712000.0,56.0,0.09608120269387216
2014-01-03,6023.TWO,359000.0,34.95,0.01257442897050389
2014-01-03,6274.TWO,1335000.0,24.5,0.03277887117312483
2014-01-03,6290.TWO,2479000.0,27.95,0.06943924374492186
2014-01-03,8210.TW,1143000.0,36.45,0.04175326158892111
2014-01-06,1519.TW,1213000.0,18.1,0.021990737038931684
2014-01-06,1802.TW,642000.0,32.45,0.02086652542476577
2014-01-06,2347.TW,349000.0,48.5,0.01695382028437221
2014-01-06,2356.TW,1251000.0,26.8,0.03358091406434231
2014-01-06,2379.TW,163000.0,79.4,0.012963089409175082
2014-01-06,2395.TW,50000.0,203.0,0.010166382647704955
2014-01-06,2449.TW,2241000.0,20.1,0.04511680360802826
2014-01-06,2609.TW,1600000.0,13.8,0.02211563831146063
2014-01-06,2885.TW,845000.0,17.35,0.014684413241609896
2014-01-06,3105.TWO,2818000.0,28.35,0.08001924725516682
2014-01-06,3227.TWO,177000.0,50.6,0.00897065579008622
2014-01-06,3293.TWO,680000.0,60.5,0.04120640217995881
2014-01-06,3653.TW,1188000.0,80.0,0.09519339968846098
2014-01-06,3680.TWO,439000.0,54.2,0.02383220447713913
2014-01-06,4966.TWO,390000.0,229.0,0.089454151159264
2014-01-06,4979.TWO,2163000.0,43.1,0.09337577066473782
2014-01-06,5274.TWO,111000.0,196.0,0.02179111535797724
2014-01-06,5483.TWO,1712000.0,58.6,0.10048512705834815
2014-01-06,6023.TWO,359000.0,35.0,0.012585280588020963
2014-01-06,6274.TWO,1335000.0,26.2,0.035033454765396675
2014-01-06,6290.TWO,2479000.0,27.2,0.06753763372173083
2014-01-06,8210.TW,1143000.0,36.1,0.041328899578758245
2014-01-07,1519.TW,1213000.0,17.95,0.021535958667390512
