date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2014-07-01,994408169.295021,994408169.295021,85315309.29502103,0.08579506075005874,22,0.0,0,1301570.9456570337,0.0,1301570.9456570337,913383119.7593219,0.913383119759322,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-02,984700609.295021,984700609.295021,85315309.29502103,0.08664086168901734,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:4123.TWO,,4123.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-03,989939003.2508497,991765894.0288497,88493603.25084972,0.0893929857902826,22,1826890.778,0,4549.199093042615,9577.261248510767,14126.460341553382,3192420.4161702557,0.003242021367749343,WEIGHT_CAP:4123.TWO,,4123.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-04,992304476.4506141,994131367.2286141,94433576.45061412,0.0951659280913402,22,1826890.778,0,8502.08352928135,17899.123219539684,26401.206748821034,5966374.406513228,0.0060270121562240875,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-07,973838926.4506141,975665817.2286141,94433576.45061412,0.09697042692142076,22,1826890.778,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-08,978930726.4506141,980757617.2286141,94433576.45061412,0.09646604596119825,22,1826890.778,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-09,973550626.4506141,975814517.2286141,94433576.45061412,0.09699914301827478,22,2263890.778,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-10,985313076.4506141,992887497.084135,94433576.45061412,0.09584118866136587,22,7574420.63352092,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:3293.TWO,,3293.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-11,968281417.7217356,975855838.3552566,96775267.72173558,0.09994539392219011,22,7574420.63352092,0,3351.741517563287,7056.297931712183,10408.03944927547,2352099.3105707276,0.002387159337257227,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-14,988356917.7217356,995931338.3552566,96775267.72173558,0.09791530365853313,22,7574420.63352092,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:3293.TWO,,3293.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-15,990699316.3210793,998273736.9546002,97286866.3210793,0.09820019527453601,22,7574420.63352092,0,732.2682912535998,1541.6174552707364,2273.8857465243364,513872.4850902455,0.0005199260265965199,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-16,990017366.3210793,998796155.3515899,97286866.3210793,0.09826783815176787,22,8778789.030510701,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-17,972281966.3210793,981060755.3515899,97286866.3210793,0.10006034225770263,22,8778789.030510701,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-18,964447666.3210793,974049255.32739,97286866.3210793,0.10087314192192884,22,9601589.006310701,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2014-07-21,973803316.3210793,983404905.32739,97286866.3210793,0.09990402034018356,22,9601589.006310701,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
