date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2018-10-22,1001187113.0678108,88981273.06781082,22,,False,0,False,0,False,,,,1001187113.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-23,990158873.0678108,88981273.06781082,22,,False,0,False,0,False,,,,990158873.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-24,993792603.0678108,88981273.06781082,22,,False,0,False,0,False,,,,993792603.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-25,984369073.0678108,88981273.06781082,22,,False,0,False,0,False,,,,984369073.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-26,981551253.0678108,88981273.06781082,22,,False,0,False,0,False,,,,981551253.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-29,983751503.0678108,88981273.06781082,22,,False,0,False,0,False,,,,983751503.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-30,989023533.0678108,88981273.06781082,22,,False,0,False,0,False,,5876.TW,,989023533.0678108,88981273.06781082,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-10-31,997933563.1619011,89632603.1619011,22,,False,0,False,0,False,,,,997933563.1619011,89632603.1619011,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-01,1001763243.1619011,89632603.1619011,22,,False,0,False,0,False,,,,1001763243.1619011,89632603.1619011,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-02,1000552883.1619011,89632603.1619011,22,,False,0,False,0,False,,,,1000552883.1619011,89632603.1619011,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-05,998979663.1619011,89632603.1619011,22,,False,0,False,0,False,,,,998979663.1619011,89632603.1619011,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-06,997210043.1619011,89632603.1619011,22,,False,0,False,0,False,,5876.TW,,997210043.1619011,89632603.1619011,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-07,1004575379.407828,90226239.407828,22,,False,0,False,0,False,,5876.TW,,1004575379.407828,90226239.407828,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-08,1007226818.2861032,92048458.28610322,22,,False,0,False,0,False,,,,1007226818.2861032,92048458.28610322,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-09,1001833568.2861032,92048458.28610322,22,,False,0,False,0,False,,,,1001833568.2861032,92048458.28610322,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-12,1004875298.2861032,92048458.28610322,22,,False,0,False,0,False,,5876.TW,,1004875298.2861032,92048458.28610322,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-13,1015956057.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1015956057.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-14,1020135437.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1020135437.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-15,1024059807.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1024059807.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-16,1031968937.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1031968937.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-19,1038300837.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1038300837.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-20,1032111827.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1032111827.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-21,1041765447.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1041765447.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
2018-11-22,1043997867.9054749,93384437.90547484,22,,False,0,False,0,False,,,,1043997867.9054749,93384437.90547484,22,0,UNKNOWN,BLOCK_SUBMISSION
