date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2017-07-03,999416664.315186,98487934.31518605,22,,False,0,False,0,False,,,,999416664.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-04,980274784.315186,98487934.31518605,22,,False,0,False,0,False,,,,980274784.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-05,988250454.315186,98487934.31518605,22,,False,0,False,0,False,,,,988250454.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-06,984969944.315186,98487934.31518605,22,,False,0,False,0,False,,,,984969944.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-07,971108604.315186,98487934.31518605,22,,False,0,False,0,False,,,,971108604.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-10,972962824.315186,98487934.31518605,22,,False,0,False,0,False,,,,972962824.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-11,984524564.315186,98487934.31518605,22,,False,0,False,0,False,,,,984524564.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-12,992657874.315186,98487934.31518605,22,,False,0,False,0,False,,,,992657874.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-13,995006654.315186,98487934.31518605,22,,False,0,False,0,False,,,,995006654.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-14,1003287024.315186,98487934.31518605,22,,False,0,False,0,False,,,,1003287024.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-17,1005117754.315186,98487934.31518605,22,,False,0,False,0,False,,,,1005117754.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-18,1025312044.315186,98487934.31518605,22,,False,0,False,0,False,,3105.TWO,,1025312044.315186,98487934.31518605,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-19,1029400021.197815,99558791.19781496,22,,False,0,False,0,False,,,,1029400021.197815,99558791.19781496,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-20,1020037221.197815,99558791.19781496,22,,False,0,False,0,False,,,,1020037221.197815,99558791.19781496,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-21,1018032121.197815,99558791.19781496,22,,False,0,False,0,False,,,,1018032121.197815,99558791.19781496,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-24,1020584951.197815,99558791.19781496,22,,False,0,False,0,False,,,,1020584951.197815,99558791.19781496,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-25,1032531951.197815,99558791.19781496,22,,False,0,False,0,False,,3105.TWO,,1032531951.197815,99558791.19781496,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-26,1027287612.1917326,84569882.1917327,22,,False,0,False,0,False,,,,1027287612.1917326,84569882.1917327,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-27,1030535612.1917326,84569882.1917327,22,,False,0,False,0,False,,,,1030535612.1917326,84569882.1917327,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-28,1015058382.1917326,84569882.1917327,22,,False,0,False,0,False,,,,1015058382.1917326,84569882.1917327,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-31,1016125572.1917326,84569882.1917327,22,,False,0,False,0,False,,,,1016125572.1917326,84569882.1917327,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-01,1013755526.84111,95801676.84111005,22,,False,0,False,0,False,,,,1013755526.84111,95801676.84111005,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-02,1030690506.84111,95801676.84111005,22,,False,0,False,0,False,,,,1030690506.84111,95801676.84111005,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-03,1016224546.84111,95801676.84111005,22,,False,0,False,0,False,,,,1016224546.84111,95801676.84111005,22,0,UNKNOWN,BLOCK_SUBMISSION
