date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2018-07-02,2018-06-29,1216.TW,1216.TW,1240000,77.09524604347874,95598105.09391363,136227.29975882694,0.0,0.0,0.14965450928950194,8285751.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,1301.TW,1301.TW,319000,112.79036864156096,35980127.59665795,51271.681825237574,0.0,0.0,0.03186849480603476,10009886.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,1303.TW,1303.TW,122000,87.17199851788183,10634983.819181584,15154.851942333757,0.0,0.0,0.012546379181813592,9723921.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,1326.TW,1326.TW,599000,122.60404946638707,73439825.63036585,104651.75152327133,0.0,0.0,0.0488453417852899,12263196.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,2327.TW,2327.TW,83000,1190.5202193471291,98813178.20581171,140808.77894328168,0.0,0.0,0.007376388394043824,11252119.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,2882.TW,2882.TW,45000,53.37050159960971,2401672.571982437,3422.3834150749726,0.0,0.0,0.003270368088649359,13759919.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,2886.TW,2886.TW,736000,26.589628697781283,19569966.721567024,27887.20257823301,0.0,0.0,0.05258317339880129,13996873.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,2912.TW,2912.TW,277000,339.990265410234,94177303.51863481,134202.65751405462,0.0,0.0,0.24431288984222857,1133792.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,3008.TW,3008.TW,2000,4574.301683419668,9148603.366839336,13036.759797746055,0.0,0.0,0.0038060584838946637,525478.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,3163.TWO,3163.TWO,694000,42.46528964687794,29470911.01493329,41996.048196279946,0.0,0.0,0.3493815593996477,1986367.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,3363.TWO,3363.TWO,1322000,28.423784992266064,37576243.759775735,53546.14735768043,0.0,0.0,1.145575625755521,1154005.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,3491.TWO,3491.TWO,17000,79.78700491750232,1356379.0835975395,1932.8401941264938,0.0,0.0,0.014251200034873525,1192882.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,3529.TWO,3529.TWO,250000,385.15812538590126,96289531.34647532,137212.58216872733,0.0,0.0,0.75297802810114,332015.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,4123.TWO,4123.TWO,471000,73.11690306490726,34438061.34357132,49074.23741458913,0.0,0.0,0.11755849720804809,4006516.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,4904.TW,4904.TW,86000,77.80677971481434,6691383.055474034,9535.220854050498,0.0,0.0,0.02037074278123646,4221741.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,5347.TWO,5347.TWO,134000,69.36109588772274,9294386.848954847,13244.501259760658,0.0,0.0,0.02739187822633909,4891961.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,5903.TWO,5903.TWO,133000,184.40288022479803,24525583.069898136,34948.95587460484,0.0,0.0,4.671584123638918,28470.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,6274.TWO,6274.TWO,403000,111.5353732860892,44948755.43429395,64051.976493868875,0.0,0.0,0.09982202945864507,4037185.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,6415.TW,6415.TW,126000,746.2527057206665,94027840.92080398,133989.67331214566,0.0,0.0,1.0822882666208555,116420.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,8046.TW,8046.TW,1809000,27.89634053339921,50464480.024919175,71911.88403550982,0.0,0.0,1.943051095047314,931010.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,8415.TWO,8415.TWO,442000,30.28379244948358,13385436.262671743,19074.246674307233,0.0,0.0,1.5076473878815166,293172.0,ACTIVE_CAP:2327.TW
2018-07-02,2018-06-29,8932.TWO,8932.TWO,2853000,9.652435664578274,27538398.951041814,39242.21850523459,0.0,0.0,58.22330156527418,49001.0,ACTIVE_CAP:2327.TW
