date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2026-08-07,986691030.8696258,986691030.8696258,89634130.86962585,0.09084315967747908,22,0.0,0,1295425.3823409472,0.0,1295425.3823409472,909070443.748033,0.909070443748033,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2026-08-10,1011662880.8696258,1011662880.8696258,89634130.86962585,0.08860079040616407,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:2301.TW;WEIGHT_CAP:3231.TW,,2301.TW;3231.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2026-08-11,1007567260.2522982,1007567260.2522982,95294360.2522982,0.09457865892589262,22,0.0,0,8101.67679010432,17056.161663377516,25157.838453481836,5685387.221125838,0.005619843654082354,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2026-08-12,1028705710.2522982,1028705710.2522982,95294360.2522982,0.09263520101285966,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2026-08-13,1045438171.2522982,1046190054.7522982,95294360.2522982,0.09115255485472472,22,751883.5000000001,1,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2026-08-14,1053462239.7522982,1054214123.2522982,95294360.2522982,0.09045825911587005,22,751883.5000000001,1,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,0.0
2026-08-17,1073535792.2522982,1074287675.7522984,95294360.2522982,0.08876682169335859,22,751883.5000000001,1,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:2059.TW;WEIGHT_CAP:3653.TW,,2059.TW;3653.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,0.0
2026-08-18,1070435597.2522982,1071187480.7522982,95294360.2522982,0.08902390811451838,22,751883.5000000001,1,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:2059.TW;WEIGHT_CAP:3653.TW,,2059.TW;3653.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,0.0
2026-08-19,1069655950.2522982,1071713702.6302983,95294360.2522982,0.0890887955419883,22,2057752.378,1,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:2059.TW;WEIGHT_CAP:3653.TW,,2059.TW;3653.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,0.0
2026-08-20,1063965558.2522982,1066023310.6302983,95294360.2522982,0.08956526789159565,22,2057752.378,1,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:2059.TW;WEIGHT_CAP:3653.TW,,2059.TW;3653.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,0.0
