date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2026-08-14,2026-08-13,1605.TW,1605.TW,1061000,39.32417336930873,41722947.944836564,59455.20082139211,0.0,0.0,0.025313170561932583,41914939.0
2026-08-14,2026-08-13,2059.TW,2059.TW,7000,12366.995307565432,86568967.15295802,123360.77819296518,0.0,0.0,0.02983382559145559,234633.0
2026-08-14,2026-08-13,2301.TW,2301.TW,361000,268.46549428337323,96916043.43629773,138105.36189672427,0.0,0.0,0.016760625214963142,21538576.0
2026-08-14,2026-08-13,2344.TW,2344.TW,404000,185.57680350302098,74973028.61522047,106836.56577668918,0.0,0.0,0.0016753357898538737,241145687.0
2026-08-14,2026-08-13,2395.TW,2395.TW,66000,685.8058101501432,45263183.46990945,64500.03644462097,0.0,0.0,0.01791814989129656,3683416.0
2026-08-14,2026-08-13,2408.TW,2408.TW,178000,520.4294023082409,92636433.61086689,132006.91789548533,0.0,0.0,0.0017022863225893978,104565253.0
2026-08-14,2026-08-13,3017.TW,3017.TW,10000,3246.4765291253457,32464765.291253455,46262.29054003618,0.0,0.0,0.0013596727322120474,7354711.0
2026-08-14,2026-08-13,3044.TW,3044.TW,28000,494.0241117679782,13832675.12950339,19711.56205954233,0.0,0.0,0.0051474127081530974,5439626.0
2026-08-14,2026-08-13,3081.TWO,3081.TWO,36000,2565.0447906960694,92341612.4650585,131586.7977627084,0.0,0.0,0.024847292680401697,1448850.0
2026-08-14,2026-08-13,3163.TWO,3163.TWO,34000,703.821879409539,23929943.899924323,34100.17005739216,0.0,0.0,0.028088866564665527,1210444.0
2026-08-14,2026-08-13,3189.TW,3189.TW,9000,852.5623342119469,7673061.007907522,10934.111936268218,0.0,0.0,0.0020960034802973344,4293886.0
2026-08-14,2026-08-13,3231.TW,3231.TW,14000,198.73164195792984,2782242.9874110175,3964.6962570607,0.0,0.0,0.00014775838030387544,94749279.0
2026-08-14,2026-08-13,3363.TWO,3363.TWO,28000,590.7534690205051,16541097.132574143,23571.063413918153,0.0,0.0,0.010085409006558398,2776288.0
2026-08-14,2026-08-13,3443.TW,3443.TW,7000,5616.467295607826,39315271.06925478,56024.26127368806,0.0,0.0,0.002615813263817473,2676032.0
2026-08-14,2026-08-13,3653.TW,3653.TW,3000,4717.438472976663,14152315.41892999,20167.04947197524,0.0,0.0,0.002275968804054259,1318120.0
