date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2016-10-20,997447640.9356487,997447640.9356487,85034770.93564866,0.08525236558370362,22,0.0,0,1301970.1439615556,0.0,1301970.1439615556,913663258.9203899,0.9136632589203899,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-21,995460560.9356487,995460560.9356487,85034770.93564866,0.08542254135686016,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-24,995595280.9356487,995595280.9356487,85034770.93564866,0.08541098231776871,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-25,1006467960.9356487,1006467960.9356487,85034770.93564866,0.08448830388659098,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:6548.TWO,,6548.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-26,1015504537.001063,1015504537.001063,85293697.00106294,0.08399144848032684,22,0.0,0,370.60959065399476,780.2307171663048,1150.8403078202996,260076.90572210157,0.000258405548727378,WEIGHT_CAP:6548.TWO,,6548.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-27,1021732843.7573562,1021732843.7573562,88968183.75735623,0.08707577944757214,22,0.0,0,5259.416545933682,11072.45588617617,16331.872432109853,3690818.6287253904,0.0036344678868938693,WEIGHT_CAP:6548.TWO,,6548.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-28,1025486085.8268889,1025486085.8268889,99101385.82688895,0.09663844999611056,22,0.0,0,14503.99311863409,30534.722355019134,45038.715473653225,10178240.785006378,0.009961743764227602,WEIGHT_CAP:6548.TWO,,6548.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-10-31,1024086349.7630345,1024086349.7630345,105283589.76303442,0.10280733630264305,22,0.0,0,8848.79653366878,18629.045334039536,27477.841867708317,6209681.778013178,0.006055354493675136,WEIGHT_CAP:6548.TWO,,6548.TWO,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-01,1020793149.7630345,1020793149.7630345,105283589.76303442,0.10313900498595117,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:6548.TWO,,6548.TWO,6548.TWO,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-02,1005874729.7630345,1005874729.7630345,105283589.76303442,0.10466868949758515,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:6548.TWO,,6548.TWO,6548.TWO,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-03,1002863224.0243862,1002863224.0243862,113868154.02438612,0.11354305482201753,22,0.0,0,12287.375709942682,25868.15938935301,38155.535099295696,8622719.796451004,0.008572359500951334,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-04,989389394.0243862,989389394.0243862,113868154.02438612,0.11508932146646757,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-07,1001739834.0243862,1001739834.0243862,113868154.02438612,0.11367038641853004,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-08,1003091444.0243862,1003091444.0243862,113868154.02438612,0.11351722188711827,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-09,973500994.0243862,973500994.0243862,113868154.02438612,0.11696768131038368,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-10,1004893474.0243862,1004893474.0243862,113868154.02438612,0.11331365658925838,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-11,983078514.0243862,983078514.0243862,113868154.02438612,0.11582813824121632,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:1326.TW,,1326.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,1,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-14,973077034.0243862,973077034.0243862,113868154.02438612,0.11701864296751298,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:1326.TW,,1326.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,INFEASIBLE_MISSING_OFFICIAL_CLOSE,0.0
2016-11-15,971316114.5225204,971316114.5225204,115282634.52252045,0.11868703998511451,22,0.0,0,2024.5935362392752,4262.302181556369,6286.895717795644,1420767.3938521228,0.0014600769971686715,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-16,965204674.5225204,965204674.5225204,115282634.52252045,0.11943853730251557,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:1326.TW,,1326.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-17,968817744.3929687,968817744.3929687,117091364.39296867,0.12086005347304463,22,0.0,0,2588.8959298784143,5450.3072207966625,8039.203150675077,1816769.0735988873,0.0018822630283029135,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-18,967637093.0344845,967637093.0344845,31503293.03448449,0.032556929928854825,22,0.0,0,153315.4728537873,33282.49818597791,186597.97103976522,107589805.51142967,0.11105267851884992,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-21,972839943.0344845,972839943.0344845,31503293.03448449,0.03238281205459076,22,0.0,0,0.0,0.0,0.0,0.0,0.0,WEIGHT_CAP:1605.TW,,1605.TW,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-11-22,985026001.9831923,985026001.9831923,35002581.98319235,0.03553467818384514,22,0.0,0,5008.650028283847,10544.526375334415,15553.176403618261,3514842.1251114714,0.003612970612769011,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
