date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2025-10-20,2025-10-17,1590.TW,1590.TW,26000,874.1074603125631,22726793.968126643,32385.681404580468,0.0,0.0,0.04456373814347467,583434.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2059.TW,2059.TW,3000,3767.0238533848437,11301071.560154531,16104.026973220207,0.0,0.0,0.007894986157457604,379988.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2308.TW,2308.TW,34000,1001.931411594113,34065667.99419984,48543.576891734774,0.0,0.0,0.0027475120470322346,12374832.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2313.TW,2313.TW,225000,86.59315790584823,19483460.52881585,27763.931253562587,0.0,0.0,0.011229589659314712,20036351.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2344.TW,2344.TW,2198000,45.74239814731055,100541791.12778859,143272.05235709876,0.0,0.0,0.0037974634053629386,578807421.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2360.TW,2360.TW,62000,657.169427699695,40744504.51738109,58060.91893726805,0.0,0.0,0.019123148139009248,3242144.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2408.TW,2408.TW,928000,106.64612386013377,98967602.94220413,141028.8341926409,0.0,0.0,0.004291278520216232,216252568.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,2451.TW,2451.TW,255000,129.70099152866095,33073752.839808542,47130.097796727176,0.0,0.0,0.03825920899160428,6665062.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,3189.TW,3189.TW,609000,153.15824660216654,93273372.18071942,132914.55535752518,0.0,0.0,0.014024338191135334,43424509.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,3260.TWO,3260.TWO,513000,187.50752198288933,96191358.77722223,137072.68625754167,0.0,0.0,0.036352630722253074,14111771.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,3324.TWO,3324.TWO,15000,986.9683792972643,14804525.689458964,21096.449107479024,0.0,0.0,0.003031454983196645,4948119.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,3665.TW,3665.TW,24000,1295.7541397991638,31098099.355179932,44314.7915811314,0.0,0.0,0.007758789577100709,3093266.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,3711.TW,3711.TW,14000,197.48677436325633,2764814.8410855886,3939.8611485469637,0.0,0.0,0.000570513188838643,24539310.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,5289.TWO,5289.TWO,131000,410.8187052566122,53817250.3886162,76689.58180377808,0.0,0.0,0.035744231740495784,3664927.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6139.TW,6139.TW,50000,426.87937055493524,21343968.527746763,30415.155152039137,0.0,0.0,0.010861489935743426,4603420.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6223.TWO,6223.TWO,5000,1833.1317091052863,9165658.545526432,13061.063427375166,0.0,0.0,0.004798215831425243,1042054.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6290.TWO,6290.TWO,491000,145.60273532071255,71490943.04246986,101874.59383551955,0.0,0.0,0.055248320383547114,8887148.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6515.TW,6515.TW,13000,2381.042678111168,30953554.81544518,44108.815612009384,0.0,0.0,0.015917815096210947,816695.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6669.TW,6669.TW,4000,3837.2504861154785,15349001.944461914,21872.327770858228,0.0,0.0,0.002593480379348375,1542329.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,6770.TW,6770.TW,749000,30.256624674788668,22662211.881416712,32293.651931018816,0.0,0.0,0.0030372312525289054,246606181.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,8046.TW,8046.TW,198000,281.7157119679314,55779710.96965042,79486.08813175185,0.0,0.0,0.008315508187583753,23810932.0,ACTIVE_CAP:2344.TW
2025-10-20,2025-10-17,8210.TW,8210.TW,30000,729.3587966243639,21880763.898730915,31180.088555691556,0.0,0.0,0.007027694974612452,4268825.0,ACTIVE_CAP:2344.TW
