date,symbol,shares,close,weight
2026-08-14,1605.TW,1075000.0,39.05,0.0422941227354961
2026-08-14,2059.TW,2000.0,12500.0,0.025187816892770807
2026-08-14,2301.TW,156000.0,267.0,0.041964917968707584
2026-08-14,2344.TW,237000.0,183.5,0.04381622251032624
2026-08-14,2395.TW,59000.0,683.0,0.04059973829311941
2026-08-14,2408.TW,82000.0,512.0,0.04229941217704358
2026-08-14,3017.TW,12000.0,3235.0,0.03911164207109451
2026-08-14,3044.TW,85000.0,488.0,0.041791625788485325
2026-08-14,3081.TWO,15000.0,2540.0,0.03838623294458271
2026-08-14,3163.TWO,58000.0,702.0,0.04102188610424225
2026-08-14,3189.TW,48000.0,862.0,0.0416868444702114
2026-08-14,3231.TW,214000.0,193.5,0.041720092388509857
2026-08-14,3363.TWO,69000.0,586.0,0.04073776752969179
2026-08-14,3443.TW,6000.0,5465.0,0.03303634063655819
2026-08-14,3653.TW,8000.0,4855.0,0.03913179232460873
2026-08-14,4979.TWO,74000.0,522.0,0.03891819963735803
2026-08-14,4991.TWO,88000.0,460.0,0.04078411311277449
2026-08-14,6187.TWO,33000.0,1275.0,0.04239109583053327
2026-08-14,6274.TWO,25000.0,1675.0,0.042189593295391105
2026-08-14,6446.TW,28000.0,1500.0,0.042315532379854956
2026-08-14,7750.TW,17000.0,2355.0,0.04033576997208317
2026-08-14,8299.TWO,17000.0,2080.0,0.03562564821313503
2026-08-17,1605.TW,1075000.0,38.5,0.04090445545161307
2026-08-17,2059.TW,2000.0,13750.0,0.027179040167184764
2026-08-17,2301.TW,156000.0,263.5,0.04062624091317443
2026-08-17,2344.TW,237000.0,181.5,0.04251345462951041
2026-08-17,2395.TW,59000.0,674.0,0.03930188041048252
2026-08-17,2408.TW,82000.0,524.0,0.04246650901467618
2026-08-17,3017.TW,12000.0,3150.0,0.037358826120712146
2026-08-17,3044.TW,85000.0,483.0,0.04057583614777347
2026-08-17,3081.TWO,15000.0,2790.0,0.04136155749078845
2026-08-17,3163.TWO,58000.0,733.0,0.042017807769734294
2026-08-17,3189.TW,48000.0,905.0,0.042933000176818406
2026-08-17,3231.TW,214000.0,187.0,0.03955093925128727
2026-08-17,3363.TWO,69000.0,624.0,0.04255348194321117
2026-08-17,3443.TW,6000.0,5850.0,0.03469033854066128
2026-08-17,3653.TW,8000.0,5340.0,0.04222140348880484
2026-08-17,4979.TWO,74000.0,545.0,0.039859297816093146
2026-08-17,4991.TWO,88000.0,488.0,0.04244278912507573
2026-08-17,6187.TWO,33000.0,1385.0,0.04517156475786108
2026-08-17,6274.TWO,25000.0,1600.0,0.03953314933408693
2026-08-17,6446.TW,28000.0,1410.0,0.0390192183927438
2026-08-17,7750.TW,17000.0,2405.0,0.040407820263103605
2026-08-17,8299.TWO,17000.0,2085.0,0.03503131195366778
2026-08-18,1605.TW,1075000.0,37.1,0.040091996972371716
2026-08-18,2059.TW,2000.0,14370.0,0.02889096704033005
2026-08-18,2301.TW,156000.0,273.5,0.04289011829306617
2026-08-18,2344.TW,237000.0,176.5,0.04205022953307328
2026-08-18,2395.TW,59000.0,679.0,0.04027143460691239
2026-08-18,2408.TW,82000.0,515.0,0.04245182804847383
2026-08-18,3017.TW,12000.0,3035.0,0.03661130896342451
2026-08-18,3044.TW,85000.0,488.5,0.04174061165386585
2026-08-18,3081.TWO,15000.0,2925.0,0.04410546899424081
2026-08-18,3163.TWO,58000.0,711.0,0.0414546172167408
2026-08-18,3189.TW,48000.0,865.0,0.041738098521729425
2026-08-18,3231.TW,214000.0,181.0,0.038937464068898545
2026-08-18,3363.TWO,69000.0,586.0,0.04064639392166685
2026-08-18,3443.TW,6000.0,5535.0,0.03338444730025612
2026-08-18,3653.TW,8000.0,5150.0,0.041416417608267156
2026-08-18,4979.TWO,74000.0,528.0,0.03927723953374306
2026-08-18,4991.TWO,88000.0,485.0,0.042904191833030146
2026-08-18,6187.TWO,33000.0,1260.0,0.0417984136930036
2026-08-18,6274.TWO,25000.0,1545.0,0.038827891507750456
2026-08-18,6446.TW,28000.0,1400.0,0.03940591189912797
2026-08-18,7750.TW,17000.0,2490.0,0.042552353333930794
2026-08-18,8299.TWO,17000.0,2000.0,0.0341785970553661
2026-08-19,1605.TW,1075000.0,36.8,0.04007960832548958
2026-08-19,2059.TW,2000.0,14095.0,0.028560266903325363
2026-08-19,2301.TW,156000.0,273.5,0.04322640467177297
2026-08-19,2344.TW,237000.0,168.0,0.04033897080605898
2026-08-19,2395.TW,59000.0,694.0,0.04148381300544733
2026-08-19,2408.TW,82000.0,481.0,0.039960058432102125
2026-08-19,3017.TW,12000.0,3095.0,0.037627822376357006
2026-08-19,3044.TW,85000.0,480.5,0.041378953565060876
2026-08-19,3081.TWO,15000.0,2680.0,0.040728014526913076
2026-08-19,3163.TWO,58000.0,710.0,0.041720886522842796
2026-08-19,3189.TW,48000.0,849.0,0.041287264875640835
2026-08-19,3231.TW,214000.0,182.0,0.03945956989537837
2026-08-19,3363.TWO,69000.0,584.0,0.040825275457126595
