date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2011-01-03,1001392539.9456692,1001392539.9456692,77159889.94566914,0.0770525911345969,22,0.0,0,1313175.8811967159,0.0,1313175.8811967159,921526934.1731341,0.9215269341731341,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-04,988200089.9456692,988200089.9456692,77159889.94566914,0.07808124157316294,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-05,961964039.9456692,961964039.9456692,77159889.94566914,0.08021078412663644,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-06,973933339.9456692,973933339.9456692,77159889.94566914,0.07922502165289208,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-07,951926368.8118594,951926368.8118594,76251368.8118594,0.0801021710397959,22,0.0,0,117342.21346469715,122515.12374161815,239857.3372063153,82345412.95768222,0.08454933164345299,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-10,961180068.8118594,961180068.8118594,76251368.8118594,0.0793309924810611,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-11,975525076.589103,975525076.589103,74774076.58910297,0.07665008146233257,22,0.0,0,117015.39278087023,121315.65590296504,238331.04868383525,82116065.1093826,0.08543255085479298,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-12,983564958.3885386,983564958.3885386,70900108.38853866,0.07208482549510566,22,0.0,0,115917.8781284275,116556.57846660132,232474.4565950288,81345879.38837017,0.08338676405202605,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-13,985218063.8145219,985218063.8145219,68420413.81452191,0.0694469745607535,22,0.0,0,116381.19940387095,119140.26602540398,235521.46542927495,81671017.12552348,0.08303571251596063,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-14,983183969.268721,983183969.268721,65318119.268720984,0.06643529726924222,22,0.0,0,115865.85338011546,117660.90450772559,233526.75788784103,81309370.79306348,0.08252931384373283,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-17,971470044.648188,971470044.648188,62045694.64818796,0.06386784130915475,22,0.0,0,115157.98933644395,116658.02323167786,231816.0125681218,80812624.09575014,0.08219481462442627,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-18,981718986.1537559,981718986.1537559,59123936.15375586,0.060224908540676754,22,0.0,0,114273.3244711842,116250.8585024799,230524.18297366408,80191806.64644504,0.08254686501989468,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-19,987558556.225717,987558556.225717,53971506.22571696,0.05465144915759426,22,0.0,0,113091.14968287744,111651.7849655748,224742.93464845224,79362210.30377364,0.080840048346935,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-20,986076134.7480413,986076134.7480413,49177234.748041265,0.04987164075379115,22,0.0,0,114168.28332763904,113326.97601738719,227495.25934502622,80118093.56325546,0.08112743599676091,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-21,980250961.289928,980250961.289928,45722711.289927915,0.046643883143721344,22,0.0,0,116862.89397761799,118184.35829926423,235047.25227688224,82009048.40534595,0.08316705527641698,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-24,979671620.2129669,979671620.2129669,46622820.21296687,0.04759025294907667,22,0.0,0,118626.6315884139,126588.12403210912,245214.755620523,83246759.00941327,0.0849239248894666,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-25,990164970.2129669,990164970.2129669,46622820.21296687,0.04708591155566645,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-26,988776220.2129669,988776220.2129669,46622820.21296687,0.04715204437554641,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-27,990620870.2129669,990620870.2129669,46622820.21296687,0.04706424184556473,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-01-28,993787797.1182424,993787797.1182424,42663147.11824235,0.04292983596896212,22,0.0,0,119656.15791380583,120374.38661028443,240030.54452409025,83969233.62372339,0.08476424851181603,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-02-08,986698497.1182424,986698497.1182424,42663147.11824235,0.043238281240768686,22,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-02-09,968877879.3202124,968877879.3202124,45026929.32021231,0.046473276231473334,22,0.0,0,114755.4458247096,124700.06269701078,239455.5085217204,80530137.42084885,0.08161574954866725,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-02-10,945142521.872361,945142521.872361,43631121.87236092,0.04616353709906747,22,0.0,0,113810.70942076195,118054.83390190371,231865.54332266568,79867164.50579786,0.08243264317463266,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2011-02-11,909028616.5419375,909028616.5419375,41994216.54193749,0.04619680368445267,22,0.0,0,109813.40676725854,113472.63081574837,223286.0375830069,77062039.83667266,0.08153483527966769,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
