date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2017-07-03,999990273.1945672,93906953.19456714,22,,False,0,False,0,False,,,,999990273.1945672,93906953.19456714,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-04,984553803.1945672,93906953.19456714,22,,False,0,False,0,False,,,,984553803.1945672,93906953.19456714,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-05,986832873.8683971,92271443.86839712,22,,False,0,False,0,False,,,,986832873.8683971,92271443.86839712,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-06,984160933.8683971,92271443.86839712,22,,False,0,False,0,False,,,,984160933.8683971,92271443.86839712,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-07,972171973.8683971,92271443.86839712,22,,False,0,False,0,False,,,,972171973.8683971,92271443.86839712,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-10,973583803.8683971,92271443.86839712,22,,False,0,False,0,False,,,,973583803.8683971,92271443.86839712,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-11,981790492.4555469,89431422.45554692,22,,False,0,False,0,False,,,,981790492.4555469,89431422.45554692,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-12,993485432.4555469,89431422.45554692,22,,False,0,False,0,False,,,,993485432.4555469,89431422.45554692,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-13,996065169.5965294,84302189.59652936,22,,False,0,False,0,False,,,,996065169.5965294,84302189.59652936,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-14,1004759678.4308295,78506918.43082951,22,,False,0,False,0,False,,,,1004759678.4308295,78506918.43082951,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-17,1008139225.5323577,75413145.53235775,22,,False,0,False,0,False,,,,1008139225.5323577,75413145.53235775,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-18,1029201674.0782995,72272534.07829955,22,,False,0,False,0,False,,,,1029201674.0782995,72272534.07829955,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-19,1028922232.6374534,67434962.63745344,22,,False,0,False,0,False,,,,1028922232.6374534,67434962.63745344,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-20,1033319248.721768,61897028.721768014,22,,False,0,False,0,False,,,,1033319248.721768,61897028.721768014,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-21,1033697907.4770331,56884487.47703309,22,,False,0,False,0,False,,,,1033697907.4770331,56884487.47703309,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-24,1033093727.4770331,56884487.47703309,22,,False,0,False,0,False,,,,1033093727.4770331,56884487.47703309,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-25,1041640677.4770331,56884487.47703309,22,,False,0,False,0,False,,,,1041640677.4770331,56884487.47703309,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-26,1043136692.1409578,51590422.14095777,22,,False,0,False,0,False,,,,1043136692.1409578,51590422.14095777,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-27,1050876678.2390962,47496358.23909621,22,,False,0,False,0,False,,,,1050876678.2390962,47496358.23909621,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-28,1029695030.2554743,43867230.25547428,22,,False,0,False,0,False,,,,1029695030.2554743,43867230.25547428,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-07-31,1028108577.2855016,45570317.285501614,22,,False,0,False,0,False,,,,1028108577.2855016,45570317.285501614,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-01,1030610505.1758093,46969905.17580929,22,,False,0,False,0,False,,,,1030610505.1758093,46969905.17580929,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-02,1045934990.7767183,44549420.77671829,22,,False,0,False,0,False,,,,1045934990.7767183,44549420.77671829,22,0,UNKNOWN,BLOCK_SUBMISSION
2017-08-03,1033537154.035641,44331724.03564098,22,,False,0,False,0,False,,,,1033537154.035641,44331724.03564098,22,0,UNKNOWN,BLOCK_SUBMISSION
