date,symbol,shares,close,weight
2025-01-02,2345.TW,52000.0,754.0,0.0396051123167586
2025-01-02,2368.TW,171000.0,238.0,0.04111020355711696
2025-01-02,2377.TW,226000.0,183.0,0.041776888267611265
2025-01-02,2379.TW,73000.0,545.0,0.040187956374266504
2025-01-02,2383.TW,66000.0,596.0,0.03973440874546053
2025-01-02,3008.TW,15000.0,2620.0,0.039698044124888116
2025-01-02,3081.TWO,106000.0,366.0,0.039188939436874286
2025-01-02,3163.TWO,293000.0,140.5,0.04158344868873299
2025-01-02,3189.TW,410000.0,100.5,0.041622338630178495
2025-01-02,3211.TWO,197000.0,213.0,0.04238599566219924
2025-01-02,3227.TWO,161000.0,247.5,0.04025108939609362
2025-01-02,3363.TWO,167000.0,247.0,0.041666784277544784
2025-01-02,3661.TW,12000.0,3100.0,0.03757677459149715
2025-01-02,4772.TWO,238000.0,175.0,0.04207184574558753
2025-01-02,4979.TWO,220000.0,191.0,0.042445593234804034
2025-01-02,4991.TWO,304000.0,129.5,0.039766732852636016
2025-01-02,5536.TWO,111000.0,367.0,0.041149598562737075
2025-01-02,6510.TWO,46000.0,811.0,0.03768384819651593
2025-01-02,6669.TW,15000.0,2550.0,0.03863740935819263
2025-01-02,6789.TW,134000.0,309.0,0.04182537442837449
2025-01-02,8046.TW,317000.0,133.0,0.042588021332046
2025-01-02,8299.TWO,76000.0,528.0,0.0405344303980537
2025-01-03,2345.TW,52000.0,766.0,0.0399864393993218
2025-01-03,2368.TW,171000.0,237.0,0.04068413410163473
2025-01-03,2377.TW,226000.0,183.0,0.041518356112601705
2025-01-03,2379.TW,73000.0,537.0,0.03935299284225783
2025-01-03,2383.TW,66000.0,604.0,0.04001856347194628
2025-01-03,3008.TW,15000.0,2585.0,0.03892534112544444
2025-01-03,3081.TWO,106000.0,365.5,0.03889321705281996
2025-01-03,3163.TWO,293000.0,151.5,0.04456161005513645
2025-01-03,3189.TW,410000.0,103.0,0.04239373709161879
2025-01-03,3211.TWO,197000.0,208.5,0.0412337569066942
2025-01-03,3227.TWO,161000.0,243.5,0.039355502535431616
2025-01-03,3363.TWO,167000.0,250.0,0.04191187600225159
2025-01-03,3661.TW,12000.0,2995.0,0.03607934906636939
2025-01-03,4772.TWO,238000.0,177.5,0.04240879525066152
2025-01-03,4979.TWO,220000.0,205.5,0.04538529135477352
2025-01-03,4991.TWO,304000.0,121.0,0.03692662148184006
2025-01-03,5536.TWO,111000.0,384.0,0.04278926473580771
2025-01-03,6510.TWO,46000.0,859.0,0.03966720642761603
2025-01-03,6669.TW,15000.0,2610.0,0.03930179510151257
2025-01-03,6789.TW,134000.0,309.5,0.04163380199859593
2025-01-03,8046.TW,317000.0,129.0,0.041051553182277226
2025-01-03,8299.TWO,76000.0,520.0,0.03967322969123312
2025-01-06,2345.TW,52000.0,774.0,0.039645225833733394
2025-01-06,2368.TW,171000.0,236.0,0.03975160837174878
2025-01-06,2377.TW,226000.0,188.0,0.04185167847405249
2025-01-06,2379.TW,73000.0,540.0,0.03882962637561545
2025-01-06,2383.TW,66000.0,620.0,0.040307161625829126
2025-01-06,3008.TW,15000.0,2680.0,0.03959794470572656
2025-01-06,3081.TWO,106000.0,366.5,0.038267177957034104
2025-01-06,3163.TWO,293000.0,158.0,0.045600677915594655
2025-01-06,3189.TW,410000.0,109.5,0.044222630038895365
2025-01-06,3211.TWO,197000.0,214.5,0.04162364553376951
2025-01-06,3227.TWO,161000.0,245.5,0.03893354635488047
2025-01-06,3363.TWO,167000.0,269.5,0.04433246015916125
2025-01-06,3661.TW,12000.0,3095.0,0.03658377279529065
2025-01-06,4772.TWO,238000.0,181.0,0.04243284233913654
2025-01-06,4979.TWO,220000.0,198.0,0.042907623666205194
2025-01-06,4991.TWO,304000.0,120.5,0.03608338085721829
2025-01-06,5536.TWO,111000.0,381.5,0.04171229764878233
2025-01-06,6510.TWO,46000.0,823.0,0.03729101966839293
2025-01-06,6669.TW,15000.0,2700.0,0.03989345175576929
2025-01-06,6789.TW,134000.0,330.5,0.04362373575080876
2025-01-06,8046.TW,317000.0,139.0,0.043403090486776846
2025-01-06,8299.TWO,76000.0,519.0,0.038853266939618866
2025-01-07,2345.TW,52000.0,766.0,0.038956420076197734
2025-01-07,2368.TW,171000.0,235.0,0.03930166049312126
2025-01-07,2377.TW,226000.0,186.0,0.04111197214106869
2025-01-07,2379.TW,73000.0,543.0,0.03876766256779479
2025-01-07,2383.TW,66000.0,603.0,0.03892316745813711
2025-01-07,3008.TW,15000.0,2665.0,0.039096276675688005
2025-01-07,3081.TWO,106000.0,371.5,0.03851337784144885
2025-01-07,3163.TWO,293000.0,154.5,0.04427341590227348
2025-01-07,3189.TW,410000.0,109.5,0.043908126112695754
2025-01-07,3211.TWO,197000.0,217.0,0.041809299102163515
2025-01-07,3227.TWO,161000.0,246.5,0.03881411843126183
2025-01-07,3363.TWO,167000.0,296.0,0.04834539458743238
2025-01-07,3661.TW,12000.0,3200.0,0.03755589804493857
2025-01-07,4772.TWO,238000.0,185.5,0.04317852455171856
2025-01-07,4979.TWO,220000.0,201.0,0.043247963842374566
2025-01-07,4991.TWO,304000.0,119.0,0.03538078561650254
2025-01-07,5536.TWO,111000.0,390.0,0.04233840693659871
2025-01-07,6446.TW,64000.0,724.0,0.0453174503075592
2025-01-07,6669.TW,15000.0,2770.0,0.04063665530643743
2025-01-07,6789.TW,134000.0,339.5,0.044492980983291415
2025-01-07,8046.TW,317000.0,135.5,0.04200930381961637
2025-01-07,8299.TWO,76000.0,510.0,0.037907984589109864
2025-01-08,2345.TW,52000.0,768.0,0.038886299065883104
2025-01-08,2368.TW,171000.0,233.5,0.03887899620022319
2025-01-08,2377.TW,226000.0,195.0,0.042911638617624905
2025-01-08,2379.TW,73000.0,540.0,0.038383861908481365
2025-01-08,2383.TW,66000.0,599.0,0.038494865466511985
2025-01-08,3008.TW,15000.0,2610.0,0.038120958744724646
2025-01-08,3081.TWO,106000.0,372.5,0.03844715341086724
2025-01-08,3163.TWO,293000.0,157.5,0.04493453240541968
2025-01-08,3189.TW,410000.0,106.5,0.042517283871989824
2025-01-08,3211.TWO,197000.0,220.5,0.04229673732906057
2025-01-08,3363.TWO,167000.0,308.0,0.0500840264110768
2025-01-08,3491.TWO,111000.0,408.5,0.044151665206677446
2025-01-08,3661.TW,12000.0,3075.0,0.035930099046751963
