date,proposed_nav,proposed_cash,proposed_holdings,warning_reasons,warning_today,cumulative_warnings,rolled_back,rejected_fills,disqualified,active_caps,passive_caps,overdue_caps,settled_nav,settled_cash,settled_holdings,stale_count,active_share_status,submission_status
2023-10-20,1000768116.5910221,103133316.59102216,22,,False,0,False,0,False,,,,1000768116.5910221,103133316.59102216,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-23,982405716.5910221,103133316.59102216,22,,False,0,False,0,False,,,,982405716.5910221,103133316.59102216,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-24,994927116.5910221,103133316.59102216,22,,False,0,False,0,False,,,,994927116.5910221,103133316.59102216,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-25,1001901466.5910221,103133316.59102216,22,,False,0,False,0,False,,,,1001901466.5910221,103133316.59102216,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-26,981257316.5910221,103133316.59102216,22,,False,0,False,0,False,,,,981257316.5910221,103133316.59102216,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-27,980226783.2099886,96052783.20998862,22,,False,0,False,0,False,,,,980226783.2099886,96052783.20998862,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-30,993354683.2099886,96052783.20998862,22,,False,0,False,0,False,,,,993354683.2099886,96052783.20998862,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-10-31,973822683.2099886,96052783.20998862,22,,False,0,False,0,False,,,,973822683.2099886,96052783.20998862,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-01,979414333.2099886,96052783.20998862,22,,False,0,False,0,False,,,,979414333.2099886,96052783.20998862,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-02,1000511972.5287305,89740722.52873054,22,,False,0,False,0,False,,,,1000511972.5287305,89740722.52873054,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-03,1003793675.8748441,85699025.87484403,22,,False,0,False,0,False,,,,1003793675.8748441,85699025.87484403,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-06,1025131813.8265408,78479713.82654086,22,,False,0,False,0,False,,,,1025131813.8265408,78479713.82654086,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-07,1033348259.4111509,74347959.41115092,22,,False,0,False,0,False,,,,1033348259.4111509,74347959.41115092,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-08,1026905420.0032318,74515420.0032317,22,,False,0,False,0,False,,,,1026905420.0032318,74515420.0032317,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-09,1025417870.0032318,74515420.0032317,22,,False,0,False,0,False,,,,1025417870.0032318,74515420.0032317,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-10,1015886145.2206748,69636045.22067471,22,,False,0,False,0,False,,,,1015886145.2206748,69636045.22067471,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-13,1012485731.5639248,66405281.56392479,22,,False,0,False,0,False,,,,1012485731.5639248,66405281.56392479,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-14,1019028153.7272015,64759803.72720147,22,,False,0,False,0,False,,,,1019028153.7272015,64759803.72720147,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-15,1007918428.6191325,60846978.61913255,22,,False,0,False,0,False,,,,1007918428.6191325,60846978.61913255,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-16,1003103702.7610729,59437402.761072844,22,,False,0,False,0,False,,,,1003103702.7610729,59437402.761072844,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-17,1009547662.1865636,56545112.18656362,22,,False,0,False,0,False,,,,1009547662.1865636,56545112.18656362,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-20,1007575549.9030731,54723449.903073065,22,,False,0,False,0,False,,,,1007575549.9030731,54723449.903073065,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-21,1018782835.932637,56163635.93263696,22,,False,0,False,0,False,,,,1018782835.932637,56163635.93263696,22,0,UNKNOWN,BLOCK_SUBMISSION
2023-11-22,1017385159.3563881,51008259.35638811,22,,False,0,False,0,False,,,,1017385159.3563881,51008259.35638811,22,0,UNKNOWN,BLOCK_SUBMISSION
